beeaf15b38d4113341b72867b7e18696d290de2fc156fe71899d2883e222d4a5,5524889dff3f0fff73610cfdf6e4fdd1893be46520e1b0377c538bf96cd125d7,cfa832ec01ef9a466f9bd5ca88eda1e23c932a88b7961e8c14945762d04a2819,f5fcc1600aeedbdc1ece7db415cbb25589c93b6c9b098552924173b597043aa8,a6d95812938db7a4483cd8ffba0e8a824fbe8fb924ce7fbad38ec9bda7b5327e,0467093bd8a26109e8495ba44a9903f5b18722894895c4bf0051af0626eae4fd,5d1d56b663b374abe91419eb835a6047d8b8002a9f343238bb44c9a0452a3b8b,f9a51e64827818c612d34b860cfd60db571431890e7dfdc72f08e78b2c979e9e,0bd8be0551c8ec6e973f89fcbee5348e6b5ba0d1e730b4f4afa522e147cd8fa4,5f4982cca89d4a131e9f9f89ef9ceb62440f52fee6503cf62b84e9dc21347597,99d119b0ec5f51764cedae80b6ada6997af69e651593d55fcc6813ff5a656b74
"0","","","","","","se_travel","se_travel_start_1pt","23","101110001","111"
"0","","1","","1","0","10010","10010","31","101110002","111"
"0","","1","","1","0","10011","10011","31","101110003","111"
"0","","0","","1","0","10020","10020","31","101110004","111"
"62","0","0.68","<weapon>_idle","-150","-150","2","1001001","1","101110005","111"
"61","0","0.68","<weapon>_idle","-75","-250","2","1001002","1","101110006","111"
"63","0","0.68","<weapon>_idle","-180","-350","2","1001003","1","101110007","111"
"61","0","0.68","<weapon>_idle","-75","-450","2","1001004","1","101110008","111"
"62","0","0.68","<weapon>_idle","-150","-550","2","1001005","1","101110009","111"
"-150","0","1","","0.68","-150","10012","1001001","31","101110010","111"
"-250","0","1","","0.68","-75","10012","1001002","31","101110011","111"
"-350","0","1","","0.68","-180","10012","1001003","31","101110012","111"
"-450","0","1","","0.68","-75","10012","1001004","31","101110013","111"
"-550","0","1","","0.68","-150","10012","1001005","31","101110014","111"
"0","","0","","1","0","10030","10030","31","101110015","111"
"0","","0","","1","0","10031","10031","31","101110016","111"
"","","","","","","","0","91","101110017","111"
"","","","","","","10030","1","32","101110018","111"
"","","","","","","0","0","91","101110019","111"
"1","","0","","0","","1001001","<weapon>_run","3","101110020","111"
"1","","0","","0","","1001002","<weapon>_run","3","101110021","111"
