781bc352af54861696a28d114f7d8ecbeb0ac95e62ee2d33964c0b5ab3a75685,fe77f5875f4ba77a4a501b17e65f14822f07ba86711666ae7cc34d9f57b6c578,dd74186b21d9af4ef9fdf5566fa47a3c053df21b2ddf5386f20dee12f3b8b8ee,caa638dde143afc2e93ae4e1141720a2ebd4c71a00c688af577e392550dbe915,c2e88667a13584be17a23a809f3b5bf7d848f0eebc2566a84988fc96544ddcb2,69e36b34df28fa3c4f25d87d4035c65d4c087a840a3caee90ca797c3885beaf8,e042476f6862b175df865b79e7affa807ddc92d08138cd2a2379328c84600a21
"924070100","924070103","924070105","924070104","924070101","924070102","2407001"
"924070200","924070203","924070205","924070204","924070201","924070202","2407002"
"924070300","924070303","924070305","924070304","924070301","924070302","2407003"
"924071100","0","0","0","924071101","0","2407004"
"924071200","0","0","0","924071201","0","2407005"
"924071300","0","0","0","924071301","0","2407006"
"924071400","0","0","0","924071401","0","2407007"
"924072100","0","0","0","924072101","0","2407008"
"924072200","0","0","0","924072201","0","2407009"
"924072300","0","0","0","924072301","0","2407010"
"924072400","0","0","0","924072401","0","2407011"
"924073100","0","0","0","924073101","0","2407012"
"924073200","0","0","0","924073201","0","2407013"
"924073300","0","0","0","924073301","0","2407014"
"924073400","0","0","0","924073401","0","2407015"
"924080100","924080103","924080105","924080104","924080101","924080102","2408001"
"924080200","924080203","924080205","924080204","924080201","924080202","2408002"
"924080300","924080303","924080305","924080304","924080301","924080302","2408003"
"924081100","0","0","0","924081101","0","2408004"
"924081200","0","0","0","924081201","0","2408005"
"924081300","0","0","0","924081301","0","2408006"
"924081400","0","0","0","924081401","0","2408007"
"924082100","0","0","0","924082101","0","2408008"
"924082200","0","0","0","924082201","0","2408009"
"924082300","0","0","0","924082301","0","2408010"
"924082400","0","0","0","924082401","0","2408011"
"924083100","0","0","0","924083101","0","2408012"
"924083200","0","0","0","924083201","0","2408013"
"924083300","0","0","0","924083301","0","2408014"
"924083400","0","0","0","924083401","0","2408015"
"924090100","924090103","924090105","924090104","924090101","924090102","2409001"
"924090200","924090203","924090205","924090204","924090201","924090202","2409002"
"924090300","924090303","924090305","924090304","924090301","924090302","2409003"
"924091100","0","0","0","924091101","0","2409004"
"924091200","0","0","0","924091201","0","2409005"
"924091300","0","0","0","924091301","0","2409006"
"924091400","0","0","0","924091401","0","2409007"
"924092100","0","0","0","924092101","0","2409008"
"924092200","0","0","0","924092201","0","2409009"
"924092300","0","0","0","924092301","0","2409010"
"924092400","0","0","0","924092401","0","2409011"
"924093100","0","0","0","924093101","0","2409012"
"924093200","0","0","0","924093201","0","2409013"
"924093300","0","0","0","924093301","0","2409014"
"924093400","0","0","0","924093401","0","2409015"
"924100100","924100103","924100105","924100104","924100101","924100102","2410001"
"924100200","924100203","924100205","924100204","924100201","924100202","2410002"
"924100300","924100303","924100305","924100304","924100301","924100302","2410003"
"924101100","0","0","0","924101101","0","2410004"
"924101200","0","0","0","924101201","0","2410005"
"924101300","0","0","0","924101301","0","2410006"
"924101400","0","0","0","924101401","0","2410007"
"924102100","0","0","0","924102101","0","2410008"
"924102200","0","0","0","924102201","0","2410009"
"924102300","0","0","0","924102301","0","2410010"
"924102400","0","0","0","924102401","0","2410011"
"924103100","0","0","0","924103101","0","2410012"
"924103200","0","0","0","924103201","0","2410013"
"924103300","0","0","0","924103301","0","2410014"
"924103400","0","0","0","924103401","0","2410015"
"924110100","924110103","924110105","924110104","924110101","924110102","2411001"
"924110200","924110203","924110205","924110204","924110201","924110202","2411002"
"924110300","924110303","924110305","924110304","924110301","924110302","2411003"
"924111100","0","0","0","924111101","0","2411004"
"924111200","0","0","0","924111201","0","2411005"
"924111300","0","0","0","924111301","0","2411006"
"924111400","0","0","0","924111401","0","2411007"
"924112100","0","0","0","924112101","0","2411008"
"924112200","0","0","0","924112201","0","2411009"
"924112300","0","0","0","924112301","0","2411010"
"924112400","0","0","0","924112401","0","2411011"
"924113100","0","0","0","924113101","0","2411012"
"924113200","0","0","0","924113201","0","2411013"
"924113300","0","0","0","924113301","0","2411014"
"924113400","0","0","0","924113401","0","2411015"
"924120100","924120103","924120105","924120104","924120101","924120102","2412001"
"924120200","924120203","924120205","924120204","924120201","924120202","2412002"
"924120300","924120303","924120305","924120304","924120301","924120302","2412003"
"924121100","0","0","0","924121101","0","2412004"
"924121200","0","0","0","924121201","0","2412005"
"924121300","0","0","0","924121301","0","2412006"
"924121400","0","0","0","924121401","0","2412007"
"924122100","0","0","0","924122101","0","2412008"
"924122200","0","0","0","924122201","0","2412009"
"924122300","0","0","0","924122301","0","2412010"
"924122400","0","0","0","924122401","0","2412011"
"924123100","0","0","0","924123101","0","2412012"
"924123200","0","0","0","924123201","0","2412013"
"924123300","0","0","0","924123301","0","2412014"
"924123400","0","0","0","924123401","0","2412015"
"924140100","924140103","924140105","924140104","924140101","924140102","2414001"
"924140200","924140203","924140205","924140204","924140201","924140202","2414002"
"924140300","924140303","924140305","924140304","924140301","924140302","2414003"
"924141100","0","0","0","924141101","0","2414004"
"924141200","0","0","0","924141201","0","2414005"
"924141300","0","0","0","924141301","0","2414006"
"924141400","0","0","0","924141401","0","2414007"
"924142100","0","0","0","924142101","0","2414008"
"924142200","0","0","0","924142201","0","2414009"
"924142300","0","0","0","924142301","0","2414010"
"924142400","0","0","0","924142401","0","2414011"
"924143100","0","0","0","924143101","0","2414012"
"924143200","0","0","0","924143201","0","2414013"
"924143300","0","0","0","924143301","0","2414014"
"924143400","0","0","0","924143401","0","2414015"
"924150100","924150103","924150105","924150104","924150101","924150102","2415001"
"924150200","924150203","924150205","924150204","924150201","924150202","2415002"
"924150300","924150303","924150305","924150304","924150301","924150302","2415003"
"924151100","0","0","0","924151101","0","2415004"
"924151200","0","0","0","924151201","0","2415005"
"924151300","0","0","0","924151301","0","2415006"
"924151400","0","0","0","924151401","0","2415007"
"924152100","0","0","0","924152101","0","2415008"
"924152200","0","0","0","924152201","0","2415009"
"924152300","0","0","0","924152301","0","2415010"
"924152400","0","0","0","924152401","0","2415011"
"924153100","0","0","0","924153101","0","2415012"
"924153200","0","0","0","924153201","0","2415013"
"924153300","0","0","0","924153301","0","2415014"
"924153400","0","0","0","924153401","0","2415015"
"924160100","924160103","924160105","924160104","924160101","924160102","2416001"
"924160200","924160203","924160205","924160204","924160201","924160202","2416002"
"924160300","924160303","924160305","924160304","924160301","924160302","2416003"
"924161100","0","0","0","924161101","0","2416004"
"924161200","0","0","0","924161201","0","2416005"
"924161300","0","0","0","924161301","0","2416006"
"924161400","0","0","0","924161401","0","2416007"
"924162100","0","0","0","924162101","0","2416008"
"924162200","0","0","0","924162201","0","2416009"
"924162300","0","0","0","924162301","0","2416010"
"924162400","0","0","0","924162401","0","2416011"
"924163100","0","0","0","924163101","0","2416012"
"924163200","0","0","0","924163201","0","2416013"
"924163300","0","0","0","924163301","0","2416014"
"924163400","0","0","0","924163401","0","2416015"
"925010100","925010103","925010105","925010104","925010101","925010102","2501001"
"925010200","925010203","925010205","925010204","925010201","925010202","2501002"
"925010300","925010303","925010305","925010304","925010301","925010302","2501003"
"925011100","0","0","0","925011101","0","2501004"
"925011200","0","0","0","925011201","0","2501005"
"925011300","0","0","0","925011301","0","2501006"
"925011400","0","0","0","925011401","0","2501007"
"925012100","0","0","0","925012101","0","2501008"
"925012200","0","0","0","925012201","0","2501009"
"925012300","0","0","0","925012301","0","2501010"
"925012400","0","0","0","925012401","0","2501011"
"925013100","0","0","0","925013101","0","2501012"
"925013200","0","0","0","925013201","0","2501013"
"925013300","0","0","0","925013301","0","2501014"
"925013400","0","0","0","925013401","0","2501015"
