95c391bff6f36d4228931b772660b8d9deb82fd9d58d6aad97c792b7d507d4c2,f4b3508d5c26093c863139c8e3fbfc826632abd6763e39430d30bdacc5a96bcb,ecb97c2e68276b65612ba83239d8b1cfba7d91685d68ae25e9e7a1875851efd2,187818de44f9cfba53dd93a19a2941389e4de5fd019b5810cdb59ff716a51b97,505c57657f69d5972ffff514902dba09bc61abd6816349a645585568d9a8eafa,ee1e6eaf10585e104b76d5b11ae6e869507ffe2b18ed2b81025841ecd78e2813,657786b570ea2f6899628f3d7a2895664d3340d918d0865fba0f185015f6835d
"1","810100103","810010011","810100101","810100104","810100105","810100102"
"2","810100203","810010021","810100201","810100204","810100205","810100202"
"3","810100303","810010031","810100301","810100304","810100305","810100302"
"4","810100403","810010041","810100401","810100404","810100405","810100402"
"5","810100503","810010051","810100501","810100504","810100505","810100502"
"6","810100603","810010061","810100601","810100604","810100605","810100602"
"7","810100703","810010071","810100701","810100704","810100705","810100702"
"8","810100803","810010081","810100801","810100804","810100805","810100802"
"9","810100903","810010091","810100901","810100904","810100905","810100902"
"10","0","810010101","810101001","0","0","0"
"11","810101103","810010111","810101101","810101104","810101105","810101102"
"12","810101203","810010121","810101201","810101204","810101205","810101202"
"13","810101303","810010131","810101301","810101304","810101305","810101302"
"14","810101403","810010141","810101401","810101404","810101405","810101402"
"15","810101503","810010151","810101501","810101504","810101505","810101502"
"16","810101603","810010161","810101601","810101604","810101605","810101602"
"17","810101703","810010171","810101701","810101704","810101705","810101702"
"18","810101803","810010181","810101801","810101804","810101805","810101802"
"19","810101903","810010191","810101901","810101904","810101905","810101902"
"20","0","810010201","810102001","0","0","0"
"21","810102103","810010211","810102101","810102104","810102105","810102102"
"22","810102203","810010221","810102201","810102204","810102205","810102202"
"23","810102303","810010231","810102301","810102304","810102305","810102302"
"24","810102403","810010241","810102401","810102404","810102405","810102402"
"25","810102503","810010251","810102501","810102504","810102505","810102502"
"26","810102603","810010261","810102601","810102604","810102605","810102602"
"27","810102703","810010271","810102701","810102704","810102705","810102702"
"28","810102803","810010281","810102801","810102804","810102805","810102802"
"29","810102903","810010291","810102901","810102904","810102905","810102902"
"30","0","810010301","810103001","0","0","0"
"31","810103103","810010311","810103101","810103104","810103105","810103102"
"32","810103203","810010321","810103201","810103204","810103205","810103202"
"33","810103303","810010331","810103301","810103304","810103305","810103302"
