4ac1692f9050515269facc7621364ab3bef56d34cf0fb32b748015d82f32333f,e935d65f246ac6e668c743671d169f5940aad1a6d0def506186b95a2c8016564,25eac74dc9700707d7181d049e85513e5d9dd078c5bb90e64db6ae66a0f628c0,fbc9e1251660a67328bd6d11fec3e2e0ba94520fc02937dae348412d97dface7
"5046601","1004601","1004601","1"
"5048007","1004801","1004801","1"
"1004801","1004802","1004802","2"
"5056601","1005601","1005601","1"
"5061601","1006101","1006101","1"
"5061602","1006102","1006102","3"
"5061601","1006103","1006103","1"
"5027704","1006601","1006601","4"
"0","1007001","1007001","5"
"5046601","1007301","1007301","1"
"5048007","1007501","1007501","1"
"1004801","1007502","1007502","2"
"0","1008201","1008201","6"
"5056601","1008301","1008301","1"
"5061601","1008901","1008901","1"
"5061602","1008902","1008902","3"
"5061601","1008903","1008903","1"
"5092601","1009201","1009201","3"
"5100601","1010001","1010001","3"
"5100601","1010201","1010201","3"
"0","1010901","1010901","6"
"5092601","1011901","1011901","3"
"5100601","1012701","1012701","3"
"5056601","2003201","2003201","1"
