64721f7a55f30d03b358b826441d9d2cacdc07737e8a14e38a1f04f8c2be106e,0ae22bfab6092aa66df1422d9f1d50a84c38d2dc883e665cdf7cf326170ff0cb,fb9dff2e12baa9ceccf683c87aba4ccbf9a59824c9324aef66adc8664ca32a75,5685a3662868fac700078be5e10a3bb3f4b1d622c4743d89aec1150bad184d63,153c7ac5332ebae2a1b774d6327904e0e2ec891465db1635ef32a0603e87c683
"10213","5213062","1","10213001","9000277"
"10213","5213064","2","10213002","9000278"
"10213","5213066","3","10213003","9000279"
"10213","5213068","4","10213004","9000280"
"10213","5213070","5","10213005","9000281"
"10213","5213072","6","10213006","9000282"
"10213","5213074","7","10213007","9000283"
"10213","5213076","8","10213008","9000284"
"10213","5213078","9","10213009","9000285"
"10213","5213080","10","10213010","9000286"
"10213","5213082","11","10213011","9000287"
"10213","5213084","12","10213012","9000288"
"10213","5213086","13","10213013","9000289"
"10213","5213088","14","10213014","9000290"
"10213","5213090","15","10213015","9000291"
"10213","5213092","16","10213016","9000292"
"10213","5213094","17","10213017","9000293"
"10213","5213096","18","10213018","9000294"
"10213","5213098","19","10213019","9000295"
"10213","5213100","20","10213020","9000296"
"10213","5213102","21","10213021","9000297"
