00522d01b474a3d3966969c52a267016a2b3e2daef19dd5702a26820f7ce51b8,c76039a161e4e46ce8157d1085a370812b753061d0d3842295f0f920a469dd6e,30b3a0db6c9599a48c56d73f8fdef9958abc33f7c8d272887f05eb5be40a485c,2f9a270d0b9a03071c9c4f3a8501d71efd334d4c8f1d941b2e57f298a3e332d2,0a04967ba2a347eb58fb311ede2f243a96a645b04dacec6343fca217070809ef,91a669036d579c9582608997f66ba9ce2a2078fcd2c9df6e3cf750764698f521,dffead3af8817b427cb831d3cedeacd171c25d54bc98ccaefa35f80260f819a3,27e71d5a12a48d5955482a4733f1a3565ba2804e7b4300312b9f4f312c7ee26b
"53001","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","平凡な未鑑定トレジャー","100","1","200","1","平凡な\n未鑑定トレジャー"
"53002","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","貴重な未鑑定トレジャー","200","2","400","1","貴重な\n未鑑定トレジャー"
"53003","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。","至高の未鑑定トレジャー","400","3","800","1","至高の\n未鑑定トレジャー"
"53004","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なジェムストーン","100","1","200","0","平凡なジェムストーン"
"53005","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なジェムストーン","200","2","400","0","貴重なジェムストーン"
"53006","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のジェムストーン","400","3","800","0","至高のジェムストーン"
"53007","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なインゴット","100","1","200","0","平凡なインゴット"
"53008","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なインゴット","200","2","400","0","貴重なインゴット"
"53009","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のインゴット","400","3","800","0","至高のインゴット"
"53010","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なスクロール","100","1","200","0","平凡なスクロール"
"53011","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なスクロール","200","2","400","0","貴重なスクロール"
"53012","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のスクロール","400","3","800","0","至高のスクロール"
"53013","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なティアラ","100","1","200","0","平凡なティアラ"
"53014","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なティアラ","200","2","400","0","貴重なティアラ"
"53015","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のティアラ","400","3","800","0","至高のティアラ"
"53016","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なルーン","100","1","200","0","平凡なルーン"
"53017","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なルーン","200","2","400","0","貴重なルーン"
"53018","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のルーン","400","3","800","0","至高のルーン"
"53019","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なクラウン","100","1","200","0","平凡なクラウン"
"53020","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なクラウン","200","2","400","0","貴重なクラウン"
"53021","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のクラウン","400","3","800","0","至高のクラウン"
"53022","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なアーティファクト","100","1","200","0","平凡なアーティファクト"
"53023","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なアーティファクト","200","2","400","0","貴重なアーティファクト"
"53024","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のアーティファクト","400","3","800","0","至高のアーティファクト"
