b5000161c31b936467601b809ebc3b2dc6e5335010f83da3c90d19858b3c19b2,387b62cd36b4fd65530cdb7a561718f29579366b3e3868517d4eefb945656c03,9882ecde85f2e2ff9700c000bfd2b4a8a8ed14a2b5e5afd0eeeacbb2801720ce,d59a35d873aee7d9fc45ab48a17f720789090a105cce4e5818fb5dbc095b0ce0,35773588d72d7e2cce50cbc06d433dd93fc7ca356c0c09349175eaf6f4ae9131
"770110101","111","1","90","770110101"
"770110201","111","1","90","770110201"
"770110301","111","1","90","770110301"
"770110401","111","1","90","770110401"
"770110501","111","1","90","770110501"
"770110601","111","1","90","770110601"
"770110701","111","1","90","770110701"
"770110801","111","1","90","770110801"
"770110901","111","1","90","770110901"
"770111001","111","1","90","770111001"
"770111101","111","1","90","770111101"
"770111201","111","1","90","770111201"
"770111301","111","1","90","770111301"
"770111401","111","1","90","770111401"
"770111501","111","1","90","770111501"
"770111601","111","1","90","770111601"
"770111701","111","1","90","770111701"
"770111801","111","1","90","770111801"
"770111901","111","1","90","770111901"
"770112001","111","1","90","770112001"
"770112101","111","1","90","770112101"
"770112201","111","1","90","770112201"
"770112301","111","1","90","770112301"
"770112401","111","1","90","770112401"
"770112501","111","1","90","770112501"
"770112601","111","1","90","770112601"
"770112701","111","1","90","770112701"
"770112801","111","1","90","770112801"
"770112901","111","1","90","770112901"
"770113001","111","1","90","770113001"
"770113101","111","1","90","770113101"
"770113201","111","1","90","770113201"
"770113301","111","1","90","770113301"
"770113401","111","1","90","770113401"
"770113501","111","1","90","770113501"
"770113601","111","1","90","770113601"
"770120101","112","2","90","770120101"
"770120201","112","2","90","770120201"
"770120301","112","2","90","770120301"
"770120401","112","2","90","770120401"
"770120501","112","2","90","770120501"
"770120601","112","2","90","770120601"
"770120701","112","2","90","770120701"
"770120801","112","2","90","770120801"
"770120901","112","2","90","770120901"
"770121001","112","2","90","770121001"
"770121101","112","2","90","770121101"
"770121201","112","2","90","770121201"
"770210101","121","1","90","770210101"
"770210201","121","1","90","770210201"
"770210301","121","1","90","770210301"
"770210401","121","1","90","770210401"
"770210501","121","1","90","770210501"
"770210601","121","1","90","770210601"
"770210701","121","1","90","770210701"
"770210801","121","1","90","770210801"
"770210901","121","1","90","770210901"
"770211001","121","1","90","770211001"
"770211101","121","1","90","770211101"
"770211201","121","1","90","770211201"
"770211301","121","1","90","770211301"
"770211401","121","1","90","770211401"
"770211501","121","1","90","770211501"
"770211601","121","1","90","770211601"
"770211701","121","1","90","770211701"
"770211801","121","1","90","770211801"
"770211901","121","1","90","770211901"
"770212001","121","1","90","770212001"
"770212101","121","1","90","770212101"
"770212201","121","1","90","770212201"
"770212301","121","1","90","770212301"
"770212401","121","1","90","770212401"
"770212501","121","1","90","770212501"
"770212601","121","1","90","770212601"
"770212701","121","1","90","770212701"
"770212801","121","1","90","770212801"
"770212901","121","1","90","770212901"
"770213001","121","1","90","770213001"
"770213101","121","1","90","770213101"
"770213201","121","1","90","770213201"
"770213301","121","1","90","770213301"
"770213401","121","1","90","770213401"
"770213501","121","1","90","770213501"
"770213601","121","1","90","770213601"
"770220101","122","2","90","770220101"
"770220201","122","2","90","770220201"
"770220301","122","2","90","770220301"
"770220401","122","2","90","770220401"
"770220501","122","2","90","770220501"
"770220601","122","2","90","770220601"
"770220701","122","2","90","770220701"
"770220801","122","2","90","770220801"
"770220901","122","2","90","770220901"
"770221001","122","2","90","770221001"
"770221101","122","2","90","770221101"
"770221201","122","2","90","770221201"
"770310101","131","1","90","770310101"
"770310201","131","1","90","770310201"
"770310301","131","1","90","770310301"
"770310401","131","1","90","770310401"
"770310501","131","1","90","770310501"
"770310601","131","1","90","770310601"
"770310701","131","1","90","770310701"
"770310801","131","1","90","770310801"
"770310901","131","1","90","770310901"
"770311001","131","1","90","770311001"
"770311101","131","1","90","770311101"
"770311201","131","1","90","770311201"
"770311301","131","1","90","770311301"
"770311401","131","1","90","770311401"
"770311501","131","1","90","770311501"
"770311601","131","1","90","770311601"
"770311701","131","1","90","770311701"
"770311801","131","1","90","770311801"
"770311901","131","1","90","770311901"
"770312001","131","1","90","770312001"
"770312101","131","1","90","770312101"
"770312201","131","1","90","770312201"
"770312301","131","1","90","770312301"
"770312401","131","1","90","770312401"
"770312501","131","1","90","770312501"
"770312601","131","1","90","770312601"
"770312701","131","1","90","770312701"
"770312801","131","1","90","770312801"
"770312901","131","1","90","770312901"
"770313001","131","1","90","770313001"
"770313101","131","1","90","770313101"
"770313201","131","1","90","770313201"
"770313301","131","1","90","770313301"
"770313401","131","1","90","770313401"
"770313501","131","1","90","770313501"
"770313601","131","1","90","770313601"
"770320101","132","2","90","770320101"
"770320201","132","2","90","770320201"
"770320301","132","2","90","770320301"
"770320401","132","2","90","770320401"
"770320501","132","2","90","770320501"
"770320601","132","2","90","770320601"
"770320701","132","2","90","770320701"
"770320801","132","2","90","770320801"
"770320901","132","2","90","770320901"
"770321001","132","2","90","770321001"
"770321101","132","2","90","770321101"
"770321201","132","2","90","770321201"
"770330101","133","3","90","770330101"
"770330101","233","3","90","770330102"
"770330201","133","3","90","770330201"
"770330201","233","3","90","770330202"
"770330301","133","3","90","770330301"
"770330301","233","3","90","770330302"
"770330401","133","3","90","770330401"
"770330401","233","3","90","770330402"
"770330501","133","3","90","770330501"
"770330501","233","3","90","770330502"
"770330601","333","3","90","770330601"
"770330701","333","3","90","770330701"
"770330801","333","3","90","770330801"
