d0b2e0ec8adeea2025e859f18f39ece5ff4e343353b99df7534cadb87977eeb4,32e864b5718f04d22cbbec63ee9f9b47e17e32922c73e428db980eb0f29bf746,2ac4f6835d1b8b979706a94e995674bf6a70177d5002c1406154aec9dc43e7fc,5b46dc0151bb428aa613ec80d7e850d590131d27c36aecba9d4f9144332ceb37,300802618ab6fcaf9d99882cc58e1653d91a9c888539c10c9848de3d654a2cbf
"1","0","0","1001","1"
"1","0","0","1002","2"
"1","0","0","1003","3"
"1","0","0","1004","4"
"2","0","0","2001","1"
"2","0","0","2002","2"
"2","0","0","2003","3"
"2","0","0","2004","4"
"2","0","1","2101","1"
"2","0","1","2102","2"
"2","0","1","2103","3"
"2","0","1","2104","4"
"2","10001","2","2111","11"
"2","10001","2","2112","12"
"2","10001","2","2113","13"
"3","0","0","3001","1"
"3","0","0","3002","2"
"3","0","0","3003","3"
"3","0","0","3004","4"
"4","0","0","4001","1"
"4","0","0","4002","2"
"4","0","0","4003","3"
"4","0","0","4004","4"
"4","0","0","4005","100"
"5","0","1","5010","10101"
"5","1","2","5020","10201"
"5","2","2","5021","10202"
"5","0","3","5030","10301"
"5","1","3","5031","10301"
"5","0","4","5040","10302"
"5","0","5","5050","10303"
"5","0","6","5060","10304"
"6","0","1","6001","90001"
"6","0","2","6002","90001"
"6","1","2","6003","90001"
"6","0","3","6006","90001"
"6","1","3","6007","91101"
"6","2","3","6008","91201"
"6","3","3","6009","91301"
"6","0","4","6010","90001"
"6","1","4","6011","91101"
"6","2","4","6012","91201"
"6","3","4","6013","91301"
"6","0","5","6014","90001"
"6","1","5","6015","91101"
"6","2","5","6016","91201"
"6","3","5","6017","91301"
"6","0","6","6018","90001"
"6","1","6","6019","91101"
"6","2","6","6020","91201"
"6","3","6","6021","91301"
"6","0","7","6022","92001"
"6","1","7","6023","92101"
"6","2","7","6024","92201"
"6","3","7","6025","92301"
"6","4","7","6026","92401"
"7","0","0","7000","90002"
"7","1","0","7001","90002"
"7","2","0","7002","90003"
"7","1","2","7003","90002"
"7","2","2","7004","90003"
"7","1","3","7005","91102"
"7","2","3","7006","91103"
"7","1","4","7007","91102"
"7","2","4","7008","91103"
"7","1","5","7009","91102"
"7","2","5","7010","91103"
"7","1","6","7011","91102"
"7","2","6","7012","91103"
"7","1","7","7013","92102"
"7","2","7","7014","92103"
"9","0","0","9001","20101"
"10","0","0","10001","20201"
"10","0","1","10002","20202"
"101","0","8","10180","10501"
"100","0","1","100001","1"
"100","0","2","100002","1"
"100","0","3","100003","2"
"100","0","4","100004","2"
"100","0","5","100005","2"
"100","0","6","100006","2"
"100","0","7","100007","3"
"101","0","98001","980001","10301"
"101","2","98001","980002","10402"
"101","1","98011","980011","10401"
"101","2","98012","980012","10402"
