36902feef44862b276ac25cd488e75344c99ef88ad3520dc4a67020b146693ab,27656163d79d714d4a822c794bc8f7951dfd55245d503877bdd1438011ac8e79,4463a6cb8ccc20efa1b2ae42926d71c3b3188b7f733518ec051aa64acb5658e2,9cd5e4964f1e6a51b1e7c815651e4a8a454d76b9bb19f8914872d90ee6f09e94,0e6cf718fdf6283de0eb759aae81ffc88b402a016f158ed172f578b237e604c2,c95b180d4b79bc67061f0f9bff49861b63b71af7e9e586842dbd2c06e56619a9,d0e76204073d55dcccf11eed9763026c5530ba12eb9a57761e037c4969882c4b,66325d303c1cc7085b8f9fc24756a8a6cc5413809f7a1caa7a44b23710a33860,b3bfc77bb84b0928381d82c69cb8d2e0bf092a0c090b02f3300443877f8460e4,eb70f4b508b62a873931399b8002555db1d8d17e6e3a649afac09551bace6a7c,418519f20e9d00c5c8a50157a4fddeae10d9b0e3484cc4126f53a3e47d8ca34b
"0","1001","10011105","0","1","1","pt","2","10011","0","0"
"0","1002","10015103","0","2","1","m","2","10015","1","0"
"5021700","1003","10021108","0","3","1","pt","2","10021","0","0"
"5027700","1004","5027007","0","4","1","pt","3","10027","0","0"
"5040700","1005","10040105","0","5","1","pt","2","10040","0","0"
"0","1006","5046006","5046006","6","1","pt","1","10046","0","1"
"0","1007","5072006","5072006","7","1","pt","3","10072","0","3"
"5080700","1008","5080007","5080000","8","0","pt","3","10080","0","3"
"9004201","1009","0","0","9","0","pt","0","0","0","0"
"5096700","1010","5096007","5096007","10","1","pt","1","10096","0","3"
"0","1012","10126107","5126000","11","1","pt","2","10126","0","3"
"5142700","1013","5142007","5142000","12","1","pt","3","10142","0","1"
"5156700","1014","5156007","5156000","13","1","pt","3","10156","0","1"
