88210c9b79138c0bb0c514eb916da7a8ce045a818ef41bdfc400ccc35ee8bbb5,f51684904b67e0d38fc2381a4d4381ccc6197d76c0006a5dcf039c56df89b98b,c93c5b10ae2b5571c378e780886aaa6f76aa5c732cca1145253469d514c969d0,e779431d08a3b30c06d1ac2b715f8df63fe971e9ee4c7383880e22160478448f,88a1f184eec44904a1899f3ec35e348fb5feb8297ce26ae8ebf4e4c54c5d7e13,cac71aa4119b6e93946d16560b0e9b9b094a3c8d4364effa65c5bc8789f6e0c1,47b6d17ce6ca4268fa11aed2e0d7af22c55d3b7e94b9cf7fee9f3e646b7f4866,a277d5addde39e11a88123944494a192e347e85bf45ffa673fddcaef27f207d0,4365d203cf3ec8a910fc7a2b4901147484e0a3643b45b5279798b84b1a6ea34b,0365706195608bf3b7a2b4f23ba5ad1b72986f3a178143801f7c54806772cdaf,83ad471fb647a59005d6e089df0640541a2d228346580e424d933cd981184e9e
"1","284001001","8","91002","10","2","25021","8","2","25014","31"
"2","284001002","8","91002","10","2","25021","8","2","25014","31"
"3","284001003","8","91002","10","2","25021","8","2","25014","32"
"4","284001004","8","91002","10","2","25021","8","2","25014","32"
"5","284001005","8","91002","10","2","25021","8","2","25014","33"
"6","284001006","8","91002","10","2","25021","9","2","25014","33"
"7","284001007","8","91002","10","2","25021","9","2","25014","34"
"8","284001008","8","91002","10","2","25021","9","2","25014","35"
"9","284001009","8","91002","10","2","25021","9","2","25014","35"
"10","284001010","8","91002","30","2","25021","10","2","25014","37"
"11","284001011","8","91002","10","2","25021","10","2","25014","41"
"12","284001012","8","91002","10","2","25021","11","2","25014","43"
"13","284001013","8","91002","10","2","25021","11","2","25014","46"
"14","284001014","8","91002","10","2","25021","12","2","25014","48"
"15","284001015","8","91002","10","2","25021","12","2","25014","50"
"16","284001016","8","91002","10","2","25021","13","2","25014","53"
"17","284001017","8","91002","10","2","25021","14","2","25014","55"
"18","284001018","8","91002","10","2","25021","14","2","25014","58"
"19","284001019","8","91002","10","2","25021","15","2","25014","60"
"20","284001020","8","91002","30","2","25021","15","2","25014","62"
"21","284001021","8","91002","10","2","25021","16","2","25014","68"
"22","284001022","8","91002","10","2","25021","16","2","25014","70"
"23","284001023","8","91002","10","2","25021","16","2","25014","72"
"24","284001024","8","91002","10","2","25021","17","2","25014","75"
"25","284001025","8","91002","10","2","25021","18","2","25014","77"
"26","284001026","8","91002","10","2","25021","18","2","25014","79"
"27","284001027","8","91002","10","2","25021","19","2","25014","82"
"28","284001028","8","91002","10","2","25021","19","2","25014","84"
"29","284001029","8","91002","10","2","25021","19","2","25014","86"
"30","284001030","8","91002","30","2","25021","20","2","25014","89"
