9bac9fff1fb2ee54140c77add84a29a281c1dfe91510290e980c2b7c592dab10,50ca44a1516df4e95f6aa3a3347b227d8e71c0e229bd5c88ee77026764f80aa9,8965f1683f2c713669ebf72447cc6eca628864b7a74c1ee620efea7cebc4d83a,a3af6a5e8299ec87ba979468c10059808c35a8e84fbd592763dab27ff00f133d,e93861edc92970c23f0e41fb512ef4360204107221b4a35183a57af5bb4a3727,7efaa55e3062a8d26d9839df90c93339cb18d395705391c29349c966a5873b7a,fff2ad7ce7f6dcd6419e53246a1d867d49d56cbca34af78be670ef9bb3d57758,c5a33fe9ee132223195f0cb1d0b0f1c953c732da0e57b51d0a4db0aab8a02ed2,6066a2dd5a1b31f1585b934f9107754e8e2b4baf45134e2cb8de748b39334d07,28a86cbfbb47c5f335b530b277f38c425f6cf52e7b934bf8ce1e9e7ef60804b5,7e949f6846d7605dfaae69cf32717a1d0a966582024dface80f739bb8541f6d0,884fd268c19c56f7ab6b04f45094d928c9c246f3e5c444e2bd9d84e18036e01d
"0","1","1","101","0","0","2","0","11041","104","4","0"
"1","2","2","201","0","0","3","0","10141","14","2","0"
"2","3","3","301","0","0","2","0","11031","103","2","0"
"3","4","4","401","0","0","1","0","11021","102","1","0"
"4","5","5","501","0","0","2","0","11041","104","4","0"
"5","6","6","601","0","0","3","0","10011","1","1","0"
"6","7","7","701","0","0","4","0","11011","101","3","0"
"7","8","8","801","0","0","3","0","11001","100","1","0"
"8","9","9","901","0","0","2","0","11041","104","4","0"
"9","10","10","1001","0","0","3","0","10011","1","2","0"
"10","11","11","1101","0","0","4","0","10511","51","1","0"
"11","12","12","1201","0","0","3","0","10521","52","2","0"
"12","13","13","1301","0","0","2","0","11041","104","4","0"
"13","14","14","1401","0","0","1","0","11031","103","1","0"
"14","15","15","1501","0","0","2","0","11021","102","1","0"
"15","16","16","1601","0","0","3","0","10011","1","1","0"
"16","17","17","1701","0","0","2","0","11041","104","4","0"
"17","18","18","1801","0","0","3","0","10501","50","2","0"
