882b480a062326ee62e0c5d92ae37dbdddb0f66c61217532ef4186cd66110930,b88bc1aea0656d3b8ad62a05552cd029be7884cbbc575d62959d24a011d5fd02,2b63e6f0fd1d9239c17f3513be757ba8145d0336de7cd479e24a74da6b46ef62,6e9d5498b30effd88e623bf30b1066488f67afd1506e8ef64ba53a4f1f027b7e,b7e5aefbf5c780253666a57becedae6a6d2cc6f1cd6ecc5f87ed0ce092b095b3,7471e75be37c9302151b6845bd77dc6d6287119438b07f44251a5c86a20f9da5,28f5e06c8faf9c1d58e8d0a3e79ca1a8b09852968526b413ae209e316b425f2d,3dbb09cd324fd2b713cb4b6ffa3bfb1612ea14a4addb7e26ffdc659b20852ae1,a0c9fb3b5e3518fb1746a8c7226d9b3c1d19c57b393f7b3217ca0f7273ebc2da
"唯一無二の","0","1","1","1","1","2","3","1"
"完全無欠の","0","1","1","1","1","2","3","2"
"ランドソル最速の","1","1","1","1","1","2","3","3"
"明鏡止水の","0","1","1","1","1","2","3","4"
"史上最速の","0","1","1","1","1","2","3","5"
"最強最速の","0","1","1","1","1","2","3","6"
"アルティメット","2","1","1","1","1","2","3","7"
"百点満点","0","1","1","1","1","2","3","8"
"最優秀","0","1","1","1","1","2","3","9"
"一騎当千の","0","1","1","1","1","2","3","10"
"唯一無二の","0","1","1","1","1","2","3","11"
"天下無双の","0","1","1","1","1","2","3","12"
"泰然自若の","0","0","1","1","1","2","3","13"
"ハイパー","0","0","1","1","1","2","3","14"
"光速の","0","0","1","1","1","2","3","15"
"稀代の","0","0","1","1","1","2","3","16"
"極限の","0","0","1","1","1","2","3","17"
"至高の","0","0","1","1","1","2","3","18"
"煌めく","0","0","1","1","1","2","3","19"
"百戦錬磨の","0","0","1","1","1","2","3","20"
"疾風迅雷の","0","0","1","1","1","2","3","21"
"電光石火の","0","0","1","1","1","2","3","22"
"変幻自在の","0","1","1","1","0","2","3","23"
"空前絶後の","0","1","1","1","0","2","3","24"
"レペゼン","0","1","1","1","0","2","3","25"
"音速の","0","1","1","1","0","2","3","26"
"常識外れの","0","1","1","1","0","2","3","27"
"獅子奮迅の","0","1","1","1","0","2","3","28"
"勇猛果敢なる","2","1","1","1","0","2","3","29"
"威風堂々たる","2","1","1","1","0","2","3","30"
"急がば回れ","0","1","1","1","0","2","3","31"
"心頭滅却","0","1","1","1","0","2","3","32"
"夢見る","0","0","1","1","0","2","3","33"
"ナイス","0","0","1","1","0","2","3","34"
"そこそこの","0","0","1","1","0","2","3","35"
"若葉マークの","2","0","1","1","0","2","3","36"
"未来ある","0","0","1","1","0","2","3","37"
"新米","0","0","1","1","0","2","3","38"
"駆け出しの","0","0","1","1","0","2","3","39"
"ぼちぼちの","0","0","1","1","0","2","3","40"
"新進気鋭の","0","0","1","1","0","2","3","41"
"不撓不屈の","0","0","1","1","0","2","3","42"
"七転八起の","0","0","1","1","0","2","3","43"
"がんばれ","0","0","1","1","0","2","3","44"
"選ばれし","0","1","1","2","1","2","3","45"
"アルティメット","2","1","1","2","1","2","3","46"
"オーシャンブルー","1","1","1","2","1","2","3","47"
"海に愛された","2","1","1","2","1","2","3","48"
"大海を統べる","2","1","1","2","1","2","3","49"
"伝説の","0","1","1","2","1","2","3","50"
"世界を揺るがす","2","1","1","2","1","2","3","51"
"スーパーワイルド","1","1","1","2","1","2","3","52"
"神がかった","0","1","1","2","1","2","3","53"
"ぶっちぎりの","2","1","1","2","1","2","3","54"
"誰にも止められない","1","0","1","2","1","2","3","55"
"血湧き肉躍る","2","0","1","2","1","2","3","56"
"メガ","0","0","1","2","1","2","3","57"
"ナチュラルボーン","1","0","1","2","1","2","3","58"
"大海原の","0","0","1","2","1","2","3","59"
"アドレナリン全開の","1","0","1","2","1","2","3","60"
"オーマ産の","0","0","1","2","1","2","3","61"
"手練れの","0","0","1","2","1","2","3","62"
"歴戦の","0","0","1","2","1","2","3","63"
"水を得た","0","0","1","2","1","2","3","64"
"ド級の","0","0","1","2","1","2","3","65"
"ただ者ではない","2","1","1","2","0","2","3","66"
"勇猛なる","0","1","1","2","0","2","3","67"
"ひた走る","0","1","1","2","0","2","3","68"
"目にも留まらぬ","2","1","1","2","0","2","3","69"
"荒波の","0","1","1","2","0","2","3","70"
"レイジオブ","0","1","1","2","0","2","3","71"
"負けず嫌いの","2","1","1","2","0","2","3","72"
"伸び盛りの","0","1","1","2","0","2","3","73"
"型破りの","0","1","1","2","0","2","3","74"
"暴れる","0","1","1","2","0","2","3","75"
"荒れくるう","0","1","1","2","0","2","3","76"
"うわさの","0","0","1","2","0","2","3","77"
"ビーチサイドの","2","0","1","2","0","2","3","78"
"元気はつらつ","2","0","1","2","0","2","3","79"
"常夏を駆ける","2","0","1","2","0","2","3","80"
"マッスル","0","0","1","2","0","2","3","81"
"金波銀波の","0","0","1","2","0","2","3","82"
"生まれながらの","2","0","1","2","0","2","3","83"
"お騒がせの","0","0","1","2","0","2","3","84"
"未知数の","0","0","1","2","0","2","3","85"
"激ヤバ","0","0","1","2","0","2","3","86"
"負けるな","0","0","1","2","0","2","3","87"
"ライトスピード","2","1","1","3","1","2","3","88"
"プロフェッショナル","1","1","1","3","1","2","3","89"
"トップオブ","0","1","1","3","1","2","3","90"
"ゴールドメダル","2","1","1","3","1","2","3","91"
"アルティメット","2","1","1","3","1","2","3","92"
"ザ・ベスト","0","1","1","3","1","2","3","93"
"パーフェクト","2","1","1","3","1","2","3","94"
"100年に1人の","1","1","1","3","1","2","3","95"
"レジェンダリー","2","1","1","3","1","2","3","96"
"超一流の","0","1","1","3","1","2","3","97"
"世界の","0","1","1","3","1","2","3","98"
"選ばれし","0","1","1","3","1","2","3","99"
"アスレチック","2","0","1","3","1","2","3","100"
"偉大なる","0","0","1","3","1","2","3","101"
"スーパーソニック","1","0","1","3","1","2","3","102"
"ウルトラ","0","0","1","3","1","2","3","103"
"MVPの","0","0","1","3","1","2","3","104"
"ジェネラル","0","0","1","3","1","2","3","105"
"オールラウンド","2","0","1","3","1","2","3","106"
"シルバーメダル","2","0","1","3","1","2","3","107"
"聖なる","0","0","1","3","1","2","3","108"
"エクセレント","2","0","1","3","1","2","3","109"
"一流の","0","0","1","3","1","2","3","110"
"マーベラス","0","0","1","3","1","2","3","111"
"スーパー","0","1","1","3","0","2","3","112"
"フライング","0","1","1","3","0","2","3","113"
"グレート","0","1","1","3","0","2","3","114"
"アンストッパブル","1","1","1","3","0","2","3","115"
"カリスマ","0","1","1","3","0","2","3","116"
"万能","0","1","1","3","0","2","3","117"
"新世代の","0","1","1","3","0","2","3","118"
"栄えある","0","1","1","3","0","2","3","119"
"異彩を放つ","0","1","1","3","0","2","3","120"
"いぶし銀の","0","1","1","3","0","2","3","121"
"天下の","0","1","1","3","0","2","3","122"
"レッツゴー","0","0","1","3","0","2","3","123"
"グッド","0","0","1","3","0","2","3","124"
"ホップ・ステップ・","1","0","1","3","0","2","3","125"
"伸びしろのある","2","0","1","3","0","2","3","126"
"ブロンズメダル","2","0","1","3","0","2","3","127"
"期待の","0","0","1","3","0","2","3","128"
"ジャンピング","2","0","1","3","0","2","3","129"
"新時代の","0","0","1","3","0","2","3","130"
"知る人ぞ知る","2","0","1","3","0","2","3","131"
