8e95b903ac3eb05e0d9759cd20563945f0de88d7a9433eeee8dc544142e6c6af,c6f660e100c368a1cba5c2d088f1fa8a303d2f4ea58ee140f933faa3618becad,2d608571833eaf1d2d9ec5ffeb0ff94b9eede9364fe2b9fdba9a370fd1383944,918f42d777ee2321671aee128fcf1189caa62d56ccd605948c020dd51d2056eb,fdfd45eb159735009c8865aa4d8f14ee65c713eabd040d00f019821d21683010,0e6f5505900255876602d6cad45e1f1f1738a1386088ab77c9bfe46ecffeb22f,bdd0d2156752d2960e558538bb52f6e4a68e5e3516b3d88acc60fae9bbc70ad8,787e1e5392f6d6a9d2c4fab8c3822526b32ea05ca39d32d6afdabb6bed060f9c,60881bf5f341f18c560707a0962075aee52b67510b5f32bc47e2efba4a950537,8a2eb3281560fb02d9867608075f0f50725dd424d4aae0886044ac0290afa243,d4d756c314cf8188cd7ae791244c79e9e9763c5e102eb920546aca384bb3d9f2
"1","25021","8","2","10","91002","2","31","283001001","8","25013"
"2","25021","8","2","10","91002","2","31","283001002","8","25013"
"3","25021","8","2","10","91002","2","32","283001003","8","25013"
"4","25021","8","2","10","91002","2","32","283001004","8","25013"
"5","25021","8","2","10","91002","2","33","283001005","8","25013"
"6","25021","9","2","10","91002","2","33","283001006","8","25013"
"7","25021","9","2","10","91002","2","34","283001007","8","25013"
"8","25021","9","2","10","91002","2","35","283001008","8","25013"
"9","25021","9","2","10","91002","2","35","283001009","8","25013"
"10","25021","10","2","30","91002","2","37","283001010","8","25013"
"11","25021","10","2","10","91002","2","41","283001011","8","25013"
"12","25021","11","2","10","91002","2","43","283001012","8","25013"
"13","25021","11","2","10","91002","2","46","283001013","8","25013"
"14","25021","12","2","10","91002","2","48","283001014","8","25013"
"15","25021","12","2","10","91002","2","50","283001015","8","25013"
"16","25021","13","2","10","91002","2","53","283001016","8","25013"
"17","25021","14","2","10","91002","2","55","283001017","8","25013"
"18","25021","14","2","10","91002","2","58","283001018","8","25013"
"19","25021","15","2","10","91002","2","60","283001019","8","25013"
"20","25021","15","2","30","91002","2","62","283001020","8","25013"
"21","25021","16","2","10","91002","2","68","283001021","8","25013"
"22","25021","16","2","10","91002","2","70","283001022","8","25013"
"23","25021","16","2","10","91002","2","72","283001023","8","25013"
"24","25021","17","2","10","91002","2","75","283001024","8","25013"
"25","25021","18","2","10","91002","2","77","283001025","8","25013"
"26","25021","18","2","10","91002","2","79","283001026","8","25013"
"27","25021","19","2","10","91002","2","82","283001027","8","25013"
"28","25021","19","2","10","91002","2","84","283001028","8","25013"
"29","25021","19","2","10","91002","2","86","283001029","8","25013"
"30","25021","20","2","30","91002","2","89","283001030","8","25013"
"31","25021","20","2","10","91002","2","94","283001031","8","25013"
"32","25021","21","2","10","91002","2","96","283001032","8","25013"
"33","25021","21","2","10","91002","2","99","283001033","8","25013"
"34","25021","22","2","10","91002","2","101","283001034","8","25013"
"35","25021","22","2","10","91002","2","103","283001035","8","25013"
"36","25021","23","2","10","91002","2","106","283001036","8","25013"
"37","25021","23","2","10","91002","2","108","283001037","8","25013"
"38","25021","24","2","10","91002","2","111","283001038","8","25013"
"39","25021","25","2","10","91002","2","113","283001039","8","25013"
"40","25021","25","2","30","91002","2","115","283001040","8","25013"
"41","25021","26","2","10","91002","2","121","283001041","8","25013"
"42","25021","27","2","10","91002","2","123","283001042","8","25013"
"43","25021","28","2","10","91002","2","125","283001043","8","25013"
"44","25021","28","2","10","91002","2","128","283001044","8","25013"
"45","25021","29","2","10","91002","2","130","283001045","8","25013"
"46","25021","30","2","10","91002","2","132","283001046","8","25013"
"47","25021","30","2","10","91002","2","135","283001047","8","25013"
"48","25021","31","2","10","91002","2","137","283001048","8","25013"
"49","25021","31","2","10","91002","2","139","283001049","8","25013"
"50","25021","31","2","30","91002","2","142","283001050","8","25013"
