3e611b871f7dc75c5be7d5100d5c16fbe466e5f36c80507372f384b0884d68a2,1d46d676b745efb3c42b011be295a656ab0fa0bb7c17520ec720120afcfff147,d7122b9a8ed0d00a4b72ea48939ab78ce5c96389783ecf761847da029640bb31,ac604cbb1d4429058be1ffbc9669b81da8e2925493b625949992d5e137472a85
"1001","78100101","1","1"
"1001","78100102","2","2"
"1001","78100103","3","3"
"1001","78100104","4","4"
"1001","78100105","5","5"
"1002","78100201","1","6"
"1002","78100202","2","7"
"1002","78100203","3","8"
"1002","78100204","4","9"
"1002","78100205","5","10"
"1003","78100301","1","11"
"1003","78100302","2","12"
"1003","78100303","3","13"
"1003","78100304","4","14"
"1003","78100305","5","15"
"1004","78100401","1","16"
"1004","78100402","2","17"
"1004","78100403","3","18"
"1004","78100404","4","19"
"1004","78100405","5","20"
"1005","78100501","1","21"
"1005","78100502","2","22"
"1005","78100503","3","23"
"1005","78100504","4","24"
"1005","78100505","5","25"
"1006","78100601","1","26"
"1006","78100602","2","27"
"1006","78100603","3","28"
"1006","78100604","4","29"
"1006","78100605","5","30"
"1007","78100701","1","31"
"1007","78100702","2","32"
"1007","78100703","3","33"
"1007","78100704","4","34"
"1007","78100705","5","35"
