313a4cefdf8a7a3da47e76f815df63ef678a7f0f226d6acd05bdd1077a92fb46,d0c1e13405e9350485d415d1532ab5d272594619df234f670d417e409385227c,0c849f25a693b4d711b60a087dc4ac80a6550e86d8fb2d70bf4a4e285e7c657b,211f00d97072e1628a310f1c668e00418d2408d069edf64e4afc64079010b4cf,2d4225562d07f81d84c728061cec03274c384dfc140f90f1398d26300a8acb2d,e5010ed989adc31a026357e255b7e20ceac435b13bb8e82b787bf263b709e66b,1373528bf29690300bca8a23fc678e25dee615a6b6aa53007276feb5d1efcb70,f900822e97554931ed23f99d084c41b0ba26d76c580fd664a23525137aa63923,ce66a930058b59a0289a179dcdcd83a49bba695dcd3abcf51d4180a0f3891b7d
"600","0","21","1101001","0","0","0","1101002","0"
"2400","0","22","1101002","0","0","600","1101003","0"
"1","0","20","1101003","0","0","-1500","1","50"
"900","0","21","1101011","0","0","0","1101012","0"
"2100","0","22","1101012","0","0","700","1101013","0"
"1","0","20","1101013","0","0","-1500","1","200"
"400","0","21","1101021","0","0","0","1101022","0"
"2000","0","22","1101022","0","0","500","1101023","0"
"1","0","20","1101023","0","0","-1500","1","350"
"1000","0","21","1101031","0","0","0","1101032","0"
"1800","0","22","1101032","0","0","900","1101033","0"
"1","0","20","1101033","0","0","-1500","1","500"
"500","0","21","1101041","0","0","0","1101042","0"
"1600","0","22","1101042","0","0","800","1101043","0"
"1","0","20","1101043","0","0","-1500","1","750"
"1","0","1","1101101","0","2","2","25","2"
"1","0","20","1102001","0","0","-2000","1","-100"
"1","0","1","1102101","0","2","2","20","10"
"2","0","10","1102102","0","2","0","200000","0"
"500","0","21","1103001","0","0","0","1103002","0"
"0","0","3","1103002","0","2","0","1000","0"
"3","0","2","1202001","0","2","3000","-15","0"
"3","0","2","1204001","0","1","30000","15","0"
"3","0","2","1205001","0","1","30000","10","0"
"3","0","2","1206001","0","1","30000","10","0"
"3","0","2","1207001","0","1","30000","10","0"
"2","0","2","1208001","0","1","3000","15","0"
"1","0","2","1209001","0","1","3000","25","0"
"2","0","2","1210001","0","1","3000","10","0"
"3000","0","21","1210002","0","0","0","1210003","0"
"1","0","2","1210003","0","1","30000","15","0"
"2","0","2","1211001","0","1","3000","-10","0"
"3000","0","21","1211002","0","0","0","1211003","0"
"1","0","2","1211003","0","2","30000","-15","0"
"1","0","2","1213001","0","2","30000","-10","0"
"2","0","2","1213002","0","2","30000","-10","0"
"3","0","2","1214001","0","2","1500","-25","0"
"3","0","2","1216001","0","2","3000","-20","0"
"3","0","2","1218001","0","1","30000","20","0"
"3","0","2","1219001","0","1","30000","15","0"
"3","0","2","1220001","0","1","30000","15","0"
"3","0","2","1221001","0","1","30000","15","0"
"2","0","2","1222001","0","1","3000","20","0"
"1","0","2","1223001","0","1","3000","30","0"
"2","0","2","1224001","0","1","3000","15","0"
"3000","0","21","1224002","0","0","0","1224003","0"
"1","0","2","1224003","0","1","30000","20","0"
"2","0","2","1225001","0","1","3000","-10","0"
"3000","0","21","1225002","0","0","0","1225003","0"
"1","0","2","1225003","0","2","30000","-20","0"
"1","0","2","1227001","0","2","30000","-15","0"
"2","0","2","1227002","0","2","30000","-15","0"
"3","0","2","1228001","0","2","1500","-35","0"
"3","0","2","1229001","0","1","30000","20","0"
"2","0","2","1230001","0","1","3000","20","0"
"3000","0","21","1230002","0","0","0","1230003","0"
"1","0","2","1230003","0","1","30000","50","0"
"3","0","2","1232001","0","2","3000","-25","0"
"3","0","2","1234001","0","1","30000","25","0"
"3","0","2","1235001","0","1","30000","20","0"
"3","0","2","1236001","0","1","30000","20","0"
"3","0","2","1237001","0","1","30000","20","0"
"2","0","2","1238001","0","1","3000","25","0"
"1","0","2","1239001","0","1","3000","35","0"
"2","0","2","1240001","0","1","3000","20","0"
"3000","0","21","1240002","0","0","0","1240003","0"
"1","0","2","1240003","0","1","30000","25","0"
"2","0","2","1241001","0","1","3000","-10","0"
"3000","0","21","1241002","0","0","0","1241003","0"
"1","0","2","1241003","0","2","30000","-25","0"
"1","0","2","1242001","0","2","30000","-20","0"
"2","0","2","1242002","0","2","30000","-20","0"
"3","0","2","1244001","0","2","1500","-75","0"
"3","0","2","1246001","0","1","30000","20","0"
"3","0","2","1247001","0","1","30000","30","0"
"3000","0","21","1247002","0","0","0","1247003","0"
"1","0","2","1247003","0","1","3000","25","0"
"1","0","2","1248001","0","1","3000","75","0"
"3","0","2","1249001","0","2","1500","-90","0"
"2","0","2","2101001","0","1","30000","10","0"
"2","0","2","2102001","0","1","30000","10","0"
"2","0","2","2103001","0","2","3000","-15","0"
"3","0","2","2103002","0","2","3000","-15","0"
"3","0","2","2105001","0","2","3000","-25","0"
"3","0","2","2107001","0","1","30000","25","0"
"3","0","2","2108001","0","1","30000","10","0"
"3","0","2","2109001","0","1","30000","10","0"
"3","0","2","2110001","0","1","30000","10","0"
"2","0","2","2111001","0","1","3000","15","0"
"1","0","2","2112001","0","1","3000","25","0"
"2","0","2","2113001","0","1","3000","10","0"
"3000","0","21","2113002","0","0","0","2113003","0"
"1","0","2","2113003","0","1","30000","25","0"
"2","0","2","2114001","0","1","3000","-10","0"
"3000","0","21","2114002","0","1","0","2114003","0"
"1","0","2","2114003","0","2","30000","-25","0"
"1","0","2","2116001","0","2","30000","-10","0"
"2","0","2","2116002","0","2","30000","-10","0"
"3","0","2","2117001","0","2","1500","-50","0"
"300","0","21","3301001","0","0","0","3301002","0"
"2","0","20","3301002","0","0","30","1","20"
"1","0","1","3301101","0","2","1","0","100"
"1","0","1","3302001","0","2","1","0","40"
"1","0","1","3302002","0","2","1","0","60"
"1","0","1","3303001","0","2","1","0","12"
"1","0","1","3303002","0","2","1","0","28"
"1","0","1","3304001","0","2","1","0","40"
"1","0","1","3304002","0","2","1","0","100"
"200","0","21","3305001","0","0","0","3305011","0"
"200","0","21","3305002","0","0","0","3305012","0"
"200","0","21","3305003","0","0","0","3305013","0"
"200","0","21","3305004","0","0","0","3305014","0"
"200","0","21","3305005","0","0","0","3305015","0"
"200","0","21","3305006","0","0","0","3305016","0"
"2","30","20","3305011","0","0","26","1","15"
"2","15","20","3305012","0","0","29","1","8"
"2","0","20","3305013","0","0","30","1","0"
"2","-15","20","3305014","0","0","29","1","-8"
"2","-30","20","3305015","0","0","26","1","-15"
"1","0","10","3305016","0","1","180","30000","0"
"1","0","1","3305101","0","2","1","0","20"
"2","0","20","3402001","0","0","274","1","29"
"2000","0","11","3402101","0","3","0","500000","0"
"200","0","21","3403001","0","0","0","3403002","0"
"1","0","10","3403002","0","1","0","200000","0"
"0","0","4","4001001","0","3","0","0","0"
"0","0","1","4001002","0","3","0","99999","0"
"9","9","1","4002001","9","3","9","99999","9"
