ef3d2b9ed01e3e237a963c9ea885d9597bc74a7a3494f6f9e491b7ecd93afb91,41ad48bdaeeb68ef22f8b7ed1c8cb781593e45b8d04bfe89e7b9ddfae4cd0b8e,59145d39f007413c2a5486b57b754cf742ca7e27bda876843f940f5708a2cd2b,429b8a8b295294ca6784eea5dfaf0d05104f1d395e1c62ae080b6532a5e8790b,b6db9ea4de9b51e738eb49ce9874253e1c29cceb6a894d6380b8924bf7b54e56,30c74d33df9f3d24a73828a4a39c3b10c237a8cd738a429293174ec6ff46c7b1,824a0578c7c7fbe3c1b40d254938fbc21f6a61b66d55a0878f49226f2bb4f275,20947e18f308ca086a5d0718cfb1952dc05e6f3ef87cebe1d005107122ac0a1a,bb5337053feaa8dd57475614bcaaa4be3c8e00561358b8534c2156885e79b349,f4965fe432992ab7cf27ab5119bf745ab6c19deed6b78db13081e3373470aedc,b89321b64b6c9e20517d1ee3d5e184bd8b7a525eb0fc5eb50e3e97405281aaf6
"-225","105811","5146061","1","-278","1","61001","1.8","100","idle_normal","0"
"-225","1058","5146061","5","-278","6","61002","1.8","101","idle_normal","0"
"-385","105911","5146061","1","-288","1","61003","1.8","103","kokkoro_idle_normal","0"
"-385","1059","5146061","5","-288","3","61004","1.8","104","kokkoro_idle_normal","0"
"290","106011","5146061","1","-278","1","61005","1.8","106","idle_normal","1"
"290","1060","5146061","5","-278","4","61006","1.8","107","idle_normal","1"
"","200","5146061","13","","105811","61007","","","",""
"","203","5146061","13","","105911","61008","","","",""
"","206","5146061","13","","106011","61009","","","",""
"0","7","5146061","5","-174","7","61010","0.85","15","idle","0"
"290","201","5146061","5","8","20","61011","1","210","empty","0"
"0","202","5146061","5","-78","20","61012","1","211","empty","0"
"-315","203","5146061","5","16","20","61013","1","210","empty","0"
"0","21","5146061","5","153","21","61014","1","60","empty","0"
"0","1","5146061","31","1","1","61015","1","0","",""
"-57.7","2","5146061","31","1","2","61016","0","0","",""
"0","10","5146061","31","1","10","61017","0","0","",""
"0","11","5146061","31","1","11","61018","0","0","",""
"","0","5146061","91","","0","61019","","","",""
"","0","5146061","102","","0","61020","","0","",""
"","0","5146061","93","","1","61021","","","",""
"doya_talk_shy","doya_in_shy","5146061","3","1","106011","61022","0.2","0","","0"
"doya_talk_shy","doya_in_shy","5146061","3","1","1060","61023","0.2","0","","0"
"0","vo_apg_0101","5146061","21","","vo_apg","61024","","0","",""
"1","ジェットコースター乗車中の\n魔法の写真撮影サービス？\nフン、人の無防備な写真勝手に撮って、\n後で売り付けよーとかくだらないわ！","5146061","11","1","106011","61025","0","10","0","0"
"","","5146061","91","","0","61026","","","",""
"","1","5146061","32","","2","61027","","","",""
"","fade105_in","5146061","37","","2","61028","","","",""
"","0","5146061","4","","106011","61029","","","",""
"","0","5146061","4","","1060","61030","","","",""
"","sad_idle_dere_shy","5146061","3","","106011","61031","0.5","1","",""
"","sad_idle_dere_shy","5146061","3","","1060","61032","0.5","1","",""
"0","vo_apg_0102","5146061","21","","vo_apg","61033","","0","",""
"","0102_in","5146061","3","","201","61034","0","0","",""
"","1","5146061","93","","4.6","61035","","","",""
"","0102_mid","5146061","3","","201","61036","0","0","",""
"","","5146061","92","","","61037","","","",""
"","0102_out","5146061","3","","201","61038","0","0","",""
"","0","5146061","93","","0.2","61039","","","",""
"kyaru_smile_idle","kyaru_smile_in","5146061","3","1","106011","61040","0.2","0","","0"
"kyaru_smile_idle","kyaru_smile_in","5146061","3","1","1060","61041","0.2","0","","0"
"0","vo_apg_0103","5146061","21","","vo_apg","61042","","0","",""
"","0103_in","5146061","3","","201","61043","0","0","",""
"","1","5146061","93","","5.4","61044","","","",""
"","0103_mid","5146061","3","","201","61045","0","0","",""
"","","5146061","92","","","61046","","","",""
"","0103_out","5146061","3","","201","61047","0","0","",""
"","0","5146061","93","","0.2","61048","","","",""
"","fade105_out","5146061","37","","2","61049","","","",""
"","1","5146061","4","","105811","61050","","","",""
"","1","5146061","4","","1058","61051","","","",""
