6c24686c6d6a16ec9208057b4a540d3472612a5b9ead8951673805d6482b11ff,38665c4d78321c10868753a43fdc5c1e349793a31d9773cad2c0e6c61ae63b95,1382ec256a389af8247c274ec8fbfd36298c3945174bd5f8b94c159b3c36d249,1c807e391d24996f3a8beb76b5eda254e73246a70144f37bed2d53eb295d7846,562185337fec2b1062ed322c3366fb20784d27618c380b2976cf1a36d47d2db8,05cd72ddf7f23a6131bb2f4622f1efb5a04be5ad8c386267fd15b32aa0ac9ddd
"2146041","212","1","211","803100263","3001"
"2146042","212","1","211","803100263","3002"
"2146043","212","1","211","803100263","3003"
"2146044","212","1","211","803100263","3004"
"2147041","212","1","213","803100272","3006"
"2147042","212","1","213","803100272","3007"
"2145039","313","1","202","803100253","30011"
"2145040","302","0","105","803100253","30012"
"2145069","311","1","204","803100256","30021"
"2145070","312","1","205","803100256","30022"
"2145099","310","1","212","803100259","30031"
"2145100","301","0","107","803100259","30032"
"2146039","307","0","110","803100262","30041"
"2146040","302","0","105","803100262","30042"
"2146081","314","1","203","803100267","30051"
"2147019","312","1","205","803100269","30061"
"2147020","303","0","106","803100269","30062"
"2147039","313","1","202","803100271","30071"
"2147040","310","1","212","803100271","30072"
"2145011","100","0","104","803100251","300101"
"2145012","100","0","104","803100251","300102"
"2145013","102","0","105","803100251","300103"
"2145014","100","0","104","803100251","300104"
"2145015","102","0","105","803100251","300105"
"2145016","103","0","106","803100251","300106"
"2145017","102","0","105","803100251","300107"
"2145018","103","0","106","803100251","300108"
"2145019","111","1","204","803100251","300109"
"2145020","100","0","104","803100251","300110"
"2145021","100","0","104","803100252","300111"
"2145022","102","0","105","803100252","300112"
"2145023","100","0","104","803100252","300113"
"2145024","102","0","105","803100252","300114"
"2145025","103","0","106","803100252","300115"
"2145026","102","0","105","803100252","300116"
"2145027","103","0","106","803100252","300117"
"2145028","111","1","204","803100252","300118"
"2145029","100","0","104","803100252","300119"
"2145030","100","0","104","803100252","300120"
"2145031","102","0","105","803100253","300121"
"2145032","100","0","104","803100253","300122"
"2145033","102","0","105","803100253","300123"
"2145034","112","1","208","803100253","300124"
"2145035","110","1","212","803100253","300125"
"2145036","100","0","104","803100253","300126"
"2145037","102","0","105","803100253","300127"
"2145038","103","0","106","803100253","300128"
"2145041","101","0","107","803100254","300201"
"2145042","101","0","107","803100254","300202"
"2145043","102","0","105","803100254","300203"
"2145044","103","0","106","803100254","300204"
"2145045","113","1","202","803100254","300205"
"2145046","114","1","203","803100254","300206"
"2145047","101","0","107","803100254","300207"
"2145048","113","1","202","803100254","300208"
"2145049","114","1","203","803100254","300209"
"2145050","101","0","107","803100254","300210"
"2145051","101","0","107","803100255","300211"
"2145052","102","0","105","803100255","300212"
"2145053","103","0","106","803100255","300213"
"2145054","113","1","202","803100255","300214"
"2145055","114","1","203","803100255","300215"
"2145056","101","0","107","803100255","300216"
"2145057","113","1","202","803100255","300217"
"2145058","114","1","203","803100255","300218"
"2145059","101","0","107","803100255","300219"
"2145060","101","0","107","803100255","300220"
"2145061","102","0","105","803100256","300221"
"2145062","103","0","106","803100256","300222"
"2145063","101","0","107","803100256","300223"
"2145064","112","1","208","803100256","300224"
"2145065","110","1","212","803100256","300225"
"2145066","102","0","105","803100256","300226"
"2145067","103","0","106","803100256","300227"
"2145068","101","0","107","803100256","300228"
"2145071","100","0","104","803100257","300301"
"2145072","101","0","107","803100257","300302"
"2145073","101","0","107","803100257","300303"
"2145074","113","1","202","803100257","300304"
"2145075","114","1","203","803100257","300305"
"2145076","100","0","104","803100257","300306"
"2145077","101","0","107","803100257","300307"
"2145078","111","1","204","803100257","300308"
"2145079","112","1","205","803100257","300309"
"2145080","100","0","104","803100257","300310"
"2145081","101","0","107","803100258","300311"
"2145082","101","0","107","803100258","300312"
"2145083","113","1","202","803100258","300313"
"2145084","114","1","203","803100258","300314"
"2145085","100","0","104","803100258","300315"
"2145086","101","0","107","803100258","300316"
"2145087","111","1","204","803100258","300317"
"2145088","112","1","205","803100258","300318"
"2145089","100","0","104","803100258","300319"
"2145090","101","0","107","803100258","300320"
"2145091","100","0","104","803100259","300321"
"2145092","101","0","107","803100259","300322"
"2145093","113","1","202","803100259","300323"
"2145094","112","1","208","803100259","300324"
"2145095","100","0","104","803100259","300325"
"2145096","101","0","107","803100259","300326"
"2145097","111","1","204","803100259","300327"
"2145098","112","1","205","803100259","300328"
"2146011","102","0","105","803100260","300401"
"2146012","102","0","105","803100260","300402"
"2146013","113","1","202","803100260","300403"
"2146014","114","1","203","803100260","300404"
"2146015","102","0","105","803100260","300405"
"2146016","113","1","202","803100260","300406"
"2146017","114","1","203","803100260","300407"
"2146018","102","0","105","803100260","300408"
"2146019","102","0","105","803100260","300409"
"2146020","102","0","105","803100260","300410"
"2146021","102","0","105","803100261","300411"
"2146022","113","1","202","803100261","300412"
"2146023","114","1","203","803100261","300413"
"2146024","102","0","105","803100261","300414"
"2146025","113","1","202","803100261","300415"
"2146026","114","1","203","803100261","300416"
"2146027","102","0","105","803100261","300417"
"2146028","102","0","105","803100261","300418"
"2146029","113","1","202","803100261","300419"
"2146030","113","1","202","803100261","300420"
"2146031","113","1","202","803100262","300421"
"2146032","114","1","203","803100262","300422"
"2146033","102","0","105","803100262","300423"
"2146034","112","1","208","803100262","300424"
"2146035","110","1","212","803100262","300425"
"2146036","113","1","202","803100262","300426"
"2146037","113","1","202","803100262","300427"
"2146038","102","0","105","803100262","300428"
"2146051","100","0","104","803100264","300501"
"2146052","100","0","104","803100264","300502"
"2146053","100","0","104","803100264","300503"
"2146054","100","0","104","803100264","300504"
"2146055","102","0","105","803100264","300505"
"2146056","103","0","106","803100264","300506"
"2146057","100","0","104","803100264","300507"
"2146058","100","0","104","803100264","300508"
"2146059","102","0","105","803100264","300509"
"2146060","103","0","106","803100264","300510"
"2146061","100","0","104","803100265","300511"
"2146062","100","0","104","803100265","300512"
"2146063","100","0","104","803100265","300513"
"2146064","100","0","104","803100265","300514"
"2146065","102","0","105","803100265","300515"
"2146066","103","0","106","803100265","300516"
"2146067","100","0","104","803100265","300517"
"2146068","100","0","104","803100265","300518"
"2146069","102","0","105","803100265","300519"
"2146070","103","0","106","803100265","300520"
"2146071","100","0","104","803100266","300521"
"2146072","100","0","104","803100266","300522"
"2146073","113","1","202","803100266","300523"
"2146074","114","1","203","803100266","300524"
"2146075","100","0","104","803100266","300525"
"2146076","112","1","208","803100266","300526"
"2146077","110","1","212","803100266","300527"
"2146078","113","1","202","803100266","300528"
"2146079","114","1","203","803100266","300529"
"2146080","100","0","104","803100266","300530"
"2146091","114","1","203","803100268","300601"
"2146092","113","1","202","803100268","300602"
"2146093","102","0","105","803100268","300603"
"2146094","114","1","203","803100268","300604"
"2146095","103","0","106","803100268","300605"
"2146096","114","1","203","803100268","300606"
"2146097","111","1","204","803100268","300607"
"2146098","114","1","203","803100268","300608"
"2146099","113","1","202","803100268","300609"
"2146100","102","0","105","803100268","300610"
"2147011","114","1","203","803100269","300611"
"2147012","103","0","106","803100269","300612"
"2147013","114","1","203","803100269","300613"
"2147014","111","1","204","803100269","300614"
"2147015","110","1","212","803100269","300615"
"2147016","114","1","203","803100269","300616"
"2147017","102","0","105","803100269","300617"
"2147018","103","0","106","803100269","300618"
"2147021","111","1","204","803100270","300701"
"2147022","100","0","104","803100270","300702"
"2147023","101","0","107","803100270","300703"
"2147024","113","1","202","803100270","300704"
"2147025","114","1","203","803100270","300705"
"2147026","102","0","105","803100270","300706"
"2147027","112","1","205","803100270","300707"
"2147028","111","1","204","803100270","300708"
"2147029","100","0","104","803100270","300709"
"2147030","101","0","107","803100270","300710"
"2147031","113","1","202","803100271","300711"
"2147032","114","1","203","803100271","300712"
"2147033","102","0","105","803100271","300713"
"2147034","112","1","205","803100271","300714"
"2147035","107","0","110","803100271","300715"
"2147036","111","1","204","803100271","300716"
"2147037","100","0","104","803100271","300717"
"2147038","101","0","107","803100271","300718"
