ef565b52e8a4b1061ba8f9d4e0a69f7643d13eebd042e20cb65a066c734d0ddb,7538483429c61c1c2c87e95c23d2514e23d102b5f1bf667162f614ed63db915d,a780dd04b5363066d067ae904466bfb5b9e7863a205891d2e36fef21b6ad9e9d,5a24d80e389c1190ac8d3009ba963f85dc197f38f36b9f691ccb701454e3c02c
"1020301","2025/03/31 12:00:00","10203","104001"
"1020302","2025/03/31 12:00:00","10203","126401"
"1020303","2025/04/15 15:00:00","10203","134701"
"1020304","2025/03/31 12:00:00","10203","126501"
"1020305","2025/03/31 12:00:00","10203","127801"
"1020401","2025/05/15 15:00:00","10204","132501"
"1020402","2025/05/03 19:00:00","10204","132301"
"1020403","2025/04/30 12:00:00","10204","100901"
"1020404","2025/04/30 12:00:00","10204","102701"
"1020405","2025/04/30 12:00:00","10204","101301"
"1020406","2025/04/30 12:00:00","10204","105101"
"1020407","2025/04/30 12:00:00","10204","105601"
"1020501","2025/06/10 12:00:00","10205","134901"
"1020502","2025/05/31 12:00:00","10205","105401"
"1020503","2025/05/31 12:00:00","10205","113901"
"1020504","2025/05/31 12:00:00","10205","117401"
"1020505","2025/05/31 12:00:00","10205","134801"
"1020506","2025/05/31 12:00:00","10205","106501"
"1020507","2025/05/31 12:00:00","10205","104501"
"1020508","2025/05/31 12:00:00","10205","129701"
"1020601","2025/06/30 12:00:00","10206","129001"
"1020602","2025/06/30 12:00:00","10206","106401"
"1020603","2025/06/30 12:00:00","10206","126101"
"1020701","2025/07/31 12:00:00","10207","129601"
"1020702","2025/07/31 12:00:00","10207","126001"
"1020703","2025/07/31 12:00:00","10207","106001"
"1020704","2025/07/31 12:00:00","10207","103001"
"1020705","2025/07/31 12:00:00","10207","129701"
"1020706","2025/07/31 12:00:00","10207","125801"
"1020801","2025/08/31 12:00:00","10208","135501"
"1020802","2025/09/08 12:00:00","10208","135601"
"1020803","2025/08/31 12:00:00","10208","100101"
"1020804","2025/08/31 12:00:00","10208","100301"
"1020901","2025/10/10 12:00:00","10209","135901"
"1020902","2025/09/30 12:00:00","10209","135801"
"1020903","2025/09/30 12:00:00","10209","133101"
"1020904","2025/09/30 12:00:00","10209","133001"
"1020905","2025/09/30 12:00:00","10209","100701"
"1021001","2025/10/31 12:00:00","10210","136001"
"1021002","2025/10/31 12:00:00","10210","101401"
"1021003","2025/11/14 12:00:00","10210","136201"
"1021004","2025/10/31 12:00:00","10210","134901"
"1021005","2025/10/31 12:00:00","10210","129701"
"1021006","2025/10/31 12:00:00","10210","134701"
"1021007","2025/10/31 12:00:00","10210","134801"
"1021101","2025/11/30 12:00:00","10211","118201"
"1021102","2025/11/30 12:00:00","10211","100201"
"1021103","2025/11/30 12:00:00","10211","101201"
"1021104","2025/11/30 12:00:00","10211","104301"
"1021201","2025/12/31 12:00:00","10212","104901"
"1021202","2025/12/31 12:00:00","10212","106801"
"1021203","2025/12/31 12:00:00","10212","101101"
"1021301","2025/12/31 12:00:00","10213","133101"
"1021302","2025/12/31 12:00:00","10213","129701"
"1021303","2025/12/31 12:00:00","10213","105801"
"1021304","2025/12/31 12:00:00","10213","126501"
"1021401","2026/02/28 12:00:00","10214","103801"
"1021402","2026/02/28 12:00:00","10214","130101"
"1021403","2026/02/28 12:00:00","10214","104801"
"1021404","2026/02/28 12:00:00","10214","103401"
"1021501","2026/03/31 12:00:00","10215","103601"
"1021502","2026/03/31 12:00:00","10215","133001"
"1021503","2026/03/31 12:00:00","10215","133101"
"1021601","2026/05/11 12:00:00","10216","139401"
"1021602","2026/04/30 12:00:00","10216","139301"
"1021603","2026/04/30 12:00:00","10216","139201"
"1021604","2026/04/30 12:00:00","10216","106001"
"1021605","2026/04/30 12:00:00","10216","105901"
"1021606","2026/04/30 12:00:00","10216","106401"
"1021607","2026/04/30 12:00:00","10216","105801"
"1021608","2026/04/30 12:00:00","10216","106701"
"1021609","2026/04/30 12:00:00","10216","106801"
"1021701","2026/05/31 12:00:00","10217","126001"
"1021702","2026/05/31 12:00:00","10217","126101"
"1021703","2026/05/31 12:00:00","10217","125801"
