08fe51b0685ffa8606ccd0468ac340764f6444545caf5b3632936e2a051a4171,096d7071dce45e2ea74b3e562048636c89fad1ef53ff174c9620651ae6bc17f1,34d9b76c114ba6ef7e2c0ebe4c1fdd1f08f44ec214fc583f413c38db70e9e115,5231c6d2ff6cf551e045e5b71d9d68bd533971f6d5693c663a27d35768d01740,61c8e02c932f0b094f267d3696ee4a8e0f1259059a3aa5a56833b8ee94023581,950222c19c704fca3424e25ae0096cc52d692a51f9b661ec3bb26ca1a0a64e3c,bda21795176514d8a9a020a6c49bb83c9e57b4e51bbc8e1be29476ba4ff619b4,49d77a0d5eea09dd2ecbfe3d13012bf6356a20ef3a5b8ca5c93a7542a5e59892,13a6bfec05c6e3191f04f6824954a1034ac019d6518e7d31e3cfa32e4e936d2c,e6710a33348defc8174a8421b678a48e8d93bcb16d27ee75c259f95d0a3b812b
"0","0","0","2018/01/01 15:00:00","0","0","0","2019/02/15 14:59:59","0","10001"
"1001","0","0","2019/02/15 15:00:00","1001","1","1","2019/02/28 11:59:59","1001","10002"
"0","0","0","2019/02/28 12:00:00","0","1","1","2020/02/15 14:59:59","1001","10003"
"1002","0","1002","2020/02/15 15:00:00","1002","1","1","2020/02/29 11:59:59","1001","10004"
"1002","2015009","1002","2020/02/15 15:00:00","1002","2","2","2020/02/29 11:59:59","1002","10005"
"0","0","0","2020/02/29 12:00:00","0","1","1","2020/08/15 14:59:59","1001","10006"
"0","2015009","0","2020/02/29 12:00:00","0","2","2","2020/08/15 14:59:59","1002","10007"
"0","0","1003","2020/08/15 15:00:00","0","1","1","2020/08/31 11:59:59","1001","10008"
"0","2015009","1003","2020/08/15 15:00:00","0","2","2","2020/08/31 11:59:59","1002","10009"
"0","0","0","2020/08/31 12:00:00","0","1","1","2021/02/15 14:59:59","1001","10010"
"0","2015009","0","2020/08/31 12:00:00","0","2","2","2021/02/15 14:59:59","1002","10011"
"1003","0","1004","2021/02/15 15:00:00","1003","1","1","2021/02/28 11:59:59","1001","10012"
"1003","2015009","1004","2021/02/15 15:00:00","1003","2","2","2021/02/28 11:59:59","1002","10013"
"0","0","0","2021/02/28 12:00:00","0","1","1","2021/08/15 14:59:59","1001","10014"
"0","2015009","0","2021/02/28 12:00:00","0","2","2","2021/08/15 14:59:59","1002","10015"
"0","0","1005","2021/08/15 15:00:00","0","1","1","2021/08/31 11:59:59","1001","10016"
"0","2015009","1005","2021/08/15 15:00:00","0","2","2","2021/08/31 11:59:59","1002","10017"
"0","0","0","2021/08/31 12:00:00","0","1","1","2030/02/15 14:59:59","1001","10018"
"0","2015009","0","2021/08/31 12:00:00","0","2","2","2030/02/15 14:59:59","1002","10019"
"1004","0","1006","2022/02/15 15:00:00","1004","1","1","2022/02/28 11:59:59","1001","10020"
"1004","2015009","1006","2022/02/15 15:00:00","1004","2","2","2022/02/28 11:59:59","1002","10021"
"0","0","0","2022/02/28 12:00:00","0","1","1","2022/08/15 14:59:59","1001","10022"
"0","2015009","0","2022/02/28 12:00:00","0","2","2","2022/08/15 14:59:59","1002","10023"
"0","0","1007","2022/08/15 15:00:00","0","1","1","2022/08/31 11:59:59","1001","10024"
"0","2015009","1007","2022/08/15 15:00:00","0","2","2","2022/08/31 11:59:59","1002","10025"
"0","0","0","2022/08/31 12:00:00","0","1","1","2023/02/15 14:59:59","1001","10026"
"0","2015009","0","2022/08/31 12:00:00","0","2","2","2023/02/15 14:59:59","1002","10027"
"1005","0","1008","2023/02/15 15:00:00","1005","1","1","2023/02/28 11:59:59","1001","10028"
"1005","2015009","1008","2023/02/15 15:00:00","1005","2","2","2023/02/28 11:59:59","1002","10029"
"0","0","0","2023/02/28 12:00:00","0","1","1","2023/08/15 14:59:59","1001","10030"
"0","2015009","0","2023/02/28 12:00:00","0","2","2","2023/08/15 14:59:59","1002","10031"
