4c8bfb675fdd135309256a16de982d63084517a0c797c71faf6a1f9dcd919d54,7a6620110a17224dab9d1c1d72bc164b33f09b1f674e0465832aeb3e34197498,2b3a654bc220902041dd69533baba9b6a3e7929dcbb9905a6b84c1de46bb21ef,5863402fb9059ac18b6430fe19b13ef086a293756f22b004f2bddb12d783fe4d,57516083cf74f47722ea121152148881e1430d6c5eff9e5d87a2aaa73c2ccd43
"90","770110101","111","1","770110101"
"90","770110201","111","1","770110201"
"90","770110301","111","1","770110301"
"90","770110401","111","1","770110401"
"90","770110501","111","1","770110501"
"90","770110601","111","1","770110601"
"90","770110701","111","1","770110701"
"90","770110801","111","1","770110801"
"90","770110901","111","1","770110901"
"90","770111001","111","1","770111001"
"90","770111101","111","1","770111101"
"90","770111201","111","1","770111201"
"90","770111301","111","1","770111301"
"90","770111401","111","1","770111401"
"90","770111501","111","1","770111501"
"90","770111601","111","1","770111601"
"90","770111701","111","1","770111701"
"90","770111801","111","1","770111801"
"90","770111901","111","1","770111901"
"90","770112001","111","1","770112001"
"90","770112101","111","1","770112101"
"90","770112201","111","1","770112201"
"90","770112301","111","1","770112301"
"90","770112401","111","1","770112401"
"90","770112501","111","1","770112501"
"90","770112601","111","1","770112601"
"90","770112701","111","1","770112701"
"90","770112801","111","1","770112801"
"90","770112901","111","1","770112901"
"90","770113001","111","1","770113001"
"90","770113101","111","1","770113101"
"90","770113201","111","1","770113201"
"90","770113301","111","1","770113301"
"90","770113401","111","1","770113401"
"90","770113501","111","1","770113501"
"90","770113601","111","1","770113601"
"90","770113701","611","1","770113701"
"90","770113701","711","1","770113702"
"90","770113701","811","1","770113703"
"90","770113701","911","1","770113704"
"85","770113701","1011","1","770113705"
"90","770113801","611","1","770113801"
"90","770113801","711","1","770113802"
"90","770113801","811","1","770113803"
"90","770113801","911","1","770113804"
"85","770113801","1011","1","770113805"
"90","770113901","611","1","770113901"
"90","770113901","711","1","770113902"
"90","770113901","811","1","770113903"
"90","770113901","911","1","770113904"
"85","770113901","1011","1","770113905"
"90","770114001","611","1","770114001"
"90","770114001","711","1","770114002"
"90","770114001","811","1","770114003"
"90","770114001","911","1","770114004"
"85","770114001","1011","1","770114005"
"90","770114101","611","1","770114101"
"90","770114101","711","1","770114102"
"90","770114101","811","1","770114103"
"90","770114101","911","1","770114104"
"85","770114101","1011","1","770114105"
"90","770114201","611","1","770114201"
"90","770114201","711","1","770114202"
"90","770114201","811","1","770114203"
"90","770114201","911","1","770114204"
"85","770114201","1011","1","770114205"
"90","770114301","611","1","770114301"
"90","770114301","711","1","770114302"
"90","770114301","811","1","770114303"
"90","770114301","911","1","770114304"
"85","770114301","1011","1","770114305"
"90","770114401","611","1","770114401"
"90","770114401","711","1","770114402"
"90","770114401","811","1","770114403"
"90","770114401","911","1","770114404"
"85","770114401","1011","1","770114405"
"90","770114501","611","1","770114501"
"90","770114501","711","1","770114502"
"90","770114501","811","1","770114503"
"90","770114501","911","1","770114504"
"85","770114501","1011","1","770114505"
"90","770114601","611","1","770114601"
"90","770114601","711","1","770114602"
"90","770114601","811","1","770114603"
"90","770114601","911","1","770114604"
"85","770114601","1011","1","770114605"
"90","770114701","611","1","770114701"
"90","770114701","711","1","770114702"
"90","770114701","811","1","770114703"
"90","770114701","911","1","770114704"
"85","770114701","1011","1","770114705"
"90","770114801","611","1","770114801"
"90","770114801","711","1","770114802"
"90","770114801","811","1","770114803"
"90","770114801","911","1","770114804"
"85","770114801","1011","1","770114805"
"90","770114901","611","1","770114901"
"90","770114901","711","1","770114902"
"90","770114901","811","1","770114903"
"90","770114901","911","1","770114904"
"85","770114901","1011","1","770114905"
"90","770115001","611","1","770115001"
"90","770115001","711","1","770115002"
"90","770115001","811","1","770115003"
"90","770115001","911","1","770115004"
"85","770115001","1011","1","770115005"
"90","770115101","611","1","770115101"
"90","770115101","711","1","770115102"
"90","770115101","811","1","770115103"
"90","770115101","911","1","770115104"
"85","770115101","1011","1","770115105"
"90","770115201","611","1","770115201"
"90","770115201","711","1","770115202"
"90","770115201","811","1","770115203"
"90","770115201","911","1","770115204"
"85","770115201","1011","1","770115205"
"90","770115301","611","1","770115301"
"90","770115301","711","1","770115302"
"90","770115301","811","1","770115303"
"90","770115301","911","1","770115304"
"85","770115301","1011","1","770115305"
"90","770115401","611","1","770115401"
"90","770115401","711","1","770115402"
"90","770115401","811","1","770115403"
"90","770115401","911","1","770115404"
"85","770115401","1011","1","770115405"
"90","770115501","611","1","770115501"
"90","770115501","711","1","770115502"
"90","770115501","811","1","770115503"
"90","770115501","911","1","770115504"
"85","770115501","1011","1","770115505"
"90","770115601","611","1","770115601"
"90","770115601","711","1","770115602"
"90","770115601","811","1","770115603"
"90","770115601","911","1","770115604"
"85","770115601","1011","1","770115605"
"90","770115701","611","1","770115701"
"90","770115701","711","1","770115702"
"90","770115701","811","1","770115703"
"90","770115701","911","1","770115704"
"85","770115701","1011","1","770115705"
"90","770115801","611","1","770115801"
"90","770115801","711","1","770115802"
"90","770115801","811","1","770115803"
"90","770115801","911","1","770115804"
"85","770115801","1011","1","770115805"
"90","770115901","611","1","770115901"
"90","770115901","711","1","770115902"
"90","770115901","811","1","770115903"
"90","770115901","911","1","770115904"
"85","770115901","1011","1","770115905"
"90","770116001","611","1","770116001"
"90","770116001","711","1","770116002"
"90","770116001","811","1","770116003"
"90","770116001","911","1","770116004"
"85","770116001","1011","1","770116005"
"90","770116101","611","1","770116101"
"90","770116101","711","1","770116102"
"90","770116101","811","1","770116103"
"90","770116101","911","1","770116104"
"85","770116101","1011","1","770116105"
"90","770116201","611","1","770116201"
"90","770116201","711","1","770116202"
"90","770116201","811","1","770116203"
"90","770116201","911","1","770116204"
"85","770116201","1011","1","770116205"
"90","770116301","611","1","770116301"
"90","770116301","711","1","770116302"
"90","770116301","811","1","770116303"
"90","770116301","911","1","770116304"
"85","770116301","1011","1","770116305"
"90","770116401","611","1","770116401"
"90","770116401","711","1","770116402"
"90","770116401","811","1","770116403"
"90","770116401","911","1","770116404"
"85","770116401","1011","1","770116405"
"90","770116501","611","1","770116501"
"90","770116501","711","1","770116502"
"90","770116501","811","1","770116503"
"90","770116501","911","1","770116504"
"85","770116501","1011","1","770116505"
"90","770116601","611","1","770116601"
"90","770116601","711","1","770116602"
"90","770116601","811","1","770116603"
"90","770116601","911","1","770116604"
"85","770116601","1011","1","770116605"
"90","770116701","611","1","770116701"
"90","770116701","711","1","770116702"
"90","770116701","811","1","770116703"
"90","770116701","911","1","770116704"
"85","770116701","1011","1","770116705"
"90","770116801","611","1","770116801"
"90","770116801","711","1","770116802"
"90","770116801","811","1","770116803"
"90","770116801","911","1","770116804"
"85","770116801","1011","1","770116805"
"90","770116901","611","1","770116901"
"90","770116901","711","1","770116902"
"90","770116901","811","1","770116903"
"90","770116901","911","1","770116904"
"85","770116901","1011","1","770116905"
"90","770117001","611","1","770117001"
"90","770117001","711","1","770117002"
"90","770117001","811","1","770117003"
"90","770117001","911","1","770117004"
"85","770117001","1011","1","770117005"
"90","770117101","611","1","770117101"
"90","770117101","711","1","770117102"
"90","770117101","811","1","770117103"
"90","770117101","911","1","770117104"
"85","770117101","1011","1","770117105"
"90","770117201","611","1","770117201"
"90","770117201","711","1","770117202"
"90","770117201","811","1","770117203"
"90","770117201","911","1","770117204"
"85","770117201","1011","1","770117205"
"90","770120101","112","2","770120101"
"90","770120201","112","2","770120201"
"90","770120301","112","2","770120301"
"90","770120401","112","2","770120401"
"90","770120501","112","2","770120501"
"90","770120601","112","2","770120601"
"90","770120701","112","2","770120701"
"90","770120801","112","2","770120801"
"90","770120901","112","2","770120901"
"90","770121001","112","2","770121001"
"90","770121101","112","2","770121101"
"90","770121201","112","2","770121201"
"90","770121301","612","2","770121301"
"90","770121301","712","2","770121302"
"90","770121301","812","2","770121303"
"90","770121301","912","2","770121304"
"85","770121301","1012","2","770121305"
"90","770121401","612","2","770121401"
"90","770121401","712","2","770121402"
