b389c1050b96f1917ed2eff3e99784ffd84a94ef4fd2069f7027e25e1fa51ea6,edc2f1b19075e6dda8ed2b15040067da3cc3dc1a940e2493d1b4eb7584c93f1d,6da47e9352846b6e22927131690afa665c17713d7b2605909e42b487018fd39e,db414cc51d8ab83cd5fe7acdca6b09aced2d2cb9d9b8815082bea1b729befbbd,88af04f130e665aeab79658c5dc305f670e6c8322b3477a5eeba9c109f37865e,b650b4dcac868520a1fba9c23f636e3eb15653bae7c17ab0dd91327cb2bc451a
"100111","2991180","5000","0","1","0"
"100121","2991167","10000","0","1","0"
"100122","2991168","2000","0","1","0"
"100131","2991172","1000","0","1","0"
"100211","2991102","5000","0","1","0"
"100221","2991181","1000","0","1","0"
"100222","2991182","2000","0","1","0"
"100231","2991187","5000","0","1","0"
"100311","2991183","5000","0","1","0"
"100312","2991184","2000","0","1","0"
"100321","2991185","5000","0","1","0"
"100322","2991186","1000","0","1","0"
"100331","2991188","30000","0","1","0"
"100411","2991190","2000","0","1","0"
"100421","2991103","1000","0","1","0"
"100422","2991104","1000","0","1","0"
"100431","2991105","5000","0","1","0"
"100432","2991106","10000","0","1","0"
"100511","2991189","2000","0","1","0"
"100521","2991107","10000","0","1","0"
"100522","2991108","5000","0","1","0"
"100523","2991109","5000","0","1","0"
"100531","2991110","50000","0","1","0"
"110011","14","5","0","14","0"
"110021","2991117","10000","0","1","0"
"110031","2991120","10000","0","1","0"
"110041","16","1","0","14","0"
"110051","2991101","1000","0","1","0"
"120011","109","1000","0","14","0"
"120021","2991121","3000","0","1","0"
"120031","2991124","3000","0","1","0"
"120041","2991127","1000","0","1","0"
"120051","2991128","1000","0","1","0"
"130011","2991129","1000","0","1","0"
"130021","100","1000","0","14","0"
"130022","101","1000","0","14","0"
"130031","107","3000","0","14","0"
"130041","6","1000","0","14","0"
"130042","7","1000","0","14","0"
"130051","9","10","0","14","0"
"140011","108","1000","0","14","0"
"140021","2991132","5000","0","1","0"
"140031","2991133","5000","0","1","0"
"140041","2","1000","0","14","0"
"140042","4","1000","0","14","0"
"140051","3","1000","0","14","0"
"140052","5","1000","0","14","0"
"150011","110","1000","0","14","0"
"150021","1","1000","0","14","0"
"150031","2991134","50000","0","1","0"
"150041","2991149","50000","0","1","0"
"150051","2991164","5000","0","1","0"
"210011","14","10","0","14","0"
"210021","2991118","20000","0","1","0"
"210031","2991120","20000","0","1","0"
"210041","16","3","0","14","0"
"210051","2991101","2000","0","1","0"
"220011","109","2000","0","14","0"
"220021","2991122","6000","0","1","0"
"220031","2991125","6000","0","1","0"
"220041","2991127","1500","0","1","0"
"220051","2991128","1500","0","1","0"
"230011","2991129","2000","0","1","0"
"230021","100","2000","0","14","0"
"230022","101","2000","0","14","0"
"230031","107","6000","0","14","0"
"230041","6","2000","0","14","0"
"230042","7","2000","0","14","0"
"230051","9","20","0","14","0"
"240011","108","2000","0","14","0"
"240021","2991132","10000","0","1","0"
"240031","2991133","10000","0","1","0"
"240041","2","2000","0","14","0"
"240042","4","2000","0","14","0"
"240051","3","2000","0","14","0"
"240052","5","2000","0","14","0"
"250011","110","2000","0","14","0"
"250021","1","2000","0","14","0"
"250031","2991139","100000","0","1","0"
"250041","2991154","100000","0","1","0"
"250051","2991165","10000","0","1","0"
"300011","104","5000","0","14","0"
"310011","14","15","0","14","0"
"310021","2991119","30000","0","1","0"
"310031","2991120","30000","0","1","0"
"310041","16","5","0","14","0"
"310051","2991101","3000","0","1","0"
"320011","109","3000","0","14","0"
"320021","2991123","9000","0","1","0"
"320031","2991126","9000","0","1","0"
"320041","2991127","2000","0","1","0"
"320051","2991128","2000","0","1","0"
"330011","2991129","3000","0","1","0"
"330021","100","3000","0","14","0"
"330022","101","3000","0","14","0"
"330031","107","9000","0","14","0"
"330041","6","3000","0","14","0"
"330042","7","3000","0","14","0"
"330051","9","30","0","14","0"
"340011","108","3000","0","14","0"
"340021","2991132","15000","0","1","0"
"340031","2991133","15000","0","1","0"
"340041","2","3000","0","14","0"
"340042","4","3000","0","14","0"
"340051","3","3000","0","14","0"
"340052","5","3000","0","14","0"
"350011","110","3000","0","14","0"
"350021","1","3000","0","14","0"
"350031","2991144","150000","0","1","0"
"350041","2991159","150000","0","1","0"
"350051","2991166","15000","0","1","0"
