072491247dec5bb3cdaeb0ca21bb9efb8e1b4fd799ef6ebba3666c74c3502f29,8a6380526600f13a4c58260a62ee16c111d4e414f1365b3084dbac66107bf308,ec7a11f98e21643d127e94098757add0b6fad8f422ff647aefe9c43902f38e49,a6ab99a57dc82b38257ee34b6c5e65d2751722f55a4075890c35b8611f9580d8,1b43d9fbff6ec98457f29c164857afa0c1464b432e58a50f8d9f21d7cab84bd4
"シャドウ1体追加","74001102","ジータのシャドウが追加される。","add_shadow","1"
"シャドウ3体追加","74001103","ジータ、サレン（サマー）、アメスのシャドウが追加される。","add_shadow","2"
"シャドウ★6化","74001104","ノゾミのシャドウが★6になる。","star6_shadow","3"
"シャドウ3体追加","74001104","ジータ、サレン（サマー）、アメスのシャドウが追加される。","add_shadow","4"
"シャドウ★6化","74001105","ノゾミ、ジータ、キョウカのシャドウが★6にな\nる。","star6_shadow","5"
"シャドウ3体追加","74001105","ジータ、サレン（サマー）、アメスのシャドウが追加される。","add_shadow","6"
"シャドウ1体追加","74001202","ユカリのシャドウが追加される。","add_shadow","7"
"シャドウ3体追加","74001203","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","add_shadow","8"
"シャドウ★6化","74001204","ユカリとユイのシャドウが★6になる。","star6_shadow","9"
"シャドウ3体追加","74001204","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","add_shadow","10"
"シャドウ★6化","74001205","ミヤコ、ユカリ、マホ、ユイのシャドウが★6になる。","star6_shadow","11"
"シャドウ3体追加","74001205","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","add_shadow","12"
"ボス魔法ダメージカット","74001301","バトル開始時、ボスモンスターが魔法ダメージ20％カット状態になる。","boss_magic_cut","13"
"ボス魔法ダメージカット","74001302","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","boss_magic_cut","14"
"シャドウ1体追加","74001302","シズル（サマー）のシャドウが追加される。","add_shadow","15"
"開始時TP回復","74001303","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","energy_recover","16"
"ボス魔法ダメージカット","74001303","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","boss_magic_cut","17"
"シャドウ2体追加","74001303","シズル（サマー）とクリスティーナのシャドウが追加される。","add_shadow","18"
"ボスUB強化","74001304","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance","19"
"開始時TP回復","74001304","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","energy_recover","20"
"ボス魔法ダメージカット","74001304","バトル開始時、ボスモンスターが魔法ダメージ70％カット状態になる。","boss_magic_cut","21"
"シャドウ2体追加","74001304","シズル（サマー）とクリスティーナのシャドウが追加される。","add_shadow","22"
"バトル時間制限","74001305","バトル時間が60秒になる。","limit_time","23"
"ボスUB強化","74001305","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance","24"
"開始時TP回復","74001305","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","energy_recover","25"
"ボス魔法ダメージカット","74001305","バトル開始時、ボスモンスターが魔法ダメージ100％カット状態になる。","boss_magic_cut","26"
"シャドウ2体追加","74001305","シズル（サマー）とクリスティーナのシャドウが追加される。","add_shadow","27"
"ボス物理ダメージカット","74001401","バトル開始時、ボスモンスターが物理ダメージ20％カット状態になる。","boss_physics_cut","28"
"ボス物理ダメージカット","74001402","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","boss_physics_cut","29"
"シャドウ1体追加","74001402","クウカ（オーエド）のシャドウが追加される。","add_shadow","30"
"開始時TP回復","74001403","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","energy_recover","31"
"ボス物理ダメージカット","74001403","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","boss_physics_cut","32"
"シャドウ2体追加","74001403","クウカ（オーエド）とネネカのシャドウが追加される。","add_shadow","33"
"ボスUB強化","74001404","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance","34"
"開始時TP回復","74001404","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","energy_recover","35"
"ボス物理ダメージカット","74001404","バトル開始時、ボスモンスターが物理ダメージ70％カット状態になる。","boss_physics_cut","36"
"シャドウ2体追加","74001404","クウカ（オーエド）とネネカのシャドウが追加される。","add_shadow","37"
"バトル時間制限","74001405","バトル時間が60秒になる。","limit_time","38"
"ボスUB強化","74001405","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance","39"
"開始時TP回復","74001405","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","energy_recover","40"
"ボス物理ダメージカット","74001405","バトル開始時、ボスモンスターが物理ダメージ100％カット状態になる。","boss_physics_cut","41"
"シャドウ2体追加","74001405","クウカ（オーエド）とネネカのシャドウが追加される。","add_shadow","42"
"開始時攻撃力アップ","74001502","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","boss_atk_up","43"
"編成キャラ数制限","74001503","編成可能キャラ数が4キャラになる。","limit_chara_num","44"
"開始時攻撃力アップ","74001503","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","boss_atk_up","45"
"編成キャラ数制限","74001504","編成可能キャラ数が4キャラになる。","limit_chara_num","46"
"ボスUB強化","74001504","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance","47"
"開始時攻撃力アップ","74001504","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","boss_atk_up","48"
"編成キャラ数制限","74001505","編成可能キャラ数が4キャラになる。","limit_chara_num","49"
"キャラ最大HPダウン","74001505","パーティキャラの最大HPが20％ダウンする。","max_hp_down","50"
"ボスUB強化","74001505","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance","51"
"開始時攻撃力アップ","74001505","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","boss_atk_up","52"
