67a05ea10b08274785f7df470c05a8a54c6cae69dba2fca31ac1cf4ecc36b04b,21f772a600462a3975dd3799730c9c90a8b0c2e4adc217be0764ba59c141a9de,08798652d1146494fcebc188046353aaeebc6f94869f5bf3f7c821d7f3d380d3
"10010101","100101","1"
"10020101","100201","4"
"10030101","100301","3"
"10040101","100401","1"
"10050101","100501","1"
"10060101","100601","5"
"10070101","100701","5"
"10080101","100801","5"
"10090101","100901","5"
"10100101","101001","1"
"10110101","101101","1"
"10120101","101201","4"
"10130101","101301","5"
"10140101","101401","4"
"10150101","101501","3"
"10160101","101601","4"
"10170101","101701","1"
"10180101","101801","5"
"10200101","102001","3"
"10210101","102101","3"
"10220101","102201","5"
"10230101","102301","3"
"10250101","102501","3"
"10260101","102601","3"
"10270101","102701","5"
"10280101","102801","1"
"10290101","102901","4"
"10300101","103001","1"
"10310101","103101","5"
"10320101","103201","1"
"10330101","103301","3"
"10340101","103401","4"
"10360101","103601","2"
"10370101","103701","3"
"10380101","103801","3"
"10400101","104001","3"
"10420101","104201","3"
"10430101","104301","5"
"10440101","104401","5"
"10450101","104501","5"
"10460101","104601","5"
"10470101","104701","1"
"10480101","104801","2"
"10490101","104901","4"
"10500101","105001","5"
"10510101","105101","5"
"10520101","105201","3"
"10530101","105301","3"
"10540101","105401","3"
"10550101","105501","3"
"10560101","105601","2"
"10570101","105701","4"
"10580101","105801","4"
"10590101","105901","3"
"10600101","106001","5"
"10610101","106101","1"
"10630101","106301","3"
"10640101","106401","2"
"10650101","106501","1"
"10660101","106601","1"
"10670101","106701","5"
"10680101","106801","4"
"10690101","106901","5"
"10700101","107001","4"
"10710101","107101","1"
"10750101","107501","2"
"10760101","107601","2"
"10770101","107701","2"
"10780101","107801","2"
"10790101","107901","2"
"10800101","108001","2"
"10810101","108101","1"
"10820101","108201","5"
"10830101","108301","5"
"10840101","108401","2"
"10850101","108501","2"
"10860101","108601","2"
"10870101","108701","4"
"10880101","108801","4"
"10890101","108901","2"
"10900101","109001","1"
"10910101","109101","1"
"10920101","109201","4"
"10930101","109301","5"
"10940101","109401","1"
"10950101","109501","1"
"10960101","109601","1"
"10970101","109701","2"
"10980101","109801","3"
"10990101","109901","1"
"11000101","110001","2"
"11010101","110101","2"
"11030101","110301","2"
"11040101","110401","2"
"11050101","110501","2"
"11060101","110601","1"
"11070101","110701","3"
"11080101","110801","5"
"11090101","110901","3"
"11100101","111001","4"
"11110101","111101","1"
"11120101","111201","1"
"11130101","111301","1"
"11140101","111401","5"
"11150101","111501","2"
"11160101","111601","2"
"11170101","111701","2"
"11180101","111801","4"
