fd5d0c3d4a291e4fc87c8a826aa32b8a9d475c262a99b78a5471dc240835a804,1cca079f73ad2e15654a5bc23dfbd4a26d2b86162cec11b14c764fe61259722b,248603e45db4a023a24a0d59b49dac45603415811b86357da15b50cb347ecec0,6dab8003fb493cefd919fc865c3056f5078b9842ed57f30a72e321b801a9b1c5,794f0a5177a63d37604d2b6d2d6a61eea700d8dc7bdb6544edaf0ce63023841b,85693813edb98c1173d6ea39bf3b3a4d30cc52cf8fa705df362d2cd60dadffa4,f5fd3a17b9107a0959d727abdd77b43ed0e0959a6046c4bbb589d613c30cdc9a,d39652d373bbba583c56ac302d6d70f4035c56bf60de9e29e573d6cb62cf78e0,1f048015cb9e731fb61d2849bdbf3684e2bcf9ef2c6f20b9e30507551ab6c23c,71c4f1f946d2f1d3d14d62c68dfeb1e81cb66e61926704e63d7f0f4f8d8fd505,c647e8be143af29ec63ee72db07f9f3f22e35554ec4f3c7c9759156246c2d436
"250","0","オムレツ","1","8","1010100","1","10101","0","110","1"
"222","0","オムレツ","1","9","1010101","1","10101","0","110","1"
"200","0","オムレツ","1","10","1010102","1","10101","0","110","1"
"400","0","オムレツ","2","9","1010200","1","10102","0","110","1"
"367","0","オムレツ","2","10","1010201","1","10102","0","110","1"
"338","0","オムレツ","2","11","1010202","1","10102","0","110","1"
"640","0","オムレツ","3","10","1010300","1","10103","0","110","1"
"597","0","オムレツ","3","11","1010301","1","10103","0","110","1"
"560","0","オムレツ","3","12","1010302","1","10103","0","110","1"
"275","0","ギョーザ","1","9","1020100","2","10201","0","115","1"
"248","0","ギョーザ","1","10","1020101","2","10201","0","115","1"
"225","0","ギョーザ","1","11","1020102","2","10201","0","115","1"
"440","0","ギョーザ","2","10","1020200","2","10202","0","115","1"
"406","0","ギョーザ","2","11","1020201","2","10202","0","115","1"
"377","0","ギョーザ","2","12","1020202","2","10202","0","115","1"
"704","0","ギョーザ","3","11","1020300","2","10203","0","115","1"
"660","0","ギョーザ","3","12","1020301","2","10203","0","115","1"
"621","0","ギョーザ","3","13","1020302","2","10203","0","115","1"
"200","0","タコヤキ","1","8","1030100","3","10301","0","100","1"
"175","0","タコヤキ","1","9","1030101","3","10301","0","100","1"
"156","0","タコヤキ","1","10","1030102","3","10301","0","100","1"
"320","0","タコヤキ","2","9","1030200","3","10302","0","100","1"
"291","0","タコヤキ","2","10","1030201","3","10302","0","100","1"
"267","0","タコヤキ","2","11","1030202","3","10302","0","100","1"
"512","0","タコヤキ","3","10","1030300","3","10303","0","100","1"
"475","0","タコヤキ","3","11","1030301","3","10303","0","100","1"
"444","0","タコヤキ","3","12","1030302","3","10303","0","100","1"
"225","0","オニギリ","1","9","1040100","4","10401","0","115","1"
"200","0","オニギリ","1","10","1040101","4","10401","0","115","1"
"180","0","オニギリ","1","11","1040102","4","10401","0","115","1"
"360","0","オニギリ","2","10","1040200","4","10402","0","115","1"
"330","0","オニギリ","2","11","1040201","4","10402","0","115","1"
"305","0","オニギリ","2","12","1040202","4","10402","0","115","1"
"576","0","オニギリ","3","11","1040300","4","10403","0","115","1"
"538","0","オニギリ","3","12","1040301","4","10403","0","115","1"
"504","0","オニギリ","3","13","1040302","4","10403","0","115","1"
"300","0","ケバブ","1","10","1050100","5","10501","0","150","1"
"273","0","ケバブ","1","11","1050101","5","10501","0","150","1"
"250","0","ケバブ","1","12","1050102","5","10501","0","150","1"
"480","0","ケバブ","2","11","1050200","5","10502","0","150","1"
"446","0","ケバブ","2","12","1050201","5","10502","0","150","1"
"416","0","ケバブ","2","13","1050202","5","10502","0","150","1"
"768","0","ケバブ","3","12","1050300","5","10503","0","150","1"
"723","0","ケバブ","3","13","1050301","5","10503","0","150","1"
"683","0","ケバブ","3","14","1050302","5","10503","0","150","1"
"160","0","タイヤ（特大）","1","0","2010100","1","20101","0","60","2"
"256","0","タイヤ（特大）","2","0","2010200","1","20102","0","60","2"
"410","0","タイヤ（特大）","3","0","2010300","1","20103","0","60","2"
"145","0","タイヤ（大）","1","0","2020100","2","20201","0","45","2"
"232","0","タイヤ（大）","2","0","2020200","2","20202","0","45","2"
"371","0","タイヤ（大）","3","0","2020300","2","20203","0","45","2"
"120","0","タイヤ（中）","1","0","2030100","3","20301","0","30","2"
"192","0","タイヤ（中）","2","0","2030200","3","20302","0","30","2"
"307","0","タイヤ（中）","3","0","2030300","3","20303","0","30","2"
"100","0","タイヤ（小）","1","0","2040100","4","20401","0","15","2"
"160","0","タイヤ（小）","2","0","2040200","4","20402","0","15","2"
"256","0","タイヤ（小）","3","0","2040300","4","20403","0","15","2"
"0","4","キャノン","1","0","3010100","1","30101","125","1","3"
"0","5","キャノン","1","0","3010101","1","30101","195","1","3"
"0","6","キャノン","1","0","3010102","1","30101","234","1","3"
"0","4","キャノン","2","0","3010200","1","30102","200","1","3"
"0","5","キャノン","2","0","3010201","1","30102","313","1","3"
"0","6","キャノン","2","0","3010202","1","30102","375","1","3"
"0","4","キャノン","3","0","3010300","1","30103","320","1","3"
"0","5","キャノン","3","0","3010301","1","30103","500","1","3"
"0","6","キャノン","3","0","3010302","1","30103","600","1","3"
"0","6","スライサー","1","0","3020100","2","30201","75","1","3"
"0","7","スライサー","1","0","3020101","2","30201","112","1","3"
