7c9cefbc9ba169eb12fa8f20e4e4b100a451d77d145b914e87cd4f2300758fef,a77ac8fff88d146a37a3053d8cea795156b276f06451d9753f8b1cf061f5111f,0d1bd19540ed775aecffab1df8a7bb1b1175583b8ae1c62a80a7824ad75f7af0,eef67c24dceeba78531637de785d587202ccfe8fdaae6a09b66165b8799d2d1a,9506a5fb2411d68df833496450fc8efa9804c50bad3d413750d83e1d09644196,24395b97a84571614283c9e19141e8ff0836e01962759577031a2d727bbc873d,48dadd6ddadb0829a32a80fc8b116a2ba8fe81467a1fa26e425eac9a434475ef
"1","1","0","0","1","1","1"
"2","4","0","0","1","2","1"
"1","5","12","0","1","3","1"
"2","2","0","0","1","4","1"
"1","8","0","0","2","5","1"
"1","1","0","0","1","1","2"
"2","1","0","0","1","2","2"
"1","6","0","0","1","3","2"
"2","1","0","0","1","4","2"
"3","1","0","0","1","5","2"
"1","3","11","0","3","6","2"
"2","1","0","0","1","7","2"
"1","3","0","0","1","8","2"
"1","1","0","0","2","9","2"
"1","1","0","0","1","1","3"
"2","10","0","0","1","2","3"
"1","11","0","0","1","3","3"
"2","5","0","0","1","4","3"
"3","6","0","0","1","5","3"
"3","3","0","0","1","6","3"
"4","3","9","0","2","7","3"
"4","7","0","0","1","8","3"
"4","1","0","0","1","9","3"
"1","9","8","0","3","10","3"
"2","4","0","0","1","11","3"
"1","1","0","0","1","12","3"
"4","3","0","0","1","13","3"
"3","3","11","0","2","14","3"
"1","4","10","0","1","1","4"
"1","12","12","0","1","2","4"
"2","1","10","0","1","3","4"
"1","11","4","0","1","4","4"
"2","1","0","0","1","5","4"
"1","4","13","0","1","6","4"
"2","2","6","0","1","7","4"
"1","8","0","0","1","8","4"
"2","8","10","0","1","9","4"
"1","1","10","0","1","1","5"
"2","11","5","0","1","2","5"
"1","1","7","0","1","3","5"
"2","5","12","0","1","4","5"
"1","1","11","0","1","5","5"
"2","3","4","0","1","6","5"
"2","5","12","0","1","7","5"
"1","2","6","0","1","8","5"
"2","11","4","0","1","9","5"
"1","8","8","0","1","10","5"
"1","4","10","0","1","11","5"
"2","5","10","0","1","12","5"
"1","8","7","0","1","1","6"
"2","4","10","0","1","2","6"
"1","1","11","0","1","3","6"
"2","8","8","0","1","4","6"
"1","11","6","0","1","5","6"
"1","2","7","0","2","6","6"
"1","5","4","0","1","7","6"
"2","4","10","0","1","8","6"
"1","10","13","0","2","9","6"
"1","8","7","0","1","1","7"
"2","12","10","0","1","2","7"
"2","4","12","0","1","3","7"
"1","11","7","0","1","4","7"
"1","1","10","0","1","5","7"
"2","5","12","0","1","6","7"
"2","5","11","0","1","7","7"
"2","8","10","0","1","8","7"
"1","2","8","0","1","9","7"
"1","8","7","0","1","10","7"
"2","4","9","0","1","11","7"
"1","1","10","0","2","1","8"
"2","12","10","0","1","2","8"
"1","12","5","0","1","3","8"
"1","5","12","0","1","4","8"
"2","1","10","0","1","5","8"
"1","5","12","0","1","6","8"
"1","5","12","0","1","7","8"
"2","1","10","0","1","8","8"
"2","8","9","0","1","9","8"
"1","4","9","0","2","10","8"
"1","4","8","0","1","1","9"
"1","5","10","0","1","2","9"
"2","4","7","0","1","3","9"
"2","6","8","0","1","4","9"
"1","1","10","0","1","5","9"
"1","11","11","0","1","6","9"
"1","1","6","0","1","7","9"
"2","5","8","0","1","8","9"
"2","8","7","0","1","9","9"
"1","4","6","0","1","10","9"
"2","11","10","0","1","1","10"
"1","1","7","0","1","2","10"
"1","8","8","0","2","3","10"
"2","5","9","0","1","4","10"
"1","10","8","0","1","5","10"
"1","1","7","0","2","6","10"
"1","2","6","0","2","7","10"
"1","11","10","0","1","8","10"
"2","8","10","0","1","9","10"
"1","9","8","0","1","1","11"
"2","5","0","0","1","2","11"
"2","6","12","0","1","3","11"
"1","1","5","0","1","4","11"
"2","5","10","0","1","5","11"
"2","6","12","0","1","6","11"
"1","1","4","0","1","7","11"
"1","11","0","0","1","8","11"
"1","6","0","0","1","9","11"
"2","1","10","0","1","10","11"
"1","6","11","0","1","11","11"
"2","1","12","0","1","12","11"
"2","5","6","0","1","13","11"
"1","10","7","0","1","14","11"
"2","4","7","0","1","15","11"
"2","11","4","0","1","1","12"
"1","1","5","0","1","2","12"
"2","6","10","0","1","3","12"
"2","5","10","0","1","4","12"
"1","11","0","0","1","5","12"
"2","6","0","0","1","6","12"
"2","12","17","0","1","7","12"
"1","5","1","0","1","8","12"
"1","1","2","0","1","9","12"
"2","6","10","0","1","10","12"
"2","4","10","0","1","11","12"
"1","1","0","0","1","12","12"
"1","5","13","0","1","13","12"
"2","11","8","0","1","14","12"
"1","8","10","0","1","15","12"
"1","11","10","0","1","1","13"
"3","11","8","0","1","2","13"
"2","6","0","0","1","3","13"
"1","11","10","0","1","4","13"
"2","11","7","0","1","5","13"
"3","2","6","0","1","6","13"
"3","1","0","1500","1","7","13"
"1","11","5","0","3","8","13"
"3","5","10","0","1","9","13"
"2","1","4","0","1","10","13"
"1","1","4","0","1","11","13"
"3","6","6","0","1","12","13"
"1","4","6","0","1","13","13"
"1","9","10","0","3","14","13"
"3","8","10","0","1","15","13"
"1","4","6","0","1","16","13"
"3","1","0","0","1","17","13"
"2","8","8","0","1","18","13"
"1","11","0","0","1","1","14"
