efb220bea1e1f57e334573d546c0c22c7a0f56acb7f4cb73a81f7ec2c044697e,3049a79038451b5ac75dac8c7fd833bd7021b31a196035588c05d47d4325e735,f39f013ce93ce7b07e198732929c40cd063927ae829e3c81f321931516a62877,9a0d1d411084e6e0bddce6f06f79d4423e9553e7420672b1d269bbddcf24ea75,b8cd12ae8862ab19523e732eed688bf71e67bc1e7cef5fbc0a0dcfbe17525c7c,bcc4cf69309800820d764d83d19b614725dfcfca07c7c639bb99ec83cd3735fa,2886ed39cc283b79dcb4ff19ded570e3773e2d63dfdd1ce3dae866b30c8a408f,890244017de27344b1531a6f3e0ebae591ef9c8e94e39b29972dcda456484a35,c8659267fc2a3265f1398fbc37feeabf2ab133d3f32018ce910651be93664d93,e42ada14efd6bb32881ce49d4ab9281fb49a83ace79c1375924d61082b38b9be,05738024335d35c7d7f0eaa7f757f073ab483ad3e8ee252d65d79f6789b9b17e,3e2c301924acf9bca309889268dbfe29b045a7d3898291344323e0dec07ddef8,800490aae54b83b7e23054314d3a69c7b48f85d6402f91f73ef6a2e72e32b5f8,23a7fa61c6044d2b02916f68ffc8e91e43b1123913804b9eeb4a6f7ab7b54f91,d69a67d0a5d68acb7751dfb2369ca25813e791e7f51140c066d733453352be5a,d4035dbb63ac149f7ba603a2080853ba836535bf2ed8fcf3d4deb611990a4f1f,d4321dac1b59ba9f3a71bd0b973b9a668f06f51b5689aa31487401d04d401ef4,c9d9a92b812a40c5697f011feff2fc22855f45e54db292b4546d222f3f2da13c,5f6e398af7161d2352044dcb16a7104e5ab6a6495f526e22ad1cb7cce708d4be,88e3c375c411dca83426fbcb629cc5c2050d91fefec9a8bcb60caca409de3780
"803100201","803100201","100","803100201","0","0","803100251","0","0","803100252","0","0","803100253","0","0","803100263","0","0","0","0"
"803100202","803100202","100","803100205","0","0","803100251","0","0","803100252","0","0","803100253","0","0","803100263","0","0","0","0"
"803100203","803100203","100","803100209","0","0","803100251","0","0","803100252","0","0","803100253","0","0","803100263","0","0","0","0"
"803100204","803100204","100","803100213","0","0","803100254","0","0","803100255","0","0","803100256","0","0","803100263","0","0","0","0"
"803100205","803100205","100","803100214","0","0","803100254","0","0","803100255","0","0","803100256","0","0","803100263","0","0","0","0"
"803100206","803100206","100","803100215","0","0","803100254","0","0","803100255","0","0","803100256","0","0","803100263","0","0","0","0"
"803100207","803100207","100","803100216","0","0","803100257","0","0","803100258","0","0","803100259","0","0","803100263","0","0","0","0"
"803100208","803100208","100","803100217","0","0","803100257","0","0","803100258","0","0","803100259","0","0","803100263","0","0","0","0"
"803100209","803100209","100","803100218","0","0","803100257","0","0","803100258","0","0","803100259","0","0","803100263","0","0","0","0"
"803100210","803100210","100","803100219","0","0","803100260","0","0","803100261","0","0","803100262","0","0","803100263","0","0","0","0"
"803100211","803100211","100","803100220","0","0","803100260","0","0","803100261","0","0","803100262","0","0","803100263","0","0","0","0"
"803100212","803100212","100","803100221","0","0","803100260","0","0","803100261","0","0","803100262","0","0","803100263","0","0","0","0"
"803100213","803100213","100","803100222","0","0","803100264","0","0","803100265","0","0","803100266","0","0","803100267","0","0","0","0"
"803100214","803100214","100","803100223","0","0","803100264","0","0","803100265","0","0","803100266","0","0","803100267","0","0","0","0"
"803100215","803100215","100","803100224","0","0","803100264","0","0","803100265","0","0","803100266","0","0","803100267","0","0","0","0"
"803100216","803100216","100","803100225","0","0","803100226","0","0","803100268","0","0","803100269","0","0","803100272","0","0","0","0"
"803100217","803100217","100","803100227","0","0","803100228","0","0","803100268","0","0","803100269","0","0","803100272","0","0","0","0"
"803100218","803100218","100","803100229","0","0","803100230","0","0","803100268","0","0","803100269","0","0","803100272","0","0","0","0"
"803100219","803100219","100","803100231","0","0","803100232","0","0","803100270","0","0","803100271","0","0","803100272","0","0","0","0"
"803100220","803100220","100","803100233","0","0","803100234","0","0","803100270","0","0","803100271","0","0","803100272","0","0","0","0"
"803100221","803100221","100","803100235","0","0","803100236","0","0","803100270","0","0","803100271","0","0","803100272","0","0","0","0"
"803100222","803100222","100","803100237","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"803100223","803100223","100","803100238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"803100224","803100224","100","803100239","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
