e8ff1393a2460b8b415b4583a354cd0fd236cad71e3a258c3945c57e85941dbc,e5db5992bdd2c301a565f3de8c23626d4d9bf9ae43be0d0deea31b5ad57dffec,348ff758b8c56e023ffa9f9cc9bc58ab4578db346989bdb03e1c417679677be1,619ad34e576354ad498cd18179cf482644696dd18ce63614772b45a534664cae,a1e706e7c5a236a0c06f43a86b8fea82df48b74bd5194de328b5c6e36bd86179,664e83de9ec9e4df50d8fbe58fb3850ac7ac7c65d311a4856c57c477fba805dd,c915803897e3f8d7ff1b98806cca57f3ea080338d23b88e97fcdb28491b843d9,9979e7f950f22cb96d3fd78f50fc025b8f634ee968d9b2a61c9d7a43a14046b0,f2029559bff2fa16799df7672e2792a05aee353f27e9821e97810fccc774c6a6,588b2b3a293aa63ccb5a26186df8035c7bac6e4212c976651f13e965f08d1e11,ef67f482e7c7b136e82da0183005590a33623c22e31e499ee712973b405bb49a,176b469fe6479a33add6a942a913c4432ffb1739db19a3291b9084f805edb204,147530ba47eddc434591fe0f3e86e0961986ebcdc40a45cc04b84298576f81ef,05dfc06668c7ca0ff50e259bd27ac3571c24aed6e85c7e206491e0cf8f2ecdbc
"0","0","0","20001101","0","bgm_M32","20001","0","0","bgm_M32","1","1","201","タルグム地方"
"0","0","0","20001201","0","bgm_M32","20001","0","0","bgm_M32","0","1","201","タルグム地方"
"0","0","0","20002101","0","bgm_M98","20002","0","0","bgm_M98_2","0","1","201","マシーナ地方"
"0","0","0","20002201","0","bgm_M98","20002","0","0","bgm_M98_2","0","1","201","マシーナ地方"
"0","0","0","20003101","0","bgm_M106","20003","0","0","bgm_M106","0","1","201","ランドソル郊外"
"0","0","0","20003201","0","bgm_M106","20003","0","0","bgm_M106","0","1","201","ランドソル郊外"
"0","0","0","20004101","0","bgm_M112","20004","0","0","bgm_M112","0","1","201","タパスビーチ周辺"
"0","0","0","20004201","0","bgm_M112","20004","0","0","bgm_M112","0","1","201","タパスビーチ周辺"
"0","0","0","20005101","0","bgm_M121","20005","0","0","bgm_M121","0","1","201","イルシオンの孤島"
"0","0","0","20005201","0","bgm_M121","20005","0","0","bgm_M121","0","1","201","イルシオンの孤島"
"85","0","0","20006101","0","bgm_M128","20006","0","0","bgm_M128","0","1","201","王都ランドソル"
"0","0","0","20006201","0","bgm_M128","20006","0","0","bgm_M128","0","1","201","王都ランドソル"
"0","0","0","20007101","0","bgm_M135","20007","0","0","bgm_M135","1","1","201","ランドソル郊外"
"0","202","0","20007102","80","bgm_M29","20007","1","208","bgm_M29","2","1","201","霊界"
"0","202","1","20007103","0","bgm_M135","20007","1","209","bgm_M135","3","1","201","ランドソル中央部"
"0","0","31","20007201","0","bgm_M135","20007","0","0","bgm_M135","1","1","201","ランドソル郊外"
"35","0","0","20008101","0","bgm_M162","20008","0","0","bgm_M162","0","1","201","ランドソル近郊"
"0","0","0","20008201","0","bgm_M162","20008","0","0","bgm_M162","0","1","201","ランドソル近郊"
"110","0","11","20009101","0","bgm_M171","20009","0","0","bgm_M171","1","1","201","サレンディア救護院"
"0","0","0","20009201","0","bgm_M171","20009","0","0","bgm_M171","1","1","201","王都ランドソル"
"1","0","0","20010101","180","bgm_M182","20010","0","0","bgm_M182","1","1","201","神殿への参道"
"0","0","0","20010201","0","bgm_M182","20010","0","0","bgm_M182","1","1","201","神殿への参道"
"0","0","0","20011101","0","bgm_M189","20011","0","0","bgm_M189","1","1","201","王都ランドソル"
"110","0","0","20011102","0","bgm_M189","20011","0","0","bgm_M189","2","1","201","キッチンスタジアム"
"0","0","0","20011201","0","bgm_M189","20011","0","0","bgm_M189","1","1","201","キッチンスタジアム"
"115","0","0","20012101","0","bgm_M206","20012","0","0","bgm_M206","1","1","201","王都ランドソル"
"0","0","0","20012201","0","bgm_M206","20012","0","0","bgm_M206","1","1","201","王都ランドソル"
"100","0","0","20013101","0","bgm_M215","20013","0","0","bgm_M215","1","1","201","ガストロス山"
"0","202","11","20013102","0","bgm_M215","20013","1","208","bgm_M215","2","1","201","光の裂け目"
"0","0","0","20013201","0","bgm_M215","20013","0","0","bgm_M215","1","1","201","光の裂け目"
"120","0","0","20014101","0","bgm_M223","20014","0","0","bgm_M223","1","1","201","オーエド町"
"0","0","0","20014201","0","bgm_M223","20014","0","0","bgm_M223","1","1","201","オーエド町"
"98","0","12","20015101","0","bgm_M237","20015","0","0","bgm_M237","1","1","201","サンレインビーチ"
"0","0","0","20015201","0","bgm_M237","20015","0","0","bgm_M237","0","1","201","サンレインビーチ"
"150","0","0","20016101","0","bgm_M245","20016","0","0","bgm_M245_02","0","1","201","マホマホ王国避暑地？"
"0","0","0","20016201","0","bgm_M245","20016","0","0","bgm_M245_02","0","1","201","マホマホ王国避暑地？"
"70","0","0","20017101","0","bgm_M254","20017","0","0","bgm_M254","1","1","201","聖テレサ女学院"
"0","0","0","20017201","0","bgm_M254","20017","0","0","bgm_M254","0","1","201","聖テレサ女学院"
"0","0","0","20018101","0","bgm_M265","20018","0","0","bgm_M265_Top","1","1","201","テラーハウス周辺"
"0","202","0","20018102","0","bgm_M265","20018","1","0","bgm_M265_Top","2","1","201","ゴーストグレイヴ"
"0","0","0","20018201","0","bgm_M265","20018","0","0","bgm_M265_Top","1","1","201","ゴーストグレイヴ"
"90","0","0","20019101","0","bgm_M273","20019","0","0","bgm_M273","0","1","201","エルピス島 開拓キャンプ一帯"
"0","0","0","20019201","0","bgm_M273","20019","0","0","bgm_M273","0","1","201","エルピス島 開拓キャンプ一帯"
"0","0","0","20020101","0","bgm_M281","20020","0","0","bgm_M281","1","1","201","王都ランドソル 郊外"
"0","0","11","20020102","0","bgm_M281","20020","0","0","bgm_M281","2","1","201","王都ランドソル 中央広場"
"0","0","0","20020201","0","bgm_M281","20020","0","0","bgm_M281","1","1","201","王都ランドソル 中央広場"
"30","0","0","20021101","0","bgm_M294","20021","0","0","bgm_M294","1","1","201","ギルドレース　１区→２区"
"30","0","0","20021102","0","bgm_M294","20021","0","0","bgm_M294","2","1","201","ギルドレース　３区→４区"
"0","0","0","20021201","0","bgm_M294","20021","0","0","bgm_M294","1","1","201","ギルドレース　３区→４区"
"87","0","0","20022101","0","bgm_M316","20022","0","0","bgm_M316","1","1","201","王都ランドソル"
"0","0","0","20022201","0","bgm_M316","20022","0","0","bgm_M316","1","1","201","王都ランドソル"
"45","0","0","20023101","0","bgm_M343","20023","0","0","bgm_M343","1","1","201","聖テレサ女学院"
"0","0","0","20023201","0","bgm_M343","20023","0","0","bgm_M343","0","1","201","聖テレサ女学院"
"0","0","0","20024101","0","bgm_M351","20024","0","0","bgm_M351","1","1","201","エリザベスパーク"
"0","0","0","20024102","0","bgm_M351","20024","0","0","bgm_M351","2","1","201","王都ランドソル"
"0","0","0","20024103","0","bgm_M351","20024","0","0","bgm_M351","3","1","201","エリザベスパーク"
"0","0","0","20024201","0","bgm_M351","20024","0","0","bgm_M351","1","1","201","エリザベスパーク"
"200","0","0","20025101","0","bgm_M375","20025","0","0","bgm_M375","0","1","201","不思議の国"
"100","0","0","20025201","0","bgm_M375","20025","0","0","bgm_M375","0","1","201","不思議の国"
"90","0","0","20026101","0","bgm_M380A","20026","0","0","bgm_M380A","1","1","201","ウィッシュビーチ周辺"
"0","0","0","20026102","0","bgm_M380B","20026","0","0","bgm_M380B_02","2","1","201","星降る天の川"
"0","0","0","20026201","0","bgm_M380B","20026","0","0","bgm_M380B_02","0","1","201","星降る天の川"
"115","0","0","20027101","0","bgm_M393","20027","0","0","bgm_M393","0","1","201","ビーチボールパーク"
"0","0","0","20027201","0","bgm_M393","20027","0","0","bgm_M393","0","1","201","ビーチボールパーク"
"80","0","0","20028101","0","bgm_M403","20028","0","0","bgm_M403","1","1","201","王都ランドソル"
"0","0","0","20028201","0","bgm_M403","20028","0","0","bgm_M403","1","1","201","王都ランドソル"
"128","0","0","20029101","0","bgm_M413","20029","0","0","bgm_M413","0","1","201","ハロウィンパーク"
"0","0","0","20029201","0","bgm_M413","20029","0","0","bgm_M413","0","1","201","ハロウィンパーク"
"80","0","0","20030101","0","bgm_M421","20030","0","0","bgm_M421","1","1","201","王都ランドソル"
"0","0","0","20030201","0","bgm_M421","20030","0","0","bgm_M421","1","1","201","王都ランドソル"
"60","0","0","20031101","0","bgm_M426","20031","0","0","bgm_M426","1","1","201","デビュタント・シャングリ・ラ会場"
"0","0","0","20031201","0","bgm_M426","20031","0","0","bgm_M426","1","1","201","デビュタント・シャングリ・ラ会場"
"100","0","0","20032101","0","bgm_M435","20032","0","0","bgm_M435","1","1","201","港町・オーマ"
"0","0","0","20032201","0","bgm_M435","20032","0","0","bgm_M435","1","1","201","港町・オーマ"
"70","0","0","20033101","0","bgm_M442A","20033","0","0","bgm_M442A","1","1","201","ランドソル近郊"
