35dc1678381aa56642751a13f22072ad50aef428a6b5111c694c124c880e9953,54cccbdc47227ccd00f188f03355570261d90bec4e88c27654f908bf6e77aa0b,9af2034a8fab43f3e6e56aae10db1e7cfcbbe00e79a883671685ed49e44350dd,ce9b06acf68e8041a6af136bedc02f2edf9f2a7fe6fe84f660cade4b8bd946d8,cc8090986b9a5fef24b8cd8ca757fd1e931f8999f335e5406870f349e1fcd815
"10151","6124101","10151110","信頼度","1"
"10153","6017101","10153102","信頼度","1"
"10168","6144101","10168102","信頼度","1"
"20015","0","0","信頼度","1"
"20017","0","0","信頼度","1"
"20018","0","0","信頼度","1"
"20019","0","0","信頼度","1"
"20020","0","0","信頼度","1"
"20022","0","0","信頼度","1"
"20023","0","0","信頼度","1"
"20024","0","0","信頼度","1"
"20025","0","0","信頼度","1"
"20026","0","0","信頼度","1"
"20028","0","0","信頼度","1"
"20029","0","0","信頼度","1"
"20030","0","0","信頼度","1"
"20031","0","0","信頼度","1"
"20032","0","0","信頼度","1"
"20035","0","0","信頼度","1"
"20037","0","0","信頼度","1"
"20038","0","0","信頼度","1"
"20042","0","0","信頼度","1"
"20043","0","0","信頼度","1"
"20048","0","0","信頼度","1"
"20049","0","0","信頼度","1"
"20051","0","0","信頼度","1"
"20054","0","0","信頼度","1"
"20055","0","0","信頼度","1"
"20056","0","0","信頼度","1"
"20061","0","0","信頼度","1"
