8e9591b16699dae7b5ad5d1c2cac5e84ef42c1fc6ff0324378a667addab8fcfd,37ff0b99ec10c4ce3bc82bab4a2f4fcabc2435683cfeaaf7816d9f4f452b9caa,58d39853100a534e3ca1cd2a5bd0689bac54ef1b30d893dca3679f7228992319,5fa180bbbc1535465c10792193c2e0d8bf750bc48447a7695f5cd27705d41d8a,5a89e9b32eb6dbbf16d1883c5b0869208e4fbf6f779f9d35e7029a5c3f94411a,4e6dd2a182e2c130993ccd5c17aaa920f78957ed90a0f35f7e14933a7a112f27,a737c9122d271502843c5a40d7964b042b1a1aec94a10f315aebb20a5a1f1669,d8550a1d5ad7acb1e505a8dc2cb3c9217d703df18f920b44fb21b205c0b02405,1e77d085336888729b164f3261f9b67bdb23fe5aa2280b2fdd9967740e0e5315
"7","53002","20","10701","1","22","15","15","1"
"7","53002","22","10702","2","22","14","14","1"
"7","53002","24","10703","3","22","13","13","2"
"7","53002","26","10704","4","22","12","12","2"
"7","53002","28","10705","5","22","11","11","3"
"7","53002","30","10706","6","22","10","10","3"
"7","53002","32","10707","7","22","9","9","4"
"7","53002","34","10708","8","22","8","8","4"
"7","53002","36","10709","9","22","7","0","5"
"8","53002","20","10801","1","22","15","15","1"
"8","53002","22","10802","2","22","14","14","1"
"8","53002","24","10803","3","22","13","13","2"
"8","53002","26","10804","4","22","12","12","2"
"8","53002","28","10805","5","22","11","11","3"
"8","53002","30","10806","6","22","10","10","3"
"8","53002","32","10807","7","22","9","9","4"
"8","53002","34","10808","8","22","8","8","4"
"8","53002","36","10809","9","22","7","0","5"
"9","53002","20","10901","1","22","15","15","1"
"9","53002","22","10902","2","22","14","14","1"
"9","53002","24","10903","3","22","13","13","2"
"9","53002","26","10904","4","22","12","12","2"
"9","53002","28","10905","5","22","11","11","3"
"9","53002","30","10906","6","22","10","10","3"
"9","53002","32","10907","7","22","9","9","4"
"9","53002","34","10908","8","22","8","8","4"
"9","53002","36","10909","9","22","7","0","5"
"10","53002","20","11001","1","22","15","15","1"
"10","53002","22","11002","2","22","14","14","1"
"10","53002","24","11003","3","22","13","13","2"
"10","53002","26","11004","4","22","12","12","2"
"10","53002","28","11005","5","22","11","11","3"
"10","53002","30","11006","6","22","10","10","3"
"10","53002","32","11007","7","22","9","9","4"
"10","53002","34","11008","8","22","8","8","4"
"10","53002","36","11009","9","22","7","0","5"
