fdd1719ccde234ceeba8dc68a3ce7aa37f96b0d7a47d60faa42bac0dcee3a985,de777aa4d570c1cef411978db1d46024ad91ddd7e8e4395f8840a00c5ff5aa77,909f2457f6bb96eee4d2ee15494760c32e02780261b6b2ab34ca3a91c19b9db4,ec736ab2cd86a979b1f5c1d01376101090dacb06ac082d66f066cc6d4fb12ca8,9670616ab0683cea061395d42201445f8e75b6a0e05d6837b7c8dc8d1fe5d110,1791a1e559d1a7c06b19c94f053387246d7803924ed1a0b068c89f3359f7c170,93c39617a04c8a13e618af55d35d0d7f85c43724985439bfe77c9651422adc90,8b9dffbfae28bed280e0a26788cd629c25c62c4bf2c90960088bfe0c2dfad78a,284f06d61dc5b28db7cda7fbd9afbe5ce7b9bb81f38c6f2565098d64d3452c48,78ee9a1229ef107a9e350cf07a283a86d8ff693b881c77879e00513572b26bb1
"調子が上がって\nきたなっ","vo_minigame_1013_icon_1_002_001","1","2","訓練はまだ\nここからですわ","2","1000","3000","vo_minigame_1013_icon_2_002_001","2"
"ほらほら、\nまだいけるだろ？","vo_minigame_1013_icon_1_003_001","2","2","クスクス、悪くない\n流れですわね","2","5000","3000","vo_minigame_1013_icon_2_003_001","2"
"へへっ、おまえら\nやるじゃねえか！","vo_minigame_1013_icon_1_004_001","3","2","すばらしい\n記録ですわ","3","10000","3000","vo_minigame_1013_icon_2_004_001","2"
"あたしたちはまだ\n止まらねえぜ！","vo_minigame_1013_icon_1_005_001","4","3","乗りに乗って\nいますわね","3","10000","3000","vo_minigame_1013_icon_2_005_001","2"
"見てろよ！\nマコト班の快進撃だ！","vo_minigame_1013_icon_1_005_002","5","3","まだまだ行きます\nついてきなさい","3","10000","3000","vo_minigame_1013_icon_2_005_002","2"
"うおぉぉっ！\n絶好調だぜ！","vo_minigame_1013_icon_1_005_003","6","3","エリコ班の\n本領発揮ですわ！","3","10000","3000","vo_minigame_1013_icon_2_005_003","2"
"どこまで行けるか\n楽しみだなっ！","vo_minigame_1013_icon_1_006_001","7","4","ここからは\n前人未到の領域です！","3","0","3000","vo_minigame_1013_icon_2_006_001","2"
"まだ諦めんなよっ","vo_minigame_1013_icon_1_007_001","8","5","厄介でしたわ…","4","1","1000","vo_minigame_1013_icon_2_007_001","3"
"冷やっとしたぜ…！","vo_minigame_1013_icon_1_007_002","9","5","油断大敵です","4","1","1000","vo_minigame_1013_icon_2_007_002","3"
"弱音を吐くなっ","vo_minigame_1013_icon_1_007_003","10","5","忌々しいっ…","4","1","1000","vo_minigame_1013_icon_2_007_003","3"
"マコト班集合！","vo_minigame_1013_icon_1_008_001","11","6","大所帯ですわね","3","99","1500","vo_minigame_1013_icon_2_008_001","4"
"連携してくぞ！","vo_minigame_1013_icon_1_008_002","12","6","エリコ班へようこそ","3","99","1500","vo_minigame_1013_icon_2_008_002","4"
"みんなに力を！","vo_minigame_1013_icon_1_020_001","13","8","ナナカちゃんに\nお任せあれ","6","0","3000","vo_minigame_1013_icon_2_020_001","1"
"任せてくれたまえ","vo_minigame_1013_icon_1_022_001","14","9","はっはっは！\n任せろ！","7","0","3000","vo_minigame_1013_icon_2_022_001","1"
"ほな、いきまひょか","vo_minigame_1013_icon_1_023_001","15","10","どんどんいくわよ","8","0","3000","vo_minigame_1013_icon_2_023_001","1"
