ec193e1fd98dfa6fa43bb8f0a8f763877aafc91395c73033e21857acc66de564,ee63df6ee0be976f76825db1fd58425fdf8faeca48e6dba603c4aa12e94290fa,257cb86ab151720ee55ba66569304cefa10c83c6ada24aa85955d4859f345473,26641f2bcd7aaf435bf641f775576abf35f7d26becc22df066c0dd6911d3141f,1ee827232f526945f1a7bdb1110778a23c3d5014bf87b646c6059822591b7630,26c53c46589826e5b15c0164f66da4ab1b47ce77165fb75ce67200b73934aa19,b0e46000fb0abc260396dac659ee16fafb4cdc8054615df1bfb3825f0c7cec4b,814ab1bef97d613bc25e60acdf2f9c32bacb7b456daec332fc6497c284df91e8,fd000782788dde8011e2a232c65d97b13c98519dd7faf60090ec6306a42bd332,616225e34748a89a263aa670607e6cc991f89259f4d9f75eb4091bd7e8046d98,7d737237e38614f50540b4e31c5929b4538c75be57ee2dbc5348595a9a584474
"8","31","284001001","2","1","91002","8","10","25021","2","25014"
"8","31","284001002","2","2","91002","8","10","25021","2","25014"
"8","32","284001003","2","3","91002","8","10","25021","2","25014"
"8","32","284001004","2","4","91002","8","10","25021","2","25014"
"8","33","284001005","2","5","91002","8","10","25021","2","25014"
"9","33","284001006","2","6","91002","8","10","25021","2","25014"
"9","34","284001007","2","7","91002","8","10","25021","2","25014"
"9","35","284001008","2","8","91002","8","10","25021","2","25014"
"9","35","284001009","2","9","91002","8","10","25021","2","25014"
"10","37","284001010","2","10","91002","8","30","25021","2","25014"
"10","41","284001011","2","11","91002","8","10","25021","2","25014"
"11","43","284001012","2","12","91002","8","10","25021","2","25014"
"11","46","284001013","2","13","91002","8","10","25021","2","25014"
"12","48","284001014","2","14","91002","8","10","25021","2","25014"
"12","50","284001015","2","15","91002","8","10","25021","2","25014"
"13","53","284001016","2","16","91002","8","10","25021","2","25014"
"14","55","284001017","2","17","91002","8","10","25021","2","25014"
"14","58","284001018","2","18","91002","8","10","25021","2","25014"
"15","60","284001019","2","19","91002","8","10","25021","2","25014"
"15","62","284001020","2","20","91002","8","30","25021","2","25014"
"16","68","284001021","2","21","91002","8","10","25021","2","25014"
"16","70","284001022","2","22","91002","8","10","25021","2","25014"
"16","72","284001023","2","23","91002","8","10","25021","2","25014"
"17","75","284001024","2","24","91002","8","10","25021","2","25014"
"18","77","284001025","2","25","91002","8","10","25021","2","25014"
"18","79","284001026","2","26","91002","8","10","25021","2","25014"
"19","82","284001027","2","27","91002","8","10","25021","2","25014"
"19","84","284001028","2","28","91002","8","10","25021","2","25014"
"19","86","284001029","2","29","91002","8","10","25021","2","25014"
"20","89","284001030","2","30","91002","8","30","25021","2","25014"
"20","94","284001031","2","31","91002","8","10","25021","2","25014"
"21","96","284001032","2","32","91002","8","10","25021","2","25014"
"21","99","284001033","2","33","91002","8","10","25021","2","25014"
"22","101","284001034","2","34","91002","8","10","25021","2","25014"
"22","103","284001035","2","35","91002","8","10","25021","2","25014"
"23","106","284001036","2","36","91002","8","10","25021","2","25014"
"23","108","284001037","2","37","91002","8","10","25021","2","25014"
"24","111","284001038","2","38","91002","8","10","25021","2","25014"
"25","113","284001039","2","39","91002","8","10","25021","2","25014"
"25","115","284001040","2","40","91002","8","30","25021","2","25014"
"26","121","284001041","2","41","91002","8","10","25021","2","25014"
"27","123","284001042","2","42","91002","8","10","25021","2","25014"
"28","125","284001043","2","43","91002","8","10","25021","2","25014"
"28","128","284001044","2","44","91002","8","10","25021","2","25014"
"29","130","284001045","2","45","91002","8","10","25021","2","25014"
"30","132","284001046","2","46","91002","8","10","25021","2","25014"
"30","135","284001047","2","47","91002","8","10","25021","2","25014"
"31","137","284001048","2","48","91002","8","10","25021","2","25014"
"31","139","284001049","2","49","91002","8","10","25021","2","25014"
"31","142","284001050","2","50","91002","8","30","25021","2","25014"
"32","144","284001051","2","51","91002","8","10","25021","2","25014"
"32","146","284001052","2","52","91002","8","10","25021","2","25014"
"32","149","284001053","2","53","91002","8","10","25021","2","25014"
"33","152","284001054","2","54","91002","8","10","25021","2","25014"
"33","155","284001055","2","55","91002","8","10","25021","2","25014"
"33","157","284001056","2","56","91002","8","10","25021","2","25014"
"34","160","284001057","2","57","91002","8","10","25021","2","25014"
"34","163","284001058","2","58","91002","8","10","25021","2","25014"
"34","166","284001059","2","59","91002","8","10","25021","2","25014"
"35","169","284001060","2","60","91002","8","30","25021","2","25014"
"35","171","284001061","2","61","91002","8","10","25021","2","25014"
"35","174","284001062","2","62","91002","8","10","25021","2","25014"
"36","177","284001063","2","63","91002","8","10","25021","2","25014"
"36","180","284001064","2","64","91002","8","10","25021","2","25014"
"36","182","284001065","2","65","91002","8","10","25021","2","25014"
"37","185","284001066","2","66","91002","8","10","25021","2","25014"
"37","187","284001067","2","67","91002","8","10","25021","2","25014"
"37","190","284001068","2","68","91002","8","10","25021","2","25014"
"38","193","284001069","2","69","91002","8","10","25021","2","25014"
"38","196","284001070","2","70","91002","8","30","25021","2","25014"
