4fcad05330ce61851f5370cc700da1a8e94c057c3cd4d1ce727b79aae540387e,12b5c3a3f839ad4eb5b5a48f9d7c7b74313be8fb38243064d2ab31edbc176cfc,ff6c2fa0b24d433f8237f4cc3aad8f1a4a2ce17aae3aebf16bb2a3519c6c7861,ae0b66a6ec8e5eab0419722de8910aa3a44518e8964852b7dcd34aaaf4c14558,03b45913c706074338e6c02d3b15d403e012a189426906ba3574c8d41fa84191,66832edab9e3e279b38a3c6b15ed918531d91e6ffb284bc7686b0f0b3a979539,66fc6de1332fc1dcfd51967b2b5c75b2f222cfbced83e1aa020c48e789799e35
"0","300","0","2","1","0","10101"
"1","360","0","2","1","0","10101"
"2","420","0","2","1","0","10101"
"3","480","0","2","1","0","10101"
"4","540","0","2","1","0","10101"
"5","600","0","2","1","0","10101"
"0","900","0","2","2","0","10101"
"1","960","0","2","2","0","10101"
"2","1020","0","2","2","0","10101"
"3","1080","0","2","2","0","10101"
"4","1140","0","2","2","0","10101"
"5","1200","0","2","2","0","10101"
"0","1500","0","2","3","0","10101"
"1","1560","0","2","3","0","10101"
"2","1620","0","2","3","0","10101"
"3","1680","0","2","3","0","10101"
"4","1740","0","2","3","0","10101"
"5","1800","0","2","3","0","10101"
"0","2100","0","2","4","0","10101"
"1","2160","0","2","4","0","10101"
"2","2220","0","2","4","0","10101"
"3","2280","0","2","4","0","10101"
"4","2340","0","2","4","0","10101"
"5","2400","0","2","4","0","10101"
"0","2700","0","2","5","0","10101"
"1","2760","0","2","5","0","10101"
"2","2820","0","2","5","0","10101"
"3","2880","0","2","5","0","10101"
"4","2940","0","2","5","0","10101"
"5","3000","0","2","5","0","10101"
"0","150","0","5","1","0","10102"
"1","180","0","5","1","0","10102"
"2","210","0","5","1","0","10102"
"3","240","0","5","1","0","10102"
"4","270","0","5","1","0","10102"
"5","300","0","5","1","0","10102"
"0","450","0","5","2","0","10102"
"1","480","0","5","2","0","10102"
"2","510","0","5","2","0","10102"
"3","540","0","5","2","0","10102"
"4","570","0","5","2","0","10102"
"5","600","0","5","2","0","10102"
"0","750","0","5","3","0","10102"
"1","780","0","5","3","0","10102"
"2","810","0","5","3","0","10102"
"3","840","0","5","3","0","10102"
"4","870","0","5","3","0","10102"
"5","900","0","5","3","0","10102"
"0","1050","0","5","4","0","10102"
"1","1080","0","5","4","0","10102"
"2","1110","0","5","4","0","10102"
"3","1140","0","5","4","0","10102"
"4","1170","0","5","4","0","10102"
"5","1200","0","5","4","0","10102"
"0","1350","0","5","5","0","10102"
"1","1380","0","5","5","0","10102"
"2","1410","0","5","5","0","10102"
"3","1440","0","5","5","0","10102"
"4","1470","0","5","5","0","10102"
"5","1500","0","5","5","0","10102"
"0","150","0","7","1","0","10103"
"1","180","0","7","1","0","10103"
"2","210","0","7","1","0","10103"
"3","240","0","7","1","0","10103"
"4","270","0","7","1","0","10103"
"5","300","0","7","1","0","10103"
"0","450","0","7","2","0","10103"
"1","480","0","7","2","0","10103"
"2","510","0","7","2","0","10103"
"3","540","0","7","2","0","10103"
"4","570","0","7","2","0","10103"
"5","600","0","7","2","0","10103"
"0","750","0","7","3","0","10103"
"1","780","0","7","3","0","10103"
"2","810","0","7","3","0","10103"
"3","840","0","7","3","0","10103"
"4","870","0","7","3","0","10103"
"5","900","0","7","3","0","10103"
"0","1050","0","7","4","0","10103"
"1","1080","0","7","4","0","10103"
"2","1110","0","7","4","0","10103"
"3","1140","0","7","4","0","10103"
"4","1170","0","7","4","0","10103"
"5","1200","0","7","4","0","10103"
"0","1350","0","7","5","0","10103"
"1","1380","0","7","5","0","10103"
"2","1410","0","7","5","0","10103"
