d2961caa7994dbb4c135f46922d2141b17615b280925dacd97bc8416a8da7d6b,99c34015594b81096251c608f2bbc8e13428ffc28e97ef3840f0cb6e2af5cd83,6356a80024ef9a80f7d8eaca5a45b1ec4b1679abacb630ba28a24eccb67e2722,88c388667ac042de16cdcd10e5e500072ec9e3110080702c17e283a869face6e,5e6d6d1f0611f830e2931f559f2ac36779bd88129c02b810c9b74636652d6a2a,6227223d7b67ab48e9728f3b61e8a5bcb012a3c1c2321e290aa68217da75e23e,cca96a9a04270632ddf13b0a8183a7682f6b49587a44b3ba0e9659eaddc69ed1,31b142204e96830b5880a94cde61d71937c6800e7190c2ebd07604099ce3004b
"110001","0","90110001","1","70000","ガーゴイル（EASY）をクリアしよう","110001","111"
"110002","0","90110002","1","70000","ガーゴイル（NORMAL）をクリアしよう","110001","112"
"110003","0","90110003","1","70000","ガーゴイル（HARD）をクリアしよう","110001","113"
"110004","0","90110004","1","70000","ガーゴイル（VERY HARD）をクリアしよう","110001","114"
"110005","0","90110005","1","70000","ガーゴイル（EXTREME）をクリアしよう","110001","115"
"120001","0","90120001","1","70000","マグスガーゴイル（EASY）をクリアしよう","110001","121"
"120002","0","90120002","1","70000","マグスガーゴイル（NORMAL）をクリアしよう","110001","122"
"120003","0","90120003","1","70000","マグスガーゴイル（HARD）をクリアしよう","110001","123"
"120004","0","90120004","1","70000","マグスガーゴイル（VERY HARD）をクリアしよう","110001","124"
"120005","0","90120005","1","70000","マグスガーゴイル（EXTREME）をクリアしよう","110001","125"
"130001","0","90130001","1","70000","ガードガーゴイル（EASY）をクリアしよう","110001","131"
"130002","0","90130002","1","70000","ガードガーゴイル（NORMAL）をクリアしよう","110001","132"
"130003","0","90130003","1","70000","ガードガーゴイル（HARD）をクリアしよう","110001","133"
"130004","0","90130004","1","70000","ガードガーゴイル（VERY HARD）をクリアしよう","110001","134"
"130005","0","90130005","1","70000","ガードガーゴイル（EXTREME）をクリアしよう","110001","135"
"140001","0","90140001","1","70000","ガーゴイル・バースト（EASY）をクリアしよう","110001","141"
"140002","0","90140002","1","70000","ガーゴイル・バースト（NORMAL）をクリアしよう","110001","142"
"140003","0","90140003","1","70000","ガーゴイル・バースト（HARD）をクリアしよう","110001","143"
"140004","0","90140004","1","70000","ガーゴイル・バースト（VERY HARD）をクリアしよう","110001","144"
"140005","0","90140005","1","70000","ガーゴイル・バースト（EXTREME）をクリアしよう","110001","145"
"150001","0","90150001","1","70000","ガーゴイル・マギ（EASY）をクリアしよう","110001","151"
"150002","0","90150002","1","70000","ガーゴイル・マギ（NORMAL）をクリアしよう","110001","152"
"150003","0","90150003","1","70000","ガーゴイル・マギ（HARD）をクリアしよう","110001","153"
"150004","0","90150004","1","70000","ガーゴイル・マギ（VERY HARD）をクリアしよう","110001","154"
"150005","0","90150005","1","70000","ガーゴイル・マギ（EXTREME）をクリアしよう","110001","155"
