50ee7d97d9085920b5e3c7fa0b196d6b889bbb248c01631313c40ef795f9e8e0,7604ea3ce3ad0dc0bebad939c35797d163a8f1052932f743def582ae8d9ec6d1,8b5e368fb3cfb857c92a075e4f6928624c5d8be23f01aa316c5933f94db5cd2b,026b079fb49972cf4d0ea7081a43f0834c8c1ef22f152ac458ab93a390be9cd1,06f8fa263a84a9e75fec407238691c34b20fa699295c8e3a836a12585e99954d,dac966b18fadac8f28108fed1cbfc603b56680535bf094c3069b446df389d969
"おまかせ","","1","1","1","2020-02-15 15:00:00"
"デフォルト","","2","2","2","2020-02-15 15:00:00"
"アニバーサリー","","3","3","3","2020-02-15 15:00:00"
"ピンク","","1","4","4","2020-02-15 15:00:00"
"レッド","","1","5","5","2020-02-15 15:00:00"
"イエロー","","1","6","6","2020-02-15 15:00:00"
"グリーン","","1","7","7","2020-02-15 15:00:00"
"ライトブルー","","1","8","8","2020-02-15 15:00:00"
"ブルー","","1","9","9","2020-02-15 15:00:00"
"パープル","","1","10","10","2020-02-15 15:00:00"
"グレー","","1","11","11","2020-02-15 15:00:00"
