5ac991ab53263d7b357ba8e22dfbb9f974d7095bbcbe22acc1834f99a693beda,37ea7f770578bcf7b177496c892c2ec054e548549c4bfd0c06176f5c76aa492f,4a48f294cb95f76500a70db8eebd89ac2cb0547027f916b525e80ffb222f9572,210d9b3d198c4b209fff76129ca2a928c2f228dde7cd263c014594691c536911,f329894a0b58225c83ef1cb644b7b689bc0c83a3e927c32b4cfbda1425fd4736
"28","2020/03/02 4:59:59","27001","2020/02/15 15:00:00","27001"
"33","2021/03/05 11:59:59","27001","2021/02/15 23:00:00","27002"
"42","2021/09/05 11:59:59","27001","2021/08/15 15:00:00","27003"
"43","2022/01/21 11:59:59","27001","2021/12/31 12:00:00","27004"
"44","2022/03/05 14:59:59","27005","2022/02/15 15:00:00","27005"
"55","2022/09/05 11:59:59","27001","2022/08/15 15:00:00","27006"
"81","2023/01/21 11:59:59","27001","2022/12/31 12:00:00","27007"
"82","2023/03/05 14:59:59","27005","2023/02/15 15:00:00","27008"
"85","2023/05/25 14:59:59","27009","2023/04/30 12:00:00","27009"
"113","2023/09/04 14:59:59","27001","2023/08/15 15:00:00","27010"
"115","2024/01/21 11:59:59","27012","2023/12/31 12:00:00","27012"
"118","2024/03/05 14:59:59","27005","2024/02/15 00:00:00","27013"
"119","2024/05/30 23:59:59","27012","2024/04/30 12:00:00","27014"
"127","2024/09/10 23:59:59","27012","2024/08/15 15:00:00","27015"
"138","2024/12/31 11:59:59","27012","2024/12/20 5:30:00","27016"
"140","2025/01/24 23:59:59","27012","2024/12/31 12:00:00","27017"
