9f093e4ccdc84e84768da0bbb9e8ae8c6da8dfba28c16a4387062fcb2d5f4afd,e4f0dfe72c060cb1c31b7e2027e74bafb5a7a37b6f331a93aceea8aa856d4a6a,94f9cf15d4c97cadca6a0555c3edf9bee9950466d1264c192b87e8d11c50ef94,103381db6143dca61c14d18a391e371f4ecd4c61260f47ac7ebe137eb646a1ba,a8200f39b0b80fd58bb62afd9fb0c1554f24cb65e74d782f08e505afa5ef9abe,94dd7189594af73abd2d1aae4f5f61f00c503dabf665a0b0c2ad22b409d7592f,7c4e121d9fa68e1f594eb55b61a45a940c4b565ee9ad2ee6de51e2ea20070c07,678e424153f1066a1e7c72dd6ec156f3adc9db53aeb4b5ca5c6a25de2c7775a2
"110001","90110001","1","0","70000","110001","ガーゴイル（EASY）をクリアしよう","111"
"110002","90110002","1","0","70000","110001","ガーゴイル（NORMAL）をクリアしよう","112"
"110003","90110003","1","0","70000","110001","ガーゴイル（HARD）をクリアしよう","113"
"110004","90110004","1","0","70000","110001","ガーゴイル（VERY HARD）をクリアしよう","114"
"110005","90110005","1","0","70000","110001","ガーゴイル（EXTREME）をクリアしよう","115"
"120001","90120001","1","0","70000","110001","マグスガーゴイル（EASY）をクリアしよう","121"
"120002","90120002","1","0","70000","110001","マグスガーゴイル（NORMAL）をクリアしよう","122"
"120003","90120003","1","0","70000","110001","マグスガーゴイル（HARD）をクリアしよう","123"
"120004","90120004","1","0","70000","110001","マグスガーゴイル（VERY HARD）をクリアしよう","124"
"120005","90120005","1","0","70000","110001","マグスガーゴイル（EXTREME）をクリアしよう","125"
"130001","90130001","1","0","70000","110001","ガードガーゴイル（EASY）をクリアしよう","131"
"130002","90130002","1","0","70000","110001","ガードガーゴイル（NORMAL）をクリアしよう","132"
"130003","90130003","1","0","70000","110001","ガードガーゴイル（HARD）をクリアしよう","133"
"130004","90130004","1","0","70000","110001","ガードガーゴイル（VERY HARD）をクリアしよう","134"
"130005","90130005","1","0","70000","110001","ガードガーゴイル（EXTREME）をクリアしよう","135"
"140001","90140001","1","0","70000","110001","ガーゴイル・バースト（EASY）をクリアしよう","141"
"140002","90140002","1","0","70000","110001","ガーゴイル・バースト（NORMAL）をクリアしよう","142"
"140003","90140003","1","0","70000","110001","ガーゴイル・バースト（HARD）をクリアしよう","143"
"140004","90140004","1","0","70000","110001","ガーゴイル・バースト（VERY HARD）をクリアしよう","144"
"140005","90140005","1","0","70000","110001","ガーゴイル・バースト（EXTREME）をクリアしよう","145"
"150001","90150001","1","0","70000","110001","ガーゴイル・マギ（EASY）をクリアしよう","151"
"150002","90150002","1","0","70000","110001","ガーゴイル・マギ（NORMAL）をクリアしよう","152"
"150003","90150003","1","0","70000","110001","ガーゴイル・マギ（HARD）をクリアしよう","153"
"150004","90150004","1","0","70000","110001","ガーゴイル・マギ（VERY HARD）をクリアしよう","154"
"150005","90150005","1","0","70000","110001","ガーゴイル・マギ（EXTREME）をクリアしよう","155"
