baa3fd070365875dd375fa7fa8decbf7f90ec08eef2e5e1c1e3bad778bd55f9c,a8df1b9288b2da97faa83ce1535762f91c43e7e1246c46b3ee665e53b6cf233d,a03c094e3c9942590617366b6e7d5f94e4c19110f16784755fc9d5bf68189c5e,4e6b097f3521674db1f7b58baf3c3453706a8a90d17f43d09df16095f7ca9ba4,11a38c926665069c1b3162c5747556d8a3bcac2e4974acca9ffdca6e390014e1,8b84b149c09c72c4d858dc54478dc280dade9253916630b2680f4541d3fcaf10,39071725288a9bd08218a22ce9d05b72c938e00616b26480c5926fa0fe5088aa,0df67986bce4d99349e29478bc2d2d06186bdbb79395827e7f7a698a26b7141a
"3000","30050237","30050236","0","10050650","0","0","10050640"
"3000","30050414","30050413","0","10050670","0","0","10050659"
"3000","30050422","30050421","30050423","10050735","0","0","10050723"
"3000","30050425","30050424","30050426","10050360","0","0","10050818"
"3000","30060188","30060187","30060189","10060413","0","30060190","10060402"
"3000","30060192","30060191","30060193","10060492","0","0","10060480"
"3000","30060195","30060194","30060196","10060545","0","30060197","10060542"
"3000","30060209","30060208","30060210","10060606","30060212","30060211","10060591"
"3000","30070187","30070186","30070188","10070626","0","30070189","10070608"
"3000","30070199","30070198","30070200","10070926","30070202","30070201","10070914"
"3000","30070207","30070206","30070208","10071052","30070210","30070209","10071038"
"3000","30070194","30070193","30070195","10071131","0","30070196","10071117"
"3000","30080237","30080236","0","10080650","0","0","10080640"
"3000","30080414","30080413","0","10080670","0","0","10080659"
"3000","30080422","30080421","30080423","10080735","0","0","10080723"
"3000","30080425","30080424","30080426","10080360","0","0","10080818"
"3000","30090188","30090187","30090189","10090413","0","30090190","10090402"
"3000","30090192","30090191","30090193","10090492","0","0","10090480"
"3000","30090195","30090194","30090196","10090545","0","30090197","10090542"
"3000","30090209","30090208","30090210","10090606","30090212","30090211","10090591"
"3000","30100187","30100186","30100188","10100626","0","30100189","10100608"
"3000","30100199","30100198","30100200","10100926","30100202","30100201","10100914"
"3000","30100207","30100206","30100208","10101052","30100210","30100209","10101038"
"3000","30100194","30100193","30100195","10101131","0","30100196","10101117"
"3000","30110237","30110236","0","10110650","0","0","10110640"
"3000","30110414","30110413","0","10110670","0","0","10110659"
"3000","30110422","30110421","30110423","10110735","0","0","10110723"
"3000","30110425","30110424","30110426","10110360","0","0","10110818"
"3000","30120188","30120187","30120189","10120413","0","30120190","10120402"
"3000","30120192","30120191","30120193","10120492","0","0","10120480"
"3000","30120195","30120194","30120196","10120545","0","30120197","10120542"
"3000","30120209","30120208","30120210","10120606","30120212","30120211","10120591"
"3000","30130187","30130186","30130188","10130626","0","30130189","10130608"
"3000","30130199","30130198","30130200","10130926","30130202","30130201","10130914"
"3000","30130207","30130206","30130208","10131052","30130210","30130209","10131038"
"3000","30130194","30130193","30130195","10131131","0","30130196","10131117"
