29aa59dac1b038e1360c237638fe55ef57d8d54874824fb14a1788a3194dfe2a,0e7715b0baf59b590fb78d8cba503878f190d4d8d0db522fab1f0560bb64ddda,8efc0af7cb80b7feab0f411039932a62a51ee4bc13fe9a027da4ec6a7d75fd33,8fe7521250d236e29fdfe77d9b890adb0a194baac2b8acd1c66ab1f3dddbbc9b,a1280194df8216a9e4ee96738cc2291e811e39736a5f35042380c88032434870,9c4f673ff96e19f3cf8b2769b419f44a5bd9392e0c0f4b003698a5d2422704ae
"10036","0","0","5035004","5035005","0"
"10059","0","0","5058004","5058005","0"
"10063","10062","10062115","0","0","1006201"
"10085","10084","10084115","0","0","1008401"
"10087","10086","10086115","0","0","1008601"
"10111","10110","10110115","0","0","1011001"
"10113","10112","10112115","0","0","1011201"
"10137","10136","10136110","0","0","1013601"
"10139","10138","10138115","0","0","1013801"
"10165","10164","10164110","0","0","1016401"
"10175","10174","10174107","0","0","1017401"
"20034","20033","20033115","0","0","2003301"
"20047","20046","20046115","0","0","2004601"
"20060","20059","20059115","0","0","2005901"
"20068","20067","20067110","0","0","2006701"
