29da4848f5fc3781219de5e844449a26d71a7eabd5af96f317d6f054c8f58d8c,f87a1e14333233198289e6c976aa01818e68beeb566be9cb3a8316e05d8f7de1,b8b2056c3371334f0d5e9d772f4e239c2a0f142f6e6a950f02b1300f3cc9fa65,0c8dc1d8160d77e51f9cb0f12a15bff96d9159a7536621aa8703f17dcda7b85e,5b5bc73befc1ee68437036cf808fcbd989e3b2874353ba52a0ecf37df4df7adf,0f72a4b151735a6dd4300629eec73ab5862f12836ec2208a2d7bc061fdf89267
"1","101001","1","0","1110111","111011101"
"1","101002","1","0","1110211","111021101"
"3","301","1","0","1330111","133011101"
"3","301","1","0","1330112","133011201"
"3","302","0","500","1330201","133020101"
"3","302","0","500","1330202","133020201"
"3","303","0","1","1330301","133030101"
"3","303","0","250","1330302","133030201"
"3","303","0","1","1330303","133030301"
"3","303","0","1","1330304","133030401"
"3","303","0","250","1330305","133030501"
"3","303","0","1","1330306","133030601"
"3","304","0","1000","1330401","133040101"
"3","304","0","1000","1330402","133040201"
"3","304","0","1000","1330403","133040301"
"3","304","0","1000","1330404","133040401"
"3","305","1","0","1330511","133051101"
"3","305","1","0","1330512","133051201"
"3","401","0","1","1340101","134010101"
"3","401","0","1","1340102","134010201"
"3","402","1","0","1340211","134021101"
"3","402","1","0","1340212","134021201"
"4","1","0","1","1400101","140010101"
"4","1","0","1","1400102","140010201"
"4","1","0","10","1400103","140010301"
"4","2","0","0","1400201","140020101"
"1","0","0","0","2100001","210000101"
"1","101003","0","0","2110301","211030101"
"2","100001","0","0","2210101","221010101"
"2","100002","0","0","2210201","221020101"
"2","100003","0","0","2210301","221030101"
"2","100005","0","0","2210501","221050101"
"2","100007","0","0","2210701","221070101"
"2","100008","0","0","2210801","221080101"
"2","100009","0","0","2210901","221090101"
"2","100010","0","0","2211001","221100101"
"2","100011","0","0","2211101","221110101"
"2","100012","0","0","2211201","221120101"
"2","100013","0","0","2211301","221130101"
"2","100014","0","0","2211401","221140101"
"2","100016","0","0","2211601","221160101"
"2","100017","0","0","2211701","221170101"
"1","201020","0","0","2220201","222020101"
"1","201040","0","0","2220401","222040101"
"1","201050","0","0","2220501","222050101"
"1","201060","0","0","2220601","222060101"
"1","201070","0","0","2220701","222070101"
"1","201080","0","0","2220801","222080101"
"1","201090","0","0","2220901","222090101"
"1","201100","0","0","2221001","222100101"
"1","201110","0","0","2221101","222110101"
"1","201130","0","0","2221301","222130101"
"1","201140","0","0","2221401","222140101"
"1","201160","0","0","2221601","222160101"
"1","201180","0","0","2221801","222180101"
"1","201190","0","0","2221901","222190101"
"1","201200","0","0","2222001","222200101"
"1","201210","0","0","2222101","222210101"
"1","201220","0","0","2222201","222220101"
"1","201230","0","0","2222301","222230101"
"1","201240","0","0","2222401","222240101"
"1","201250","0","0","2222501","222250101"
"1","201270","0","0","2222701","222270101"
"1","201280","0","0","2222801","222280101"
"1","201290","0","0","2222901","222290101"
"1","201300","0","0","2223001","222300101"
"1","201320","0","0","2223201","222320101"
"1","201340","0","0","2223401","222340101"
"1","201350","0","0","2223501","222350101"
"1","201360","0","0","2223601","222360101"
"1","201370","0","0","2223701","222370101"
"1","201380","0","0","2223801","222380101"
"1","201390","0","0","2223901","222390101"
"1","201400","0","0","2224001","222400101"
"1","201410","0","0","2224101","222410101"
"1","201430","0","0","2224301","222430101"
"1","201440","0","0","2224401","222440101"
"1","201470","0","0","2224701","222470101"
"1","201480","0","0","2224801","222480101"
"1","201490","0","0","2224901","222490101"
"3","301","0","1000","2330101","233010101"
"3","305","0","1000","2330501","233050101"
"3","402","0","0","2340201","234020101"
"3","403","0","0","2340301","234030101"
"4","1","0","0","2400101","240010101"
"1","0","0","0","3100001","310000101"
"1","0","0","0","3100002","310000102"
"1","101001","0","0","3110101","311010101"
"1","101002","0","0","3110201","311020101"
