edcc01a64689f1630c1b63c794abcc05fd518cdf759d3b21bf240b806cf8ca92,9430a80a5a58334d7ee8d678c8cabb6e466c8dbc264d421f9a08a04122446db1,1e25963c9a5bfc10ee8fa4ae9ca67db19f9ea774af02cefde65952b070b7a974,d123bded0504fca06a0daf7ea5a041e08cf5b66135a468a70ae652c7e4a0f1a2,a4a2d8c37ee0dc24a01a03a5916d5974e4360858937d1156448a069ce35dc85f,870f7e3762f618ea95acd2728727bb40950532418fc2ff3e5378da347e493f15,1c7941f1f2f2d0b6dcff974a13590f81f1bba473293d6dc65949971c541d487c,bca4e09c36358a93c4c3bba090f0ea0456eaffa237353ce1a2d4e182bd53442c,eeadd17baf052f4e7f27c171f6bf4e2bf6e74c1e5d96495842753f09992d7569,18a594cfcdff620f6bd2e0edd61ba06748899a1445af06ab78a31f533b628896,377f1bc017fbcc70d8158cfb0bd15f495bd91d86f4313a1111f7d0dfba23ab98,f5fe2b74bc36a2a99065777f9cca11cf25acc35c5b1c5711cf501c293186011e
"100101","1","1","1","13","1","-1","3","1","100","1","-1"
"100201","1","1","1","15","1","-1","4","1","130","1","-1"
"100301","1","1","1","17","1","-1","4","1","160","1","-1"
"100401","1","1","1","19","1","120","4","1","180","1","-1"
"100402","1","1","1","19","1","-1","4","1","180","1","-1"
"100501","1","1","1","21","1","150","4","1","200","1","-1"
"100502","1","1","1","21","1","-1","4","1","200","1","-1"
"100601","1","1","1","23","1","180","5","1","220","1","-1"
"100602","1","1","1","23","1","-1","5","1","220","1","-1"
"100701","1","1","1","25","1","210","5","1","240","1","-1"
"100702","1","1","1","25","1","-1","5","1","240","1","-1"
"100801","1","1","1","27","1","240","5","1","260","1","-1"
"100802","1","1","1","27","1","-1","5","1","260","1","-1"
"100901","1","1","1","29","1","270","5","1","280","1","-1"
"100902","1","1","1","29","1","-1","5","1","280","1","-1"
"101001","1","1","1","32","1","300","6","1","300","1","1"
"101002","1","1","1","32","1","300","6","1","300","1","-1"
"101003","1","1","1","32","1","-1","6","1","300","1","-1"
"101004","1","1","1","32","1","300","5","1","300","1","1"
"101005","1","1","1","32","1","300","5","1","300","1","-1"
"101006","1","1","1","32","1","-1","5","1","300","1","-1"
"101101","1","1","1","32","1","300","6","1","310","1","1"
"101102","1","1","1","32","1","300","6","1","310","1","-1"
"101103","1","1","1","32","1","-1","6","1","310","1","-1"
"101104","1","1","1","32","1","300","5","1","310","1","1"
"101105","1","1","1","32","1","300","5","1","310","1","-1"
"101106","1","1","1","32","1","-1","5","1","310","1","-1"
"101201","1","1","1","32","1","300","6","1","320","1","1"
