fee81cbdd65081969481dacf692a5d24b2193e6d6b0ef1693dfe41314e02bdf7,92cd1329ea8bde985859778e607491583070d482a8308594b4871113df9a9b29,eff1a4e1aa7a06803a602df8eb1f12227584d432232b5899a165ca046f651e23,08f6043146b6b03cf96c5d431f5e79b6ce0839b51710f1c26edeeadd89cdab50,ab2d72931f0a0c92affc02850b883401f263a7e216e25bb9ec39a35b7240ab45,6d43cbfe7bf2b44cb78c8b2b14cda37a69c00df800f7511fad0f40af9cfc6da9,b429e76dc589405c8d7aba5f9781b96ca817f930a0cf00ff2d06813eddfe3f01,1b8673b09a24157ec517b83b8a5cc5e523c65f9a7e360e4e9bfe13b646f83164
"10001101","10001","bgm_M32","bgm_M32","10001","タルグム地方","10001101","10001"
"10002101","10002","bgm_M98","bgm_M98_2","10002","マシーナ地方","10002101","10002"
"10003101","10003","bgm_M106","bgm_M106","10003","ランドソル郊外","10003101","10003"
"10004101","10004","bgm_M112","bgm_M112","10004","タパスビーチ周辺","10004101","10004"
"10005101","10005","bgm_M121","bgm_M121","10005","イルシオンの孤島","10005101","10005"
"10006101","10006","bgm_M128","bgm_M128","10006","王都ランドソル","10006101","10006"
"10007101","10007","bgm_M135","bgm_M135","10007","ランドソル近郊","10007101","10007"
"10008101","10008","bgm_M121","bgm_M121","10008","ランドソル近郊","10008101","10008"
"10009101","10009","bgm_M171","bgm_M171","10009","クリスマス","10009101","10009"
"10010101","10010","bgm_M121","bgm_M121","10010","神殿への参道","10010101","10010"
"10011101","10011","bgm_M189","bgm_M189","10011","バレンタイン","10011101","10011"
"10012101","10012","bgm_M206","bgm_M206","10012","王都ランドソル","10012101","10012"
"10013101","10013","bgm_M215","bgm_M215","10013","マナリア","10013101","10013"
"10014101","10014","bgm_M32","bgm_M32","10014","タルグム地方","10014101","10014"
