38e906eb9e95b7eb8cca326202a47c31b551ef8f9d962a49ea7a75915d4e9ef2,8f5720755e610114bcf3aa0be0d177ba85a0b8ec67dd12420b5ede7bdd1a8a98,0cc55b218265cb30b143ec8dfb0492a8c52336e4757de7e9a370bbac9e8445ba,18096d29b3942d3dced5519de6442fe3a2e60444c0f0f9926bc2f42757e07864,e3220a402c5d8c19552a6897912108c8e545ad16f6e182d889910fc2af11a005,8b672aa16eadb9df928b564ab4316168341b493dc1a3a39176a63ec6c5f9a498,003440a64498c031be2877e37cfcef26a2186bba9bf08b017d6f5c746afeac90
"10001","1000101","vo_minigame_1004","2","1","vo_minigame_1004_top_1_000","ふっふっふ、これでカヤぴぃとボスを見返してやるです！"
"10002","1000201","vo_minigame_1004","2","1","vo_minigame_1004_top_1_003","しりとりでの戦い、お兄さんにも手伝ってもらうです"
"10003","1000301","vo_minigame_1004","1","2","vo_minigame_1004_top_1_004","どんなケンカも売られた以上は買うのが喧嘩屋だ！やってやるぜ！"
"10004","1000401","vo_minigame_1004","1","2","vo_minigame_1004_top_1_005","石板でしりとりか……イノリのヤツおもしろいこと考えるな"
"10005","1000501","vo_minigame_1004","1","2","vo_minigame_1004_top_1_006","しりとりだろうがなんだろうが返り討ちにしてやるぜ"
"10006","1000601","vo_minigame_1004","2","3","vo_minigame_1004_top_1_007","ぐもも……（オデ、ハラヘッタ）"
"10007","1000701","vo_minigame_1004","2","3","vo_minigame_1004_top_1_008","ぐもももも（シリトリ タノシイ）"
"10008","1000801","vo_minigame_1004","2","3","vo_minigame_1004_top_1_009","ぐもももも！（イノリ イイヤツ）"
"10009","1000901","vo_minigame_1004","2","1","vo_minigame_1004_top_2_010","カヤぴぃ相手でも手加減しないです"
"10009","1000902","vo_minigame_1004","1","2","vo_minigame_1004_top_2_011","上等だ！やるからには本気で来いよな"
"10010","1001001","vo_minigame_1004","2","1","vo_minigame_1004_top_2_012","カヤぴぃ、謝るなら今のうちです"
"10010","1001002","vo_minigame_1004","1","2","vo_minigame_1004_top_2_013","イノリこそ泣きを入れるなら今のうちだぜ？"
"10011","1001101","vo_minigame_1004","2","1","vo_minigame_1004_top_2_014","カヤぴぃ、これからは知性の時代ですよ？"
"10011","1001102","vo_minigame_1004","1","2","vo_minigame_1004_top_2_015","待て！オレがバカみたいにいうな！！"
"10012","1001201","vo_minigame_1004","1","1","vo_minigame_1004_top_2_016","さあ、あたしたちの力を見せてやるです"
"10012","1001202","vo_minigame_1004","2","3","vo_minigame_1004_top_2_017","ぐも！（マカセロ！）"
"10013","1001301","vo_minigame_1004","1","1","vo_minigame_1004_top_2_018","よしよし、いいですようまくできたらチョコをあげるです！"
"10013","1001302","vo_minigame_1004","2","3","vo_minigame_1004_top_2_019","ぐも！（オデ チョコスキ）"
"10014","1001401","vo_minigame_1004","1","2","vo_minigame_1004_top_2_023","なあイノリ……もしかして当初の目的見失ってないよな？"
"10014","1001402","vo_minigame_1004","2","1","vo_minigame_1004_top_2_024","もちろん覚えてるですカヤぴぃを倒し我々の知能を証明するです"
"10015","1001501","vo_minigame_1004","1","2","vo_minigame_1004_top_2_025","いくらイノリ相手でも勝ちを譲る気はないからな！"
"10015","1001502","vo_minigame_1004","2","1","vo_minigame_1004_top_2_026","望むところです手加減はなしですよ"
"10016","1001601","vo_minigame_1004","1","2","vo_minigame_1004_top_2_027","へっ、なかなかやるじゃねえか"
"10016","1001602","vo_minigame_1004","2","1","vo_minigame_1004_top_2_028","カヤぴぃも思ったよりやるですね！"
"10017","1001701","vo_minigame_1004","1","2","vo_minigame_1004_top_2_029","お～い、ドラゴンもどき？"
"10017","1001702","vo_minigame_1004","2","3","vo_minigame_1004_top_2_030","ぐもっ！？（ヒッ！）"
"10018","1001801","vo_minigame_1004","1","2","vo_minigame_1004_top_2_031","いやあ、あんときは悪かったなはっはっは"
"10018","1001802","vo_minigame_1004","2","3","vo_minigame_1004_top_2_032","ぐももも……（かやピィ コワカッタ）"
"10019","1001901","vo_minigame_1004","1","2","vo_minigame_1004_top_2_033","お前ってさ……ほんとマヌケな顔してるよな"
"10019","1001902","vo_minigame_1004","2","3","vo_minigame_1004_top_2_034","ぐも……（オマエガ イウカ）"
