40ccd9302aa0b24f155880eab166af364004b6ffe9f59b4195172ed4229099b6,68abca5400cc136377d57ce84632e84ae4f029de449d7b8f2c7e5966db355ac0,bf9e14a66799511025ba1029badaddcd7da01b2f896585acf580fc2c799c2196,f8c2a2aa7fe37d60b7383b65d79fb6a9c44fb078f7bcae39b4c41f787d98dc95,a2f63b24c1ce9e7ffe34815d2a571d3e38a892a51aeef1c60c9b1bab8fe7f41e
"8","100","30109001","1","91002"
"2","10","30109001","2","20002"
"8","100","30109002","3","91002"
"12","40000","30109002","4","94002"
"8","300","30109003","5","91002"
"8","500","30109004","6","91002"
"8","500","30109005","7","91002"
"12","1000000","30109005","8","94002"
"8","500","30109006","9","91002"
"12","500000","30109006","10","94002"
"8","600","30110001","11","91002"
"12","200000","30110006","12","94002"
