de85a84fa7ca326ba6ba5844a6548d39e8e6cff93c9616b877102c084af2b50e,21668480b5a6d3f393c2edc5f172d9f8b448d7987edd41947c89bfef83b57613,38cde5035316882bc721f3523e92a1d8b803ad5c6167f24117e6e1120a59a9bc,4579a3d8bc1c0f157e1a792facb3783f7cb184ecb08366334af89e07b8841432,4832f65870639fa67766d3364ee0d950e5832c779397057fd5e82787ea33f2de
"1","3","0","803100201","3001"
"2","3","0","803100202","3001"
"3","3","0","803100203","3001"
"1","3","0","803100204","3002"
"2","3","0","803100205","3002"
"3","3","0","803100206","3002"
"1","3","0","803100207","3003"
"2","3","0","803100208","3003"
"3","3","0","803100209","3003"
"1","3","0","803100210","3004"
"2","3","0","803100211","3004"
"3","3","0","803100212","3004"
"1","3","0","803100213","3005"
"2","3","0","803100214","3005"
"3","3","0","803100215","3005"
"1","3","0","803100216","3006"
"2","3","0","803100217","3006"
"3","3","0","803100218","3006"
"1","3","0","803100219","3007"
"2","3","0","803100220","3007"
"3","3","0","803100221","3007"
