309d81b2e1543bca69a61069ef7bafecd7c940e45e717132cc62799a54bd62f5,c729abde301986e5c88ef84fa53ff65e6c66643a9a53cc548c6d2c1a15872296,2c84ddb8acfe24f89615b619270ec3485d3634827a45fc7049ab3fd8fc942c90,12ecb0cf14a79ffa1ca895c6912784e549e4645e2aaf05c6998d2aebf86c2c50,37c28575148e29740c15534cc02a92b367b571146d6a859e64be9b512edde0de,787594f43d9b1dddc3ec1de5a949b68e428b218a2cec945c748aed76c5e1e056,b726be59122811d2e209cf693c4a116c6f44ce484b370f5cc5a50c6f793317e6,ad3e95c5f2e380121aeefa06d5fa37fb348bed8a6cee85b06b61183d9fb60dcd,4a0b7944545a6e533e530c89b6ccf9d075b88181c7e2d45d22371823821345ff,891435904cc91e1b6ca9ee35494bee7ff7a2898a6523825a05d849502ec71a67,a4972455e4b7d4e33dc17b199f58733ab42195ea7fa887e8fdcaa1964b981e87
"100","1","drama_idle","-224","1","1","1","1001","129811","1.65","167"
"100","0","drama_idle","-224","1","1","1","1002","129911","1.65","-49"
"1","","","","3","1","129811","1003","drama_idle","0.2",""
"0","0","","1","3","1","129911","1004","drama_talk_arm_crossed_in","0.2","drama_talk_arm_crossed_loop"
"0","","","","21","1","vo_minigame_1013","1005","vo_minigame_1013_top_talk_1_000","","0"
"6","0","0","0","11","1","129911","1006","魔物がいくらでも\n湧いてくるのなら、\n戦う相手に困りません\nむしろ好都合ですわね","0","1"
"","","","","91","1","0","1007","","",""
"1","","","","3","1","129911","1008","drama_idle_arm_crossed","0.2",""
"0","0","","1","3","1","129811","1009","drama_talk_doya_in_smile","0.2","drama_talk_doya_loop_smile"
"0","","","","21","1","vo_minigame_1013","1010","vo_minigame_1013_top_talk_1_001","","0"
"6","0","0.3","0","11","1","129811","1011","ははっ…\nそんな扱いになると\n魔物も少し気の毒に\n思えちまうな～","0","1"
"","","","","91","1","0","1012","","",""
"1","","","","3","1","129811","1013","drama_idle_arm_crossed","0.2",""
"0","0","","1","3","1","129911","1014","drama_talk_smile_in","0.2","drama_talk_smile_loop"
"0","","","","21","1","vo_minigame_1013","1015","vo_minigame_1013_top_talk_1_002","","0"
