f427b6815d639b30e78f4737d0471108277c87a0f0ad4988c345471db3bdcf99,dfae278525ecbc48d329545b29927dbe635ec72fdd538fb6f130ff5f8bd1edf7,c0f0f4ec20c1141894d52aae364b1042c67a9bea4bc87945bed98545fdd4489d,eeb5714e010377df35b9279a54e2a2f84283addff01b90a4d461d414597216f4,47637ebb237310002fdcf5917a7280e05fe62ce70057f3988a291d1c6d663573,2ddc70e8883d3164233096981ea05e2a34d248767f46403280e67e998a7f8741
"10","500","1","10","1","2"
"20","500","1","10","1","3"
"30","500","1","10","1","4"
"40","500","1","10","1","5"
"50","500","1","10","1","6"
"60","500","1","10","1","7"
"70","500","1","10","1","8"
"80","500","1","10","1","9"
"90","500","1","10","1","10"
"105","500","1","15","1","11"
"120","500","1","15","1","12"
"135","500","1","15","1","13"
"150","500","1","15","1","14"
"165","500","1","15","1","15"
"180","500","1","15","1","16"
"195","500","1","15","1","17"
"210","500","1","15","1","18"
"225","500","1","15","1","19"
"240","500","1","15","1","20"
"265","500","1","25","1","21"
"290","500","1","25","1","22"
"315","500","1","25","1","23"
"340","500","1","25","1","24"
"365","500","1","25","1","25"
"390","500","1","25","1","26"
"415","500","1","25","1","27"
"440","500","1","25","1","28"
"465","500","1","25","1","29"
"490","500","1","25","1","30"
"530","500","1","40","2","31"
"570","500","1","40","2","32"
"610","500","1","40","2","33"
"650","500","1","40","2","34"
"690","500","1","40","2","35"
"730","500","1","40","2","36"
"770","500","1","40","2","37"
"810","500","1","40","2","38"
"850","500","1","40","2","39"
"890","500","1","40","2","40"
"940","500","1","50","2","41"
"990","500","1","50","2","42"
"1040","500","1","50","2","43"
"1090","500","1","50","2","44"
"1140","500","1","50","2","45"
"1190","500","1","50","2","46"
"1240","500","1","50","2","47"
"1290","500","1","50","2","48"
"1340","500","1","50","2","49"
"1390","500","1","50","2","50"
"1450","500","1","60","3","51"
"1510","500","1","60","3","52"
"1570","500","1","60","3","53"
"1630","500","1","60","3","54"
"1690","500","1","60","3","55"
"1750","500","1","60","3","56"
"1810","500","1","60","3","57"
"1870","500","1","60","3","58"
"1930","500","1","60","3","59"
"1990","500","1","60","3","60"
"2065","600","1","75","3","61"
"2140","600","1","75","3","62"
"2215","600","1","75","3","63"
"2290","600","1","75","3","64"
"2365","600","1","75","3","65"
"2440","600","1","75","3","66"
"2515","600","1","75","3","67"
"2590","600","1","75","3","68"
"2665","600","1","75","3","69"
"2740","600","1","75","3","70"
"2840","600","1","100","4","71"
"2940","600","1","100","4","72"
"3040","600","1","100","4","73"
"3140","600","1","100","4","74"
"3240","600","1","100","4","75"
"3340","600","1","100","4","76"
"3440","600","1","100","4","77"
"3540","600","1","100","4","78"
"3640","600","1","100","4","79"
"3740","600","1","100","4","80"
"3865","600","1","125","4","81"
"3990","600","1","125","4","82"
"4115","600","1","125","4","83"
"4240","600","1","125","4","84"
"4365","600","1","125","4","85"
"4490","600","1","125","4","86"
"4615","600","1","125","4","87"
"4740","600","1","125","4","88"
"4865","600","1","125","4","89"
"4990","600","1","125","4","90"
"5140","600","1","150","5","91"
"5290","600","1","150","5","92"
"5440","600","1","150","5","93"
"5590","600","1","150","5","94"
"5740","600","1","150","5","95"
"5890","600","1","150","5","96"
"6040","600","1","150","5","97"
"6190","600","1","150","5","98"
"6340","600","1","150","5","99"
"6490","600","1","150","5","100"
"6665","600","1","175","5","101"
"6840","600","1","175","5","102"
"7015","600","1","175","5","103"
"7190","600","1","175","5","104"
"7365","600","1","175","5","105"
"7540","600","1","175","5","106"
"7715","600","1","175","5","107"
"7890","600","1","175","5","108"
"8065","600","1","175","5","109"
"8240","600","1","175","5","110"
"8440","600","1","200","6","111"
"8640","600","1","200","6","112"
"8840","600","1","200","6","113"
"9040","600","1","200","6","114"
"9240","600","1","200","6","115"
"9440","600","1","200","6","116"
"9640","600","1","200","6","117"
"9840","600","1","200","6","118"
"10040","600","1","200","6","119"
"10240","600","1","200","6","120"
"10465","600","1","225","6","121"
"10690","600","1","225","6","122"
"10915","600","1","225","6","123"
"11140","600","1","225","6","124"
"11365","600","1","225","6","125"
"11590","600","1","225","6","126"
"11815","600","1","225","6","127"
"12040","600","1","225","6","128"
"12265","600","1","225","6","129"
"12490","600","1","225","6","130"
"12740","600","1","250","7","131"
"12990","600","1","250","7","132"
"13240","600","1","250","7","133"
"13490","600","1","250","7","134"
"13740","600","1","250","7","135"
"13990","600","1","250","7","136"
"14240","600","1","250","7","137"
"14490","600","1","250","7","138"
"14740","600","1","250","7","139"
"14990","600","1","250","7","140"
"15240","600","1","250","8","141"
"15490","600","1","250","8","142"
"15740","600","1","250","8","143"
"15990","600","1","250","8","144"
"16240","600","1","250","8","145"
"16490","600","1","250","8","146"
"16740","600","1","250","8","147"
"16990","600","1","250","8","148"
"17240","600","1","250","8","149"
"17490","600","1","250","8","150"
"17740","600","1","250","9","151"
"17990","600","1","250","9","152"
"18240","600","1","250","9","153"
