6edd5cf0657720897f6efe5276f38abf619ec623bfcbf843db9463ef1b122e71,a6da362cf2c119292a619f4567c9fa59fa7be7f2ad520101dc49ac69f2b86a84,64a6791c22b427d1626bb1ea7b9e368f7fadf35158ed9ba9a1eeec22fb337c77,008b9db6fb4f54d897d4926623c67f4de4a462d4e9587dc9c37256234979a5fe,15f25c1099298398cc4a89426d9fa663875174aeb602bb716933821b067e7120,6b1021b7d1eb32bac0c1c5b80b6c9942bb75d956398496c6274b6d0551df3c71,eeefcfcf3c6ae3a4887cb1269f5e6cfc0152384784b55bf59635a86b097e2ee5,33a5619c7494416a305ac1aec8cbe53da7f08386468632687aa37baa58af65ef,b14d2554691b252aa8a38416929742c35c39a9374f53344740154a552f6ca298,988d576723acf84b564159722c60bb3ff8ce02eed5ba17288671523a68e6394d,74ac88dc932764f4134e9808373d7d135d5e2adb616bab5d4221209fd82d5334,8c25bb8fc52ef60fcc104fe678c0b49f89f48fa2595470bccb619d64601afd93,5cfb4f8d8046a4a605e0fcde82bf0b017316312951075bf9525efa96d918897e,1988acaffa1d5125078afa6204dfab2833e711dc11f2fda937b77acf353f58f5,351e0d9c866a6877a81e00259cca5a2c46cf51c42661e3f3fcedde860b9a7237,bd96df3b85d6f242390f6d84ee00ef23e9db39d01d23cb574873ef08bde27c1a,b4769079546f126cf08b03fdf6f5cd774ea20907093ca10450c4341f1e5ce343,984469bc8f7ee9c8350719560219509cebeb67febfd4fab72ccf55c38376172b,cbb9a026053b7ceda2570622c934da5127030bc4fc1109d25e64343e690f7d69
"31001","41001","2","0","20000000","0","0","100101","12","120","0","0","94000","1","0","0","0","0","1100101"
"31002","41002","2","0","20000000","0","0","100201","12","120","0","0","94000","1","0","0","0","0","1100201"
"31003","41003","2","0","20000000","0","0","100301","12","120","0","0","94000","1","0","0","0","0","1100301"
"31004","41004","2","0","20000000","0","0","100401","12","120","0","0","94000","1","0","0","0","0","1100401"
"31005","41005","2","0","20000000","0","0","100501","12","120","0","0","94000","1","0","0","0","0","1100501"
"31006","41006","2","0","20000000","0","0","100601","12","120","0","0","94000","1","0","0","0","0","1100601"
"31007","41007","2","0","20000000","0","0","100701","12","120","0","0","94000","1","0","0","0","0","1100701"
"31008","41008","2","0","20000000","0","0","100801","12","120","0","0","94000","1","0","0","0","0","1100801"
"31009","41009","2","0","20000000","0","0","100901","12","120","0","0","94000","1","0","0","0","0","1100901"
"31010","41010","2","0","20000000","0","0","101001","12","120","0","0","94000","1","0","0","0","0","1101001"
"31011","41011","2","0","20000000","0","0","101101","12","120","0","0","94000","1","0","0","0","0","1101101"
"31012","41012","2","0","20000000","0","0","101201","12","120","0","0","94000","1","0","0","0","0","1101201"
"31013","41013","2","0","20000000","0","0","101301","12","120","0","0","94000","1","0","0","0","0","1101301"
"31014","41014","2","0","20000000","0","0","101401","12","120","0","0","94000","1","0","0","0","0","1101401"
"31015","41015","2","0","20000000","0","0","101501","12","120","0","0","94000","1","0","0","0","0","1101501"
"31016","41016","2","0","20000000","0","0","101601","12","120","0","0","94000","1","0","0","0","0","1101601"
"31017","41017","2","0","20000000","0","0","101701","12","120","0","0","94000","1","0","0","0","0","1101701"
"31018","41018","2","0","20000000","0","0","101801","12","120","0","0","94000","1","0","0","0","0","1101801"
"31020","41020","2","0","20000000","0","0","102001","12","120","0","0","94000","1","0","0","0","0","1102001"
"31021","41021","2","0","20000000","0","0","102101","12","120","0","0","94000","1","0","0","0","0","1102101"
"31022","41022","2","0","20000000","0","0","102201","12","120","0","0","94000","1","0","0","0","0","1102201"
"31023","41023","2","0","20000000","0","0","102301","12","120","0","0","94000","1","0","0","0","0","1102301"
"31025","41025","2","0","20000000","0","0","102501","12","120","0","0","94000","1","0","0","0","0","1102501"
"31026","41026","2","0","20000000","0","0","102601","12","120","0","0","94000","1","0","0","0","0","1102601"
"31027","41027","2","0","20000000","0","0","102701","12","120","0","0","94000","1","0","0","0","0","1102701"
"31028","41028","2","0","20000000","0","0","102801","12","120","0","0","94000","1","0","0","0","0","1102801"
"31029","41029","2","0","20000000","0","0","102901","12","120","0","0","94000","1","0","0","0","0","1102901"
