27753e76b85c859bfae86c2c5579e7771844461d2be1e2fd6f59ab2b3d238d6d,80db138bb4113d7cc33a5406d0b85e7c6953dd2eee4efe5af3ba6628270673a9,2b82803253cfcb2d5deca2ca69c29d53a1209794da45bbef4ddd99bc1c595e2e,e3ad83585f8d6f2ecdf402b86084f81458764f4c97f4aa559b3765ec0e2c9de1,c7f243f9f3034a006eec79a8d41797796ea6462df1a9fec5d11b37c9d484c263,6950d81d9385d8e51b6a673beb0c79cec9becf59205bc45b60f8fe9c960eb56c,03c9c2277d80f680a9b6505aeac1db3976cfdf0ce86070341363c46459674218,7be1c2280831b936c92822761df8213b0ab32e9cfe912b771ad72ee105e90f32,0529fc33666abc736e3fcb8f2a3addd49c2ff1c5d6ce4fdc284b69c324928114,3a7c84738ff6f46dc14f9a3215808272ea7a2192fd49c08cc65205d6db8c4b02,76dd5bbdce3a22fdaf739bd64aaf6f773d17fd78c1c2c996e1254f4bcf50f01f
"101","","se_10053800","","se_fpc_water_random","","","","","23","11010001"
"101","-180","1","23","<unit_id>","cmn_swm_tread","1.75","-850","0","1","11010002"
"101","-180","1","22","1","cmn_swm_tread_pink","1.75","-850","0","5","11010003"
"101","1","3","-850","3","","1","-180","","31","11010004"
"101","","0","","0","","","","","91","11010005"
"101","","<unit_id>","-180","850","","","10","","2","11010006"
"101","","1","-180","850","","","10","","2","11010007"
"101","","3","-180","850","","","10","","33","11010008"
"102","","se_10053800","","se_fpc_water_random","","","","","23","11020001"
"102","-180","1","23","<unit_id>","cmn_swm_tread","1.75","-850","0","1","11020002"
"102","-180","1","22","1","cmn_swm_tread_blue","1.75","-850","0","5","11020003"
"102","1","3","-850","3","","1","-180","","31","11020004"
"102","","0","","0","","","","","91","11020005"
"102","","<unit_id>","-180","850","","","10","","2","11020006"
"102","","1","-180","850","","","10","","2","11020007"
"102","","3","-180","850","","","10","","33","11020008"
"103","","se_10053800","","se_fpc_water_random","","","","","23","11030001"
"103","-180","1","23","<unit_id>","cmn_swm_tread","1.75","-850","0","1","11030002"
"103","-180","1","22","1","cmn_swm_tread","1.75","-850","0","5","11030003"
"103","1","3","-850","3","","1","-180","","31","11030004"
"103","","0","","0","","","","","91","11030005"
"103","","<unit_id>","-180","850","","","10","","2","11030006"
"103","","1","-180","850","","","10","","2","11030007"
"103","","3","-180","850","","","10","","33","11030008"
"151","","se_10053800","","se_fpc_water_random","","","","","23","11510001"
"151","-180","1","22","<unit_id>","cmn_swm_flutterKick","1.75","-850","0","1","11510002"
"151","1","1","-850","1","","1","-180","","31","11510003"
"151","","0","","0","","","","","91","11510004"
"151","","<unit_id>","-180","1050","","","10","","2","11510005"
"151","","1","-180","1050","","","10","","33","11510006"
"201","","se_10053800","","se_fpc_water_random","","","","","23","12010001"
"201","-180","1","22","<unit_id>","cmn_swm_breastStroke","1.75","-850","0","1","12010002"
"201","1","2","-850","2","","1","-180","","31","12010003"
"201","","0","","0","","","","","91","12010004"
"201","","<unit_id>","-180","850","","","10","","2","12010005"
"201","","2","-180","850","","","10","","33","12010006"
"251","","se_10053800","","se_fpc_water_random","","","","","23","12510001"
"251","-180","1","22","<unit_id>","cmn_swm_diving","1.75","-850","0","1","12510002"
"251","1","9","-850","9","","1","-180","","31","12510003"
"251","","0","","0","","","","","91","12510004"
"251","","<unit_id>","-180","850","","","10","","2","12510005"
"251","","9","-180","850","","","10","","33","12510006"
"301","","se_10053800","","se_fpc_water_random","","","","","23","13010001"
"301","-180","1","23","<unit_id>","cmn_swm_flutterKick_floatRing","1.75","-850","0","1","13010002"
"301","-180","1","22","1","cmn_swm_flutterKick_floatRing_pink","1.75","-850","0","5","13010003"
"301","1","1","-850","1","","1","-180","","31","13010004"
"301","","0","","0","","","","","91","13010005"
"301","","<unit_id>","-180","1050","","","10","","2","13010006"
"301","","1","-180","1050","","","10","","2","13010007"
"301","","1","-180","1050","","","10","","33","13010008"
"302","","se_10053800","","se_fpc_water_random","","","","","23","13020001"
"302","-180","1","23","<unit_id>","cmn_swm_flutterKick_floatRing","1.75","-850","0","1","13020002"
"302","-180","1","22","1","cmn_swm_flutterKick_floatRing_blue","1.75","-850","0","5","13020003"
"302","1","1","-850","1","","1","-180","","31","13020004"
"302","","0","","0","","","","","91","13020005"
"302","","<unit_id>","-180","1050","","","10","","2","13020006"
"302","","1","-180","1050","","","10","","2","13020007"
"302","","1","-180","1050","","","10","","33","13020008"
"303","","se_10053800","","se_fpc_water_random","","","","","23","13030001"
"303","-180","1","23","<unit_id>","cmn_swm_flutterKick_floatRing","1.75","-850","0","1","13030002"
"303","-180","1","22","1","cmn_swm_flutterKick_floatRing","1.75","-850","0","5","13030003"
"303","1","1","-850","1","","1","-180","","31","13030004"
"303","","0","","0","","","","","91","13030005"
"303","","<unit_id>","-180","1050","","","10","","2","13030006"
"303","","1","-180","1050","","","10","","2","13030007"
"303","","1","-180","1050","","","10","","33","13030008"
"351","","se_10053800","","se_fpc_water_random","","","","","23","13510001"
