84c2ccf009e2fb39366ae7a1cb44cb8f6a33c216013d3534e699612c7a836d56,a8e325a8ffd2a5dca186e6538f8e0bb98483005a309bd91a430bf4dfde32d229,561bbe2554d8a34f7bd394fd82e667d0a31c015c934d0c00650778658bb74431,ae5567b068a3659841e70e9c6c8e27a29577f71aba9287af18c5d8e138f2d694,a6cc533711c34b579ff4b217a231225e2c89b583b41ef08a4b9f132f4ff9d4ef,ca66143a3b36c0816ac668567d7bc9bab05acfb4ecb91c1c02c9c5057e8550ea,876dd8385545be65afcf57da2ce7dbc004be4cbed433818579e9b34f9f1758fb,b710dd93005dd67489904b0a62162613c42bc5e42d06cbf2f6235e541fef6d3e,69d7e22e0225208daaccca149776237ea944fdff951ec4cb987eb8979173c4aa,7e7e2874e970e5866367f8f8c13b537dd93670447677b6d5bf9eacda928142d5,ef683e0c3de419bce648a6e565f4f90639193157aaad1fa4d97e77d1f76569c4
"2","10001","0.65","empty","-622","5","0","2","10001001","50","0"
"1","10001","0.65","empty","-622","5","0","1","10001002","51","0"
"1","10001","0","","0","6","0","2","10001003","1","1"
"1","10001","0","","0","6","0","1","10001004","1","1"
"10001","10001","0","","1","31","","10001","10001005","0","0"
"0","10001","","","","91","","0","10001006","",""
"1","10001","0.2","","1","6","0","2","10001007","1","1"
"1","10001","0.2","","1","6","0","1","10001008","1","1"
"0","10001","","","14","2","0","2","10001009","-472","0.3"
"0","10001","","","14","2","0","1","10001010","-472","0.3"
"limitedMission_congratulations","10001","0","","","3","","2","10001011","0",""
"limitedMission_congratulations","10001","0","","","3","","1","10001012","0",""
"1","10001","","","","32","","10001","10001013","",""
"0","10001","","","","93","","3","10001014","",""
"1","10001","0.2","","0","6","0","2","10001015","1","1"
"1","10001","0.2","","0","6","0","1","10001016","1","1"
"0","10001","","","","93","","0.2","10001017","",""
