c428d63216aaa96fbd410ec9ba91dd745c14f790f4c511ed9441fd10cf317974,330eca121c8d581c7dfc7b9a82ad3efaa391df538ffcbab3904638e8a15dd982,c81b223856c16247f073fae64f30aadeb5bc59ceac3c47fdd13220203fc04f16,65305d89ed7dbc44154c13a1e5687399c28c680eaaca543d69be92c8bcadd704,47fef825c3556950cc269fca67ff32413774b62bcf5d3aada5017ce22c126e93,857209daee9aa19180e07e7506a3411d10dff71d0aa2a0bd0836dd2536511327,589504741112be9be6151bde1726514cd6e220258346fe3d60d371de8aa2e876,1f89a9d9c3a882a94d0cf1f93cb2fd4823585ee76145b2d96031bd959ca1de07,7b72cc1c697c8454fa823a0ffc31040c0d60d63d576941340cce59d640d72779,405215eafd5655b6d21cfb237f20e3be62490ba92c8fafefeadcb49f140dbefc,905d1dca608ec5037164a30209b526ce23feeae950788522a31dbbe2d5c83a38
"1","5","10011","0","0","1","0","1","1","1","1000"
"2","2","10012","0","0","2","1","2","2","0","2000"
"3","5","10013","0","0","3","1","2","3","0","2000"
"4","8","10014","0","0","4","1","2","4","0","2000"
"5","2","10015","0","0","5","2","3","5","0","3000"
"6","5","10016","0","0","6","3","3","6","0","3000"
"7","8","10017","0","0","7","4","3","7","0","3000"
"8","2","10018","0","0","8","5","4","8","0","4000"
"9","5","10019","0","0","9","6","4","9","0","4000"
"10","8","10020","0","0","10","7","4","10","0","4000"
"11","5","10021","10","9","11","8","5","11","1","10000"
"12","2","10022","0","0","12","11","6","12","0","8000"
"13","5","10023","0","0","13","11","6","13","0","8000"
"14","8","10024","0","0","14","11","6","14","0","8000"
"15","2","10025","0","0","15","12","7","15","0","10000"
"16","5","10026","0","0","16","13","7","16","0","10000"
"17","8","10027","0","0","17","14","7","17","0","10000"
"18","2","10028","0","0","18","15","8","18","0","12000"
"19","5","10029","0","0","19","16","8","19","0","12000"
"20","8","10028","0","0","20","17","8","20","0","12000"
"21","5","10030","20","19","21","18","9","21","1","20000"
"22","2","10012","0","0","22","21","10","22","0","10000"
"23","5","10013","0","0","23","21","10","23","0","10000"
"24","8","10014","0","0","24","21","10","24","0","10000"
"25","2","10015","0","0","25","22","11","25","0","12000"
"26","5","10016","0","0","26","23","11","26","0","12000"
"27","8","10017","0","0","27","24","11","27","0","12000"
"28","2","10018","0","0","28","25","12","28","0","14000"
"29","5","10019","0","0","29","26","12","29","0","14000"
"30","8","10020","0","0","30","27","12","30","0","14000"
"31","5","10032","30","29","31","28","13","31","1","20000"
"32","2","10022","0","0","32","31","14","32","0","12000"
"33","5","10023","0","0","33","31","14","33","0","12000"
"34","8","10024","0","0","34","31","14","34","0","12000"
"35","2","10025","0","0","35","32","15","35","0","14000"
"36","5","10026","0","0","36","33","15","36","0","14000"
"37","8","10027","0","0","37","34","15","37","0","14000"
"38","2","10028","0","0","38","35","16","38","0","16000"
"39","5","10029","0","0","39","36","16","39","0","16000"
"40","8","10028","0","0","40","37","16","40","0","16000"
"41","5","10033","40","39","41","38","17","41","1","30000"
"42","2","10012","0","0","42","41","18","42","0","17000"
"43","5","10013","0","0","43","41","18","43","0","17000"
"44","8","10014","0","0","44","41","18","44","0","17000"
"45","2","10015","0","0","45","42","19","45","0","20000"
"46","5","10016","0","0","46","43","19","46","0","20000"
"47","8","10017","0","0","47","44","19","47","0","20000"
"48","2","10018","0","0","48","45","20","48","0","23000"
"49","5","10019","0","0","49","46","20","49","0","23000"
"50","8","10020","0","0","50","47","20","50","0","23000"
"51","5","10011","50","49","51","48","21","51","1","50000"
"52","2","10022","0","0","52","51","22","52","0","23000"
"53","5","10023","0","0","53","51","22","53","0","23000"
"54","8","10024","0","0","54","51","22","54","0","23000"
"55","2","10025","0","0","55","52","23","55","0","27000"
"56","5","10026","0","0","56","53","23","56","0","27000"
"57","8","10027","0","0","57","54","23","57","0","27000"
"58","2","10028","0","0","58","55","24","58","0","30000"
"59","5","10029","0","0","59","56","24","59","0","30000"
"60","8","10028","0","0","60","57","24","60","0","30000"
"61","5","10034","60","59","61","58","25","61","1","70000"
"62","2","10012","0","0","62","61","26","62","0","31000"
"63","5","10013","0","0","63","61","26","63","0","31000"
"64","8","10014","0","0","64","61","26","64","0","31000"
"65","2","10015","0","0","65","62","27","65","0","35000"
"66","5","10016","0","0","66","63","27","66","0","35000"
"67","8","10017","0","0","67","64","27","67","0","35000"
"68","2","10018","0","0","68","65","28","68","0","39000"
"69","5","10019","0","0","69","66","28","69","0","39000"
"70","8","10020","0","0","70","67","28","70","0","39000"
"71","5","10035","70","69","71","68","29","71","1","100000"
"72","2","10022","0","0","72","71","30","72","0","39000"
"73","5","10023","0","0","73","71","30","73","0","39000"
"74","8","10024","0","0","74","71","30","74","0","39000"
"75","2","10025","0","0","75","72","31","75","0","43000"
"76","5","10026","0","0","76","73","31","76","0","43000"
"77","8","10027","0","0","77","74","31","77","0","43000"
"78","2","10028","0","0","78","75","32","78","0","47000"
"79","5","10029","0","0","79","76","32","79","0","47000"
"80","8","10028","0","0","80","77","32","80","0","47000"
"81","5","10021","80","79","81","78","33","81","1","130000"
