a03527e9e69f38c432247057ca6cbba001e9a2428c3a8ea81184754699dbac0f,ad430292e462580c46c3079946a3cfd0aa63b37dc07df4f57c8bd161c98bf687,24e3d9caa4c6608377eff5c65c33dfb1ce39ab004c6798c08e821b8af1ac0b84,c9ebe5a8b3e7b4fd1c6be99d5168c91270a2fae156348a05504fafc4eed236c0,7a5e90b0bb0978b8e05b00760a950806d2834658b515d38c3c449a04f1353ef4,a6f26a29ca5666e330dc949ce015c859ce6578e6234d33a6738ac0c9cc87750a,7edad7827fcd7ce79e2b44cda9fba44f609453e2a051d105133a9bcc51fc7940,7eb9edfb54e4c96114ec09e555091c70834457c492d171b80adf4c8bd86a23ff
"0","1","1","1","【料理】ダイスが2個に増える","52001","0","1"
"0","1","2","1","【料理】ダイスの目が必ず「1」になる","52002","0","1"
"0","3","3","1","【料理】次のターン数のカウントをスキップする","52002","0","2"
"0","1","4","1","【料理】ダイスの目が必ず「4」になる","52004","0","1"
"0","1","5","1","【料理】ダイスの目が\n「4・5・6」のみになる","52006","0","1"
"0","1","6","1","【料理】ダイスの目が1ターン目は必ず「3」に、2ターン目は必ず「6」になる","52007","0","1"
"0","1","7","1","【料理】ダイスの目が必ず「5」になる","52003","0","1"
"0","2","8","1","【料理】マイルマスの獲得マイルが200%アップする","52008","0","7"
"0","3","9","2","【イベント】次のターン数のカウントをスキップする","4","0","2"
"0","2","10","2","【イベント】マイルマスの獲得マイルが100%アップする","5","0","3"
"0","2","11","2","【イベント】ミニゲームの獲得マイルが100%アップする","6","0","5"
"0","3","12","2","【イベント】マイルショップの全商品が20%以上割引される","7","0","4"
"0","1","13","1","【料理】ダイスの目が1ターン目は必ず「8」に、2ターン目は必ず「1」になる","52009","0","1"
"0","2","14","1","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","52010","0","6"
"0","1","15","1","【料理】ダイスの目が1ターン目は必ず「2」に、2ターン目は必ず「7」になる","52011","0","1"
"0","1","16","1","【料理】ダイスの目が\n「1・2・3」のみになる","52012","0","1"
"0","3","17","1","【料理】次のターン数のカウントをスキップする","52012","0","2"
"0","1","18","1","【料理】移動時にマイルマスをスキップできる","52014","0","8"
"0","1","19","1","【料理】次回移動時に1マス分多く進める","52005","0","1"
"2","1","20","1","【料理】次回移動時に1マス分多く進める","52014","2","1"
"0","1","21","1","【料理】ダイスが2個に増える","52015","0","1"
"0","1","22","1","【料理】次回移動時に1マス分多く進める","52015","0","1"
"0","1","23","1","【料理】ダイスの目が必ず「6」になる","52016","0","1"
"0","1","24","1","【料理】移動系カテゴリーの料理が食べられなくなる","52017","0","9"
"0","1","25","1","【料理】ダイスの目が必ず「3」になる","52018","0","1"
"0","1","26","1","【料理】ダイスの目が必ず「8」になる","52019","0","1"
"0","3","27","2","【イベント】次のターン数のカウントをスキップする","98011","0","2"
"0","3","28","2","【イベント】次のターン数のカウントをスキップする","98012","0","2"
"0","2","29","1","【料理】移動時にマイルマスをスキップできる","52020","0","10"
"2","1","30","1","【料理】次回移動時に1マス分多く進める","52020","2","1"
"0","2","31","1","【料理】移動時にトレジャーマスをスキップできる","52021","0","10"
"0","1","32","1","【料理】ダイスの「5と6」の\n目が出る確率が3倍になる","52022","0","1"
"0","1","33","1","【料理】ダイスの目が1ターン目は必ず「6」に、2ターン目は必ず「3」になる","52023","0","1"
"0","1","34","1","【料理】次回移動時に3マス分多く進める","52024","0","1"
"0","2","35","1","【料理】移動時に「マイルマス」「トレジャーマス」をスキップできる","52025","0","10"
"0","1","36","1","【料理】ダイスの目が必ず「5」になる","52027","0","1"
"0","1","37","1","【料理】ダイスの目が\n「1・2」のみになる","52028","0","1"
"0","1","38","1","【料理】ダイスの目が必ず「2」になる","52029","0","1"
"0","3","39","1","【料理】次のターン数のカウントをスキップする","52029","0","2"
"0","3","40","2","【イベント】マイルショップの全商品が20%以上割引される","8","0","4"
"0","3","41","1","【料理】「マイルマス」を「トレジャーマス」に変化させる","52030","0","11"
"0","1","42","1","【料理】ダイスの目が\n「1・6・6・6・8・8」になる","52031","0","1"
"0","2","43","1","【料理】移動時に料理マスをスキップできる","52032","0","10"
"0","1","44","1","【料理】移動時にマイルマスをスキップできる","52034","0","8"
"0","1","45","1","【料理】ダイスの目が1ターン目は必ず「12」に、2・3ターン目は必ず「1」になる","52036","0","1"
"0","2","46","1","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","52037","0","6"
"0","1","47","1","【料理】ダイスが2個に増える","52038","0","1"
"0","3","48","1","【料理】「マイルマス」を「ショップマス」に変化させる","52039","0","11"
"0","2","49","1","【料理】移動時にトレジャーマスをスキップできる","52040","0","10"
"0","1","50","1","【料理】ダイスの目が1ターン目は必ず「7」に、2ターン目は必ず「2」になる","52041","0","1"
"0","1","51","1","【料理】ダイスの目が\n「4・5・6」のみになる","52042","0","1"
"0","1","52","1","【料理】移動系カテゴリーの料理が食べられなくなる","52043","0","9"
"0","1","53","1","【料理】ダイスの目が\n「1・2・3」のみになる","52044","0","1"
"0","3","54","1","【料理】次のターン数のカウントをスキップする","52044","0","2"
"0","1","1001","3","最大ｎマイルを入手する","1","0","99"
"0","1","1002","3","ダイスを1回振りなおせる","2","0","99"
"0","1","1003","3","ダイスを1回振りなおせる_有効ターン2","3","0","99"
"0","1","11001","3","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1001","0","126501"
"0","1","11002","3","【仲間】最大1000マイルを入手する","1002","0","105301"
"0","1","11003","3","【仲間】料理を1つ入手する","1003","0","126401"
"0","1","11004","3","【仲間】ダイスの目を1回振りなおせる","1004","0","100501"
"0","1","11005","3","【仲間】ダイスの目を2回振りなおせる","1005","0","101301"
"0","1","11006","3","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","1006","0","104301"
"0","1","11007","3","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","1007","0","102701"
"0","1","11008","3","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1008","0","100901"
"0","1","11009","3","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1009","0","105101"
"0","1","11010","3","【仲間】最大1000マイルを入手する","1010","0","101801"
"0","1","11011","3","【仲間】ダイスの表と裏どちらを適用するか選択できる","1011","0","129701"
"0","1","11012","3","【仲間】ダイスの目を1回振りなおせる","1012","0","101601"
"0","1","11013","3","【仲間】ダイスの目を2回振りなおせる","1013","0","105601"
