efafe011379c4e92989cebeaf95a88233a41345a5013f0fb7cc62d3bbabf0b8d,26b4acfce591d6f7f7b9e8d94ee9f066d2cc48a245148bcad481bbf6d22a8278,3f70b7b05150aa7fffb5615d83a915deade49ebcae2d545014fdaa78be533fc5,2bcc57525c18fabc4a28cef5793e1ed82e046744c245d578ca4f3449f24e2ccb,920f28dd1ce3a4a048c92bc32701a7991240d5ee37d7b884c17780a0b1071318
"26999","0","1","ひよっこ","1"
"26999","0","2","未熟者","1"
"26999","0","3","稚魚","1"
"26999","0","4","ビギナーランナー","3"
"26999","0","5","赤ちゃん","1"
"26999","0","6","ベイビー","1"
"26999","0","7","小物","1"
"26999","0","8","へっぽこ","1"
"26999","0","9","素人","1"
"33999","27000","10","小魚","1"
"33999","27000","11","初心者","1"
"33999","27000","12","エンジョイランナー","3"
"33999","27000","13","若輩者","1"
"33999","27000","14","ルーキー","1"
"33999","27000","15","ガール","1"
"33999","27000","16","注目株","1"
"33999","27000","17","原石","1"
"33999","27000","18","ニューホープ","2"
"50399","34000","19","探究者","1"
"50399","34000","20","暴れん坊","1"
"50399","34000","21","申し子","1"
"50399","34000","22","奇才","1"
"50399","34000","23","大物","1"
"50399","34000","24","麒麟児","1"
"50399","34000","25","ホープ","1"
"50399","34000","26","新星","1"
"50399","34000","27","逸材","1"
"59999","50400","28","マーメイド","1"
"59999","50400","29","先輩","1"
"59999","50400","30","中級者","1"
"59999","50400","31","ビーチフラッガー","3"
"59999","50400","32","魚","1"
"59999","50400","33","チーフ","1"
"59999","50400","34","キャプテン","1"
"59999","50400","35","一人前","1"
"59999","50400","36","セミプロ","1"
"59999","50400","37","大型新人","1"
"69999","60000","38","流れ星","1"
"69999","60000","39","先生","1"
"69999","60000","40","ドルフィン","1"
"69999","60000","41","職人","1"
"69999","60000","42","レーサー","1"
"69999","60000","43","トゥンヌス","1"
"69999","60000","44","中の中","1"
"69999","60000","45","ビッグネーム","2"
"69999","60000","46","異才","1"
"69999","60000","47","エリート","1"
"69999","60000","48","仕事人","1"
"69999","60000","49","玄人","1"
"83999","70000","50","オルカ","1"
"83999","70000","51","名人","1"
"83999","70000","52","魔術師","1"
"83999","70000","53","師匠","1"
"83999","70000","54","サブマリン","1"
"83999","70000","55","スプリンター","2"
"83999","70000","56","名手","1"
"83999","70000","57","エースランナー","2"
"83999","70000","58","プロ","1"
"83999","70000","59","看板選手","1"
"83999","70000","60","第一人者","1"
"83999","70000","61","ドン","1"
"99999","84000","62","スピードスター","2"
"99999","84000","63","豪傑","1"
"99999","84000","64","プリンセス","1"
"99999","84000","65","女神","1"
"99999","84000","66","マスター","1"
"99999","84000","67","ナンバーワン","2"
"99999","84000","68","寵児","1"
"99999","84000","69","ワイルドグリフォン","3"
"99999","84000","70","ワイバーン","1"
"99999","84000","71","エキスパート","2"
"99999","84000","72","トップランナー","2"
"119999","100000","73","韋駄天","1"
"119999","100000","74","クイーン","1"
"119999","100000","75","チャンピオン","2"
"119999","100000","76","天才ランナー","2"
"119999","100000","77","レコードホルダー","3"
"119999","100000","78","極致","1"
"119999","100000","79","ネプテリオン","2"
"119999","100000","80","シードレイク","2"
"119999","100000","81","女傑","1"
"119999","100000","82","革命家","1"
"119999","100000","83","ビッグスター","2"
"999999","120000","84","ファンタジスタ","2"
"999999","120000","85","スーパースター","2"
"999999","120000","86","ワールドチャンプ","3"
"999999","120000","87","レジェンド","1"
"999999","120000","88","超人","1"
"999999","120000","89","トルペドン","1"
"999999","120000","90","カルキノス","1"
"999999","120000","91","アクアリオス","2"
"999999","120000","92","至宝","1"
"999999","120000","93","グランドマスター","3"
"999999","120000","94","英雄","1"
"999999","120000","95","天下取り","1"
