8d86a015c084ab502024f34ed64d34b0260a939f8d0d8ba011a80619677aa1b7,1daf489151b8508ccd44dbfdeb9626fa75c589a83ca90c626dca14827887540f,a2b0bbbadff879395c165cc086948b3b7d644c952cee422dec98a44774673670,4dbcac497e6af7e868c7aa95be4d7887c2e2335c14364694c1c1ef415cb59527,8da757685629ed5a462fa2ddaaaa618a40bb4616eba416ad6789caced1e168ce,b202988d0d1c3ba23cf87a8b14fd02f259bed42c0b123dd80c223e455a76fba5,a3cca45c4c5cd109dc3df210e7f0d9dbf7600c5f059df21abd1c10358a7f2543,4f0c7e1f7e5e7e8f680ac3484ba327d3917daf5aa09286bc76f9f03592f03ed2,105450d96efe55a1e1c3c3cef9ba42988320e91a30673d199690fec71ec673a7,6104edc8ea13a1bae1266c3293983fde96b56bf1e3ab50c18f5e731723960825,00fec5bcb01e0147525873525c93d1b6970a688945584bf653d353367856bb89,1f313770b8b7f87a6020fef4058059d8de60b979f961d7d7ef874aa8aaf8fde4,65350d1a30ec04a971027034faa8e22791df57e8bb8efbbea626106c51b7989b,71d2509b9d37d8f606ef41e402c4802ebb2583d45ee8fba2264b119c0356b4fc
"あうぅ～残念さ～\nマジムンに魂を\n奪われちゃったかな～？","10021","0","0","カオリ（サマー）","2030/12/17 14:59:59","24","110501","2019/07/31 12:00:00","0","4","4","24015","1"
"今日は踊りのキレも悪いよ～\nゴーヤーっぽいもの食べて、元気回復さ～！","10021","4","0","カオリ（サマー）","2030/12/17 14:59:59","24","110501","2019/07/31 12:00:00","0","1","4","24016","2"
"マジムンだらけで目が回るさ～！\nふらふらさ～！","10021","0","0","カオリ（サマー）","2030/12/17 14:59:59","24","110501","2019/07/31 12:00:00","0","4","4","24017","3"
"なんくるない、なんくるない\n次、頑張ればいいんだよ～！\n海で泳いで\nリフレッシュするさー！","10021","5.2","0","カオリ（サマー）","2030/12/17 14:59:59","24","110501","2019/07/31 12:00:00","0","2","1","24018","4"
"恥ずかしいところ\n見られちゃったね～\n水着？　水着のことじゃないよー？","10021","4.2","0","カオリ（サマー）","2030/12/17 14:59:59","24","110501","2019/07/31 12:00:00","0","6","5","24019","5"
"絶好調さ～！　この調子で\n海の平和を取り戻すよ～！\n楽しい夏が待ってるさ～！","10021","0","0","カオリ（サマー）","2030/12/17 14:59:59","24","110501","2019/07/31 12:00:00","0","2","2","24020","6"
"何匹で襲ってきたって\n私はマブイを落っことさないよ～！\nくしゅん！　あ……\n今のくしゃみで落っこちたかも～？","10021","6.4","0","カオリ（サマー）","2030/12/17 14:59:59","24","110501","2019/07/31 12:00:00","0","6","1","24021","7"
"ひーやーさーさー♪\n戦いの後は、踊りを踊って\n気分スッキリさ～！","10021","0","0","カオリ（サマー）","2030/12/17 14:59:59","24","110501","2019/07/31 12:00:00","0","2","2","24022","8"
"あれ～？　戦ってるうちに\n水着がどっか行っちゃった～？\nねぇキミ、どっかで見なかった～？\nなんで離れるさ～？","10021","10.08","0","カオリ（サマー）","2030/12/17 14:59:59","24","110501","2019/07/31 12:00:00","0","3","6","24023","9"
"まだまだ私は元気だよ～！\nマジムンでもなんでも、\nどんとこーいさー♪","10021","5","0","カオリ（サマー）","2030/12/17 14:59:59","24","110501","2019/07/31 12:00:00","0","2","1","24024","10"
"私の空手は世界最強さ～！\n夏の陽射しと青い海も合わされば、\n向かうところ敵なしだよー！","10021","0","0","カオリ（サマー）","2030/12/17 14:59:59","24","110501","2019/07/31 12:00:00","0","2","2","24025","11"
