c5bc4a24a3c31863153502a9dd071958338087dec9ce1f0b983904a302cd2ba8,eb17de55b01edce13c129ccf16e39f7188c02a0451903d89d54ae0c77f34d427,cb3475bd1b8d3ec6f8f9c7fb212c3b5e74be5f969047d901e9baac866fcc23b5,aa22d2059b89b5a2d4ee1a84613d4b459f1740b9a2b1bf2e2eba1eb4a3b69a30,e490dbb9565658c2ba0eea0e3fa106659fa3067fb917865a04ea7d3b63494199,7b6b41e85d23ad4f1907c26b2d66720941a56fa407c47acd6a5b2528766941b2,bb2979d1d1bda4c2b2ae62f671efa06fbc4f49b8191b0b6f297a5017ff8a0277,0cacf60d00cdec89a4b54bce59fedc89f937c37a96d484e02e561f8497873fa2,136c40e8d08c9927e2ba39edd557a9ef74e54aa46e0c58d122ce29974f48f2bf,b9eea5ee654c6e5aa51ed3288a282cc06029e64bf9bfa1c45001b6ef67b1a401,64c830eb610ad2133b70305e6cf94c0c506a558e47ce6c661c7d8a903eda900b
"難易度1以上で1回クリアしよう","1","1","1","1013","0","1","3","1","1","2"
"難易度2以上で1回クリアしよう","1","2","2","1013","0","1","5","2","2","2"
"難易度3以上で1回クリアしよう","1","3","3","1013","0","1","5","3","3","2"
"難易度4以上で1回クリアしよう","1","4","4","1013","0","1","5","4","4","2"
"難易度5で1回クリアしよう","1","5","5","1013","0","1","5","5","5","2"
"迷宮遺物を累計10個集めよう","10","6","0","1013","0","1","0","6","6","3"
"迷宮遺物を累計50個集めよう","50","7","0","1013","0","1","0","7","7","3"
"迷宮遺物を累計100個集めよう","100","8","0","1013","0","1","0","8","8","3"
"キャラを累計で10人勧誘しよう","10","9","0","1013","0","1","0","9","9","4"
"キャラを累計で50人勧誘しよう","50","10","0","1013","0","1","0","10","10","4"
"キャラを累計で100人勧誘しよう","100","11","0","1013","0","1","0","11","11","4"
"キャラを累計で150人勧誘しよう","150","12","0","1013","0","1","0","12","12","4"
"アルファ強化でノードを1個解放しよう","1","13","0","1013","0","1","0","13","13","5"
"アルファ強化でノードを5個解放しよう","5","14","0","1013","0","1","0","14","14","5"
"アルファ強化でノードを10個解放しよう","10","15","0","1013","0","1","0","15","15","5"
"アルファ強化でノードを15個解放しよう","15","16","0","1013","0","1","0","16","16","5"
"アルファ強化でノードを20個解放しよう","20","17","0","1013","0","1","0","17","17","5"
"アルファ強化でノードを25個解放しよう","25","18","0","1013","0","1","0","18","18","5"
"アルファ強化でノードを30個解放しよう","30","19","0","1013","0","1","0","19","19","5"
"アルファ強化でノードを40個解放しよう","40","20","0","1013","0","1","0","20","20","5"
"難易度2以上で3回クリアしよう（スキップを除く）","3","21","2","1013","0","1","5","21","21","2"
"難易度2以上で5回クリアしよう（スキップを除く）","5","22","2","1013","0","1","5","22","22","2"
"難易度2以上で10回クリアしよう（スキップを除く）","10","23","2","1013","0","1","5","23","23","2"
"難易度2以上で12回クリアしよう（スキップを除く）","12","24","2","1013","0","1","5","24","24","2"
"難易度2以上で14回クリアしよう（スキップを除く）","14","25","2","1013","0","1","5","25","25","2"
"難易度2以上で16回クリアしよう（スキップを除く）","16","26","2","1013","0","1","5","26","26","2"
"難易度2以上で18回クリアしよう（スキップを除く）","18","27","2","1013","0","1","5","27","27","2"
"難易度2以上で20回クリアしよう（スキップを除く）","20","28","2","1013","0","1","5","28","28","2"
"キャラを20人以上勧誘した状態でクリアしよう","1","29","0","1013","0","1","20","29","29","6"
"キャラを25人以上勧誘した状態でクリアしよう","1","30","0","1013","0","1","25","30","30","6"
"キャラを30人以上勧誘した状態でクリアしよう","1","31","0","1013","0","1","30","31","31","6"
"迷宮遺物を15個以上所持した状態でクリアしよう","1","32","0","1013","0","1","15","32","32","8"
"迷宮遺物を20個以上所持した状態でクリアしよう","1","33","0","1013","0","1","20","33","33","8"
"迷宮遺物を25個以上所持した状態でクリアしよう","1","34","0","1013","0","1","25","34","34","8"
"【美食殿】難易度3以上で1回クリアしよう","1","35","3","1014","1","2","5","35","35","2"
"【美食殿】難易度4以上で1回クリアしよう","1","36","4","1014","1","2","5","36","36","2"
"【美食殿】難易度5で1回クリアしよう","1","37","5","1014","1","2","5","37","37","2"
"【トゥインクルウィッシュ】難易度3以上で1回クリアしよう","1","38","3","1014","2","2","5","38","38","2"
"【トゥインクルウィッシュ】難易度4以上で1回クリアしよう","1","39","4","1014","2","2","5","39","39","2"
"【トゥインクルウィッシュ】難易度5で1回クリアしよう","1","40","5","1014","2","2","5","40","40","2"
"【サレンディア救護院】難易度3以上で1回クリアしよう","1","41","3","1014","3","2","5","41","41","2"
"【サレンディア救護院】難易度4以上で1回クリアしよう","1","42","4","1014","3","2","5","42","42","2"
"【サレンディア救護院】難易度5で1回クリアしよう","1","43","5","1014","3","2","5","43","43","2"
"【王宮騎士団（NIGHTMARE）】難易度3以上で1回クリアしよう","1","44","3","1014","4","2","5","44","44","2"
"【王宮騎士団（NIGHTMARE）】難易度4以上で1回クリアしよう","1","45","4","1014","4","2","5","45","45","2"
"【王宮騎士団（NIGHTMARE）】難易度5で1回クリアしよう","1","46","5","1014","4","2","5","46","46","2"
"【ラビリンス】難易度3以上で1回クリアしよう","1","47","3","1014","5","2","5","47","47","2"
"【ラビリンス】難易度4以上で1回クリアしよう","1","48","4","1014","5","2","5","48","48","2"
"【ラビリンス】難易度5で1回クリアしよう","1","49","5","1014","5","2","5","49","49","2"
