aa14f8866f2da1c279975c5d68086687688e1579ef3e8e53f066bab117cc4066,973db3a0e3017b48693bd26f99054ef6162ce57ae625d4ef2c95a3772634a2bf,c5b6a79cce2181e1200644e35569b41b1bb8d20a645332322714ae6c711c1cc7,c2902a30f2b1bc4409597d70d4af0ca082eaba4d11d3d8bcde8a3be514596eb5,14a056c25106bfb74c77ec2a6ac9be8ced07bce9e70fb9fb25cd1ee5cd5d6022,7588f5cf856aebeb5a55a3239fe6383b3872771052a6ba4b0e8f658584674768,b057303caef1db1a6d54c13e8a362204d4dba63d3c920c1ad7eef2286c4af33d,11539e36dcd186ba6f2be5b17254e4fd0a053903d71edd716b06ee820127c0e2,67d57a1436345c07854c77a1a63579c1a6ba6033b90ece3e3b9676235c78179f,960b2846eaac2b80fae6dbf40511bbe1304c2d5414e0d31456bad3df147997a3,a9beff82f7e77828804616fb9844c24e82c8f3324fb99c5b6b3e41745ec336c4,4357c7c426895aab76056f89086e4070046d58dcfd6e74fb9d875e5c501c96b3
"1","カリン","0","1","1","1","0","60000","190804","0","新年を迎え、新たに始まる一日を\nおみくじで占ってみませんか？\n良い運勢であるほど、\n沢山のプレゼントが貰えますよ♪",""
"2","","1","0","2","1","0","60000","0","0","今日の運勢は姫吉！　あらゆる運気が最大を示しています！　　　今なら「伝説の吸血鬼」をも従え、世界征服も夢じゃありません！",""
"3","","1","0","2","1","0","60000","0","0","今日の運勢は姫吉！　やること全てが最高潮！　やばいですね☆　ラッキーアイテムはおにぎり！　お腹一杯で幸せが続くでしょう！",""
"4","","1","0","2","2","0","60000","0","0","今日の運勢は姫吉！　その高い運気はまさにショーグンの如く！　その溢れる威光は人々を惹きつけ、皆の人気者間違いなしです！",""
"5","","2","0","2","1","0","60000","0","0","今日の運勢は大吉！　運気がどんどん高まっています！　　　　　何をやっても、最大効率で素晴らしい結果になりますよ♪",""
"6","","2","0","2","1","0","60000","0","0","今日の運勢は大吉！　なにをやっても上手くいって大活躍！　　　そんな素敵なあなたを見て、後ろから誰かが……クスクス♪",""
"7","","2","0","2","2","0","60000","0","0","今日の運勢は大吉！　運気が高く、何かに挑戦すると良い結果に！隠れた才能が引き出されそう！　目指せヒデサ……ではなく秀才！",""
"8","","3","0","2","1","0","60000","0","0","今日の運勢は中吉！　商売運が上がってきています！　　　　　　ラッキーアイテムはたいやき！　和菓子パワーで売上アップです！",""
"9","","3","0","2","1","0","60000","0","0","今日の運勢は中吉！　旅行運がぐんぐんと上昇中♪　　　　　　　もしかしたら、あの「マホマホ王国」にだって行けるかも♪",""
"10","","3","0","2","1","0","60000","0","0","今日の運勢は中吉！　仕事運が急上昇中です！　　　　　　　　　きっと「煉獄に舞う一陣の疾風」の如き活躍ができますよ！",""
"11","","3","0","2","1","0","60000","0","0","今日の運勢は中吉！　チャンスを待つと良い結果に！　　　　　　ラッキーアイテムのプリンを食べて、運を呼び込みましょう！",""
"12","","3","0","2","2","0","60000","0","0","今日の運勢は中吉！　運気が着々と上昇中！　　　　　　　　　　精霊の加護を受けたかの如く、色々な事がうまくいきますよ♪",""
"13","","4","0","2","1","0","60000","0","0","今日の運勢は小吉！　早朝に幸運の兆しあり！　　　　　　　　　もしかしたら、優しいお姉ちゃんが起こしにきてくれますよ♪",""
