e650bd5c52a137b49d50509928c645db87f468f9034a26927db08318cce479bf,4b73a7f330ed2f70e4eeb54982b094b1661ea824f995a026d12a62b7a6c1cf7e,29f753675815943a6a93f824e6688a46f5fa8cc0b14351862865a4f5ebd8d411,040c9c8c666ea1afdee199d5d7ec4a112866caadb841d521e7e9fd4b177f56fc,2216b426d01f8fd5cf0a96a4ba27adf36577ff68b1bb2370f9cb6da89b89bcf5
"1","100","91002","1","8"
"2","100","91002","2","8"
"3","100","91002","3","8"
"4","100","91002","4","8"
"5","100","91002","5","8"
"6","500","23003","6","2"
"7","100","140001","7","4"
"8","1","21953","8","2"
"9","500","23003","9","2"
"10","100","25001","10","2"
"11","100","90005","11","2"
"12","1","41000","12","2"
"13","500","23003","13","2"
"14","10000","25011","14","2"
"15","10000","25012","15","2"
"16","10000","25013","16","2"
"17","10000","25014","17","2"
"18","10000","25015","18","2"
"19","5000","25021","19","2"
"20","1","25101","20","2"
"21","100","23003","21","2"
"22","10000","25011","22","2"
"23","10000","25012","23","2"
"24","10000","25013","24","2"
"25","10000","25014","25","2"
"26","10000","25015","26","2"
"27","5000","25021","27","2"
"28","100","91002","28","8"
"29","150","23003","29","2"
"30","150","23003","30","2"
"31","150","23003","31","2"
"32","150","23003","32","2"
"33","150","23003","33","2"
"34","150","23003","34","2"
"35","50000","26202","35","2"
"36","50000","26202","36","2"
"37","1","26203","37","2"
"38","50000","26202","38","2"
"39","50000","26202","39","2"
"40","1","26203","40","2"
"41","50000","26202","41","2"
"42","50000","26202","42","2"
"43","1","26203","43","2"
"44","50000","26202","44","2"
"45","50000","26202","45","2"
"46","1","26203","46","2"
"47","50000","26202","47","2"
"48","50000","26202","48","2"
"49","1","26203","49","2"
"50","100000","26202","50","2"
"51","100000","26202","51","2"
"52","1","26203","52","2"
"53","100000","26202","53","2"
"54","100000","26202","54","2"
"55","1","26203","55","2"
"56","100000","26202","56","2"
"57","100000","26202","57","2"
"58","1","26203","58","2"
"59","100000","26202","59","2"
"60","100000","26202","60","2"
"61","1","26203","61","2"
"62","100000","26202","62","2"
"63","100000","26202","63","2"
"64","1","26203","64","2"
