24ce2ffbdeecc0b7e98bec92504cbbcdd3f0a051452cbc68c0de7b04e1c1fc3e,149a0cb35d4816cced9d206ae44323dcb276f0ec20dc30636397ab21e0c0bab9,dfef556db57bfc728ac2c8fb279ff0ff5ef2bf3cd135c54a84ca5ba05e3de9a5,f2bbd2089475438e65759360131976b74e467edeb4a6001743aceafcfe2e054f,2bb11dfbaa6e34d84d5f7326ad9bc46b98bef2296319a809c3b60a269263b775
"1","0","1","150","1038"
"2","0","2","151","1038"
"3","0","3","152","1038"
"4","0","4","153","1038"
"5","0","5","154","1038"
"6","0","1","156","1039"
"7","0","2","157","1039"
"8","0","3","158","1039"
"9","0","4","159","1039"
"10","0","5","160","1039"
"11","0","1","162","1040"
"12","0","2","163","1040"
"13","0","3","164","1040"
"14","0","4","165","1040"
"15","0","5","166","1040"
"16","0","1","168","1041"
"17","0","2","169","1041"
"18","0","3","170","1041"
"19","0","4","171","1041"
"20","0","5","172","1041"
"21","0","1","174","1042"
"22","0","2","175","1042"
"23","0","3","176","1042"
"24","0","4","177","1042"
"25","0","5","178","1042"
"26","0","1","180","1043"
"27","0","2","181","1043"
"28","0","3","182","1043"
"29","0","4","183","1043"
"30","0","5","184","1043"
"31","0","1","186","1044"
"32","0","2","187","1044"
"33","0","3","188","1044"
"34","0","4","189","1044"
"35","0","5","190","1044"
"36","0","1","192","1045"
"37","0","2","193","1045"
"38","0","3","194","1045"
"39","0","4","195","1045"
"40","0","5","196","1045"
"41","0","1","198","1046"
"42","0","2","199","1046"
"43","0","3","200","1046"
"44","0","4","201","1046"
"45","0","5","202","1046"
"46","0","1","204","1047"
"47","0","2","205","1047"
"48","0","3","206","1047"
"49","0","4","207","1047"
"50","0","5","208","1047"
"51","0","1","210","1048"
"52","0","2","211","1048"
"53","0","3","212","1048"
"54","0","4","213","1048"
"55","0","5","214","1048"
"56","0","1","216","1049"
"57","0","2","217","1049"
"58","0","3","218","1049"
"59","0","4","219","1049"
"60","0","5","220","1049"
"61","0","1","222","1050"
"62","0","2","223","1050"
"63","0","3","224","1050"
"64","0","4","225","1050"
"65","0","5","226","1050"
"66","0","1","228","1051"
"67","0","2","229","1051"
"68","0","3","230","1051"
"69","0","4","231","1051"
"70","0","5","232","1051"
"71","0","1","234","1052"
"72","0","2","235","1052"
"73","0","3","236","1052"
"74","0","4","237","1052"
"75","0","5","238","1052"
"76","0","1","240","1053"
"77","0","2","241","1053"
"78","0","3","242","1053"
"79","0","4","243","1053"
"80","0","5","244","1053"
"81","0","1","246","1054"
"82","0","2","247","1054"
"83","0","3","248","1054"
"84","0","4","249","1054"
"85","0","5","250","1054"
"86","0","1","252","1055"
"87","0","2","253","1055"
"88","0","3","254","1055"
"89","0","4","255","1055"
"90","0","5","256","1055"
"91","0","1","258","1056"
"92","0","2","259","1056"
"93","0","3","260","1056"
"94","0","4","261","1056"
"95","0","5","262","1056"
"96","0","1","264","1057"
"97","0","2","265","1057"
"98","0","3","266","1057"
"99","0","4","267","1057"
"100","0","5","268","1057"
"101","0","1","270","1058"
"102","0","2","271","1058"
"103","0","3","272","1058"
"104","0","4","273","1058"
"105","0","5","274","1058"
"106","0","1","276","1059"
"107","0","2","277","1059"
"108","0","3","278","1059"
"109","0","4","279","1059"
"110","0","5","280","1059"
"111","0","1","282","1060"
"112","0","2","283","1060"
"113","0","3","284","1060"
"114","0","4","285","1060"
"115","0","5","286","1060"
"116","0","1","288","1061"
"117","0","2","289","1061"
"118","0","3","290","1061"
"119","0","4","291","1061"
"120","0","5","292","1061"
"121","0","1","294","1063"
"122","0","2","295","1063"
"123","0","3","296","1063"
"124","0","4","297","1063"
"125","0","1","299","1064"
"126","0","2","300","1064"
"127","0","3","301","1064"
"128","0","4","302","1064"
"129","0","1","304","1065"
"130","0","2","305","1065"
"131","0","3","306","1065"
"132","0","4","307","1065"
"133","0","1","308","1066"
"134","0","2","310","1066"
"135","0","3","311","1066"
"136","0","4","312","1066"
"137","0","1","313","1067"
"138","0","2","315","1067"
"139","0","3","316","1067"
"140","0","4","317","1067"
"141","0","1","318","1068"
"142","0","2","320","1068"
"143","0","3","321","1068"
"144","0","4","322","1068"
"145","0","1","323","1069"
"146","0","2","325","1069"
"147","0","3","326","1069"
"148","0","4","327","1069"
"149","0","1","328","1070"
"150","0","2","330","1070"
"151","0","3","331","1070"
"152","0","4","332","1070"
"153","0","1","333","1071"
"154","0","2","335","1071"
"155","0","3","336","1071"
"156","0","4","337","1071"
"157","0","1","338","1072"
"158","0","2","340","1072"
"159","0","3","341","1072"
"160","0","4","342","1072"
"161","0","1","343","1073"
"162","0","2","345","1073"
"163","0","3","346","1073"
"164","0","4","347","1073"
"165","0","1","348","1074"
"166","0","2","350","1074"
"167","0","3","351","1074"
"168","0","4","352","1074"
"169","0","1","353","1075"
"170","0","2","355","1075"
"171","0","3","356","1075"
"172","0","4","357","1075"
"173","0","1","358","1076"
"174","0","2","360","1076"
"175","0","3","361","1076"
"176","0","4","362","1076"
"177","0","1","363","1077"
"178","0","2","365","1077"
"179","0","3","366","1077"
