628f4e4f1d5b69dd6117f0668f5d398148582d8cf5d895bf8b13e4db148ff868,b422e5de0aec74c19393f298dd145d85d5f3c3ebd01c0d57818dbe2685efcfea,e341e5192a1acf73358e064e4d887c1b8969bdf322145f53ad5eb1369030c51d,5e8d19484f1b465215c7ff3128ce86ae3f48d39b3e90908641111f5c647b7692,113e958b64fb72d51bf10d54db92295e8752f8df53620d0550d2b2397fde6bb7,b46837ffb3d1f162b871e5a76781dd5442f5f4f5181e8a9aed0707d4789adaae,4c291aee4c0d0cfdea3b8f182ec5eeaa75e1d34fb7d4bce118a19d7b6d0f69aa,0da736c15968468bd8640bca4c0719bffe89cab13fd7b5295aa91f68b53e9708,f4f8a3cbcada4799f394f8580fb2077d85c273e4f03019811a811f5d59b61321,e30965049060ab7afdf7533aba8f40e90429a20a92410a55fe7ca280a8d7d114,88c7de629897204fb8b1155c7b428a43c911cd2749aeca3dbb3d03ae302eeac3,bdab23eb2de4abd8ef6835939fb4c5355d5623e6d55e8d3cb3794864f3010ce6
"100700101","1","0","0","4","0","0","1","0","1007001","0","0.8"
"100700102","2","vo_svd_0101","0","2","vo_svd","0","0","0","1007001","0","0"
"100700103","3","0","1.684","1","0","1","0","0","1007001","300","0"
"100700104","4","0","0","4","0","0","1","0","1007001","0","1.949"
"100700105","5","0","1.363","1","0","2","0","15","1007001","327","0"
"100700106","6","0","0","4","0","0","1","0","1007001","0","3.027"
"100700107","7","vo_svd_0102","0","2","vo_svd","0","0","0","1007001","0","0"
"100700108","8","0","1.69","1","0","3","0","0","1007001","441","0"
"100700109","9","0","0","4","0","0","1","0","1007001","0","1.7"
"100700110","10","0","1.446","1","0","4","0","0","1007001","221","0"
"100700111","11","0","0","4","0","0","1","0","1007001","0","1.722"
"100700112","12","0","1.245","1","0","4","0","221","1007001","478","0"
"100700113","13","0","0","4","0","0","1","0","1007001","0","0.417"
"100700114","14","0","0.864","1","0","5","0","0","1007001","208","0"
"100700115","15","0","0","4","0","0","1","0","1007001","0","2.482"
"100700116","16","vo_svd_0103","0","2","vo_svd","0","0","0","1007001","0","0"
"100700117","17","0","2.352","1","0","6","0","0","1007001","420","0"
"100700118","18","0","0","4","0","0","1","0","1007001","0","1.694"
"100700119","19","0","0.953","1","0","7","0","0","1007001","268","0"
"100700120","20","0","0","4","0","0","1","0","1007001","0","2.5"
"100700201","1","0","0","4","0","0","1","0","1007002","0","0.8"
"100700202","2","vo_svd_0201","0","2","vo_svd","0","0","0","1007002","0","0"
"100700203","3","0","0.865","1","0","1","0","0","1007002","152","0"
"100700204","4","0","0","4","0","0","1","0","1007002","0","1.516"
"100700205","5","0","1.013","1","0","1","0","152","1007002","314","0"
"100700206","6","0","0","4","0","0","1","0","1007002","0","0.973"
"100700207","7","0","0.755","1","0","2","0","0","1007002","158","0"
"100700208","8","0","0","4","0","0","1","0","1007002","0","2.018"
"100700209","9","vo_svd_0202","0","2","vo_svd","0","0","0","1007002","0","0"
"100700210","10","0","0.541","1","0","3","0","0","1007002","132","0"
"100700211","11","0","0","4","0","0","1","0","1007002","0","0.517"
"100700212","12","0","0.992","1","0","3","0","132","1007002","299","0"
"100700213","13","0","0","4","0","0","1","0","1007002","0","0.792"
"100700214","14","0","0.751","1","0","4","0","0","1007002","132","0"
"100700215","15","0","0","4","0","0","1","0","1007002","0","1.887"
"100700216","16","vo_svd_0203","0","2","vo_svd","0","0","0","1007002","0","0"
"100700217","17","0","1.482","1","0","4","0","132","1007002","441","0"
"100700218","18","0","0","4","0","0","1","0","1007002","0","0.858"
"100700219","19","0","1.255","1","0","5","0","0","1007002","255","0"
"100700220","20","0","0","4","0","0","1","0","1007002","0","2.752"
"100700221","21","vo_svd_0204","0","2","vo_svd","0","0","0","1007002","0","0"
"100700222","22","0","1.827","1","0","6","0","0","1007002","336","0"
"100700223","23","0","0","4","0","0","1","0","1007002","0","1.654"
"100700224","24","0","1.773","1","0","7","0","0","1007002","364","0"
"100700225","25","0","0","4","0","0","1","0","1007002","0","2.5"
"100700301","1","0","0","4","0","0","1","0","1007003","0","0.8"
