04809f5ec47ae7ff8e47b2ba0702549560cf69e9e9451897982987ef9ebe35c4,926bdc035250964bdc464e344163b57907929c20f3c035a154d8cc8a8ecdebe9,3b98b76ad7e93f4893615af17a7cba4d0afe528fa5adfcc81dde2378fc91d4e6,030bab02e03972b4e7fd4794641e62c7cbe3a3f96bb9b127935d495db7768fec,ff5dff947dedc10e55836593118f2997e1d7d967b5bda5cd105c866d3451d7f5
"1","3","0","111011101","1"
"1","3","0","111021101","1"
"1","3","0","133011101","1"
"1","5","0","133011201","1"
"1","3","0","133020101","1"
"1","3","1","133020201","1"
"1","3","0","133030101","1"
"1","3","0","133030201","2"
"1","3","0","133030301","3"
"1","3","1","133030401","1"
"1","3","1","133030501","2"
"1","3","1","133030601","3"
"1","3","0","133040101","1"
"1","3","1","133040201","1"
"1","3","2","133040301","1"
"1","3","3","133040401","1"
"1","3","0","133051101","1"
"1","5","0","133051201","1"
"2","3","0","134010101","1"
"2","3","0","134010201","3"
"1","3","0","134021101","1"
"1","5","0","134021201","1"
"2","4","0","140010101","1"
"2","1","1","140010201","1"
"2","1","0","140010301","1"
"1","1","0","140020101","3"
