34dc28084d6dbd22dca707284e6cf833bd1d77de2675ef0fd39b19efefc58ce7,a146d9230590b30a208160f695924eeae482c77b3046fff5b4a6608a9c5c4041,6a1100fdc6a20f07c8761ca99637a41c1a60751efcc4d0e8279bcc86f663ca48,c7915a575b4eca405fd80bd024745e6435b5ecc685866d46ff6c04952b0a5a32,0eb9997b6edc5dcbfef802702dceba8c36b444945a41f97c69098c4e55e47ebf,9def07ba3b31da6de672805a0f72e06439c9c639a1207e3c353135b15908b8ea,c59a0eed761934320a146aed427bd7414b8df2135d243bcb3844bb8ebcc589fa,a09eae06b84986b61908eb4da696c735968baf37e1355f4c74d1db9835d5dbfc,8a996d851b7369e8663968689c8f3051a34061a0fa1bf11fbf95e1d268dc94c3,87ec6850c63cd309fc977a99e1a7d916b999a8a263dd3a861a7d1bf837fca486,a7f3b72c26d68ae65a0c440cabf3515cd54c488de105637f2a252e016c381393
"110010001","1.3","2","1000001","-250","<weapon>_idle","1","55","0","1001","-100"
"110010002","1","100","100","1","","31","0","","1001","0"
"110010003","0","101","101","1","","31","0","","1001","0"
"110010004","1","4","4","1","","31","0","","1001","0"
"110010005","1","5","5","1","","31","94.5","","1001","0"
"110010006","","0","0","","","91","","","1001",""
"110010007","","0.4","0","","","93","","","1001",""
"110010008","0.2","1000001","<weapon>_joy_short","","","3","0","","1001",""
"110010009","","1.3","0","","","93","","","1001",""
"110010010","0","1000001","<weapon>_run","","","3","1","","1001",""
"110010011","","1000001","800","0","","2","-250","","1001","1"
"110010012","","0.7","0","","","93","","","1001",""
"110010013","","101","1","","","32","","","1001",""
"110010014","","0.7","0","","","93","","","1001",""
"111010001","1.3","2","1000001","-250","<weapon>_run","1","55","0","1101","-640"
"111010002","1","100","100","1","","31","0","","1101","0"
"111010003","0","101","101","1","","31","0","","1101","0"
"111010004","1","4","4","1","","31","0","","1101","0"
"111010005","","4","0","","","35","","","1101",""
"111010006","1","5","5","1","","31","0","","1101","0"
"111010007","1","10","10","1","","31","0","","1101","0"
"111010008","","0","","","","91","","","1101",""
"111010009","","100","1","","","35","","","1101",""
