2db81614127e4823f3d16f87f754b70556d2c100e08199fa6c1559b23d113134,17017e59e3b07e27f6db900273af58b0fdc7d4c04fef1c7a2f511d81789178ef,f5d1fc79d7821eefa21a1c1ca7f1b7db5079ef995bac061a236edc2cbeb105f6,56e3810ed31e8e7590b75301643c41bead526a6647571215eddd2cb530e9a468
"2019/02/15 5:00:00","2019/03/01 4:59:59","10000","1st Anniversary スペシャルログインボーナス"
"2019/04/27 5:00:00","2019/05/07 4:59:59","10001","GW スペシャルログインボーナス"
"2019/08/15 5:00:00","2019/09/01 4:59:59","10002","1.5Year Anniversary スペシャルログインボーナス"
"2020/02/15 5:00:00","2020/03/01 4:59:59","10003","2nd Anniversary スペシャルログインボーナス"
"2020/08/15 5:00:00","2020/09/01 4:59:59","10004","2.5 Year Anniversary スペシャルログインボーナス"
"2021/02/15 5:00:00","2021/03/01 4:59:59","10005","3rd Anniversary スペシャルログインボーナス"
"2021/08/15 5:00:00","2021/09/01 4:59:59","10006","3.5 Year Anniversary スペシャルログインボーナス"
"2022/02/15 5:00:00","2022/03/01 4:59:59","10007","4th Anniversary スペシャルログインボーナス"
"2022/08/15 5:00:00","2022/09/01 4:59:59","10008","4.5 Year Anniversary スペシャルログインボーナス"
"2023/02/15 5:00:00","2023/03/01 4:59:59","10009","5th Anniversary スペシャルログインボーナス"
"2023/08/15 5:00:00","2023/09/01 4:59:59","10010","5.5 Year Anniversary スペシャルログインボーナス"
"2024/02/15 5:00:00","2024/03/01 4:59:59","10011","6th Anniversary スペシャルログインボーナス"
"2024/08/15 5:00:00","2024/09/01 4:59:59","10012","6.5 Year Anniversary スペシャルログインボーナス"
"2025/02/15 5:00:00","2025/03/01 4:59:59","10013","7th Year Anniversary スペシャルログインボーナス"
"2025/08/15 5:00:00","2025/09/01 4:59:59","10014","7.5 Year Anniversary スペシャルログインボーナス"
