7e715013268e9d9a09ba7041f807e9945330ba3476467de3b06994de82d8d1dd,a5351c5af92142190d4aaf6feb5ba035cc10131c25fe7e4a1252d3f33a29c775,61af30da4a95b329de45e1256c66a66ef57005ae61d43ba2960c006b91b84ec1,c4543adab99c1a3e900e4f1079acd097ccac36b4e87ff309a1c5ac7b835881f7,80742250d486d6b6c9404a5db16700aefdd50d9d2e26638b491c100dfa788595,78ddef1d9c2d4eeac0002c8f47094169c1b23a7b4ef0857a093e531cc4fdf566,0db36a3d43ea0bca43f508f2e08d44524f510da57d65a770e321d09644d32936,c0f28357a724d9a90ea90f306be1bb2593681a5c31130dd5767a849b52aed4c6,cd786c8d1a8445e9b42a9fe7738f3143b4901094b218da6ed7aed3f8739f3d0d
"502001102","1","320010106","0.7","1","11","0","1","43.5"
"502001103","3","320010106","0.65","2","67","0","2","13"
"0","2","320010106","0.65","3","49","0","3","-74"
"502001108","1","320010107","0.7","1","13","0","4","-49"
"502001109","3","320010107","0.85","2","62","0","5","-4"
"0","2","320010107","0.65","3","50","0","6","59"
"0","1","320010108","1.05","1","-10","0","7","0"
"0","1","320010109","1.05","1","-10","0","8","-15"
"0","1","320010110","0.43","1","-45","0","9","-85"
"0","2","320010110","0.43","2","-45","0","10","85"
"502001202","1","320010206","0.7","1","11","0","11","43.5"
"502001203","3","320010206","0.65","2","67","0","12","13"
"0","2","320010206","0.65","3","49","0","13","-74"
"502001208","1","320010207","0.7","1","13","0","14","-49"
"502001209","3","320010207","0.85","2","62","0","15","-4"
"0","2","320010207","0.65","3","50","0","16","59"
"0","1","320010208","1.05","1","-10","0","17","0"
"0","1","320010209","1.05","1","-10","0","18","-15"
"0","1","320010210","0.43","1","-45","0","19","-85"
"0","2","320010210","0.43","2","-45","0","20","85"
"502001302","1","320010306","0.7","1","11","0","21","43.5"
"502001303","3","320010306","0.65","2","67","0","22","13"
"0","2","320010306","0.65","3","49","0","23","-74"
"502001308","1","320010307","0.7","1","13","0","24","-49"
"502001309","3","320010307","0.85","2","62","0","25","-4"
"0","2","320010307","0.65","3","50","0","26","59"
"0","1","320010308","1.05","1","-10","0","27","0"
"0","1","320010309","1.05","1","-10","0","28","-15"
"0","1","320010310","0.43","1","-45","0","29","-85"
"0","2","320010310","0.43","2","-45","0","30","85"
"502001402","1","320010406","0.7","1","11","0","31","43.5"
"502001403","3","320010406","0.65","2","67","0","32","13"
"0","2","320010406","0.65","3","49","0","33","-74"
"502001408","1","320010407","0.7","1","13","0","34","-49"
"502001409","3","320010407","0.85","2","62","0","35","-4"
"0","2","320010407","0.65","3","50","0","36","59"
"0","1","320010408","1.05","1","-10","0","37","0"
"0","1","320010409","1.05","1","-10","0","38","-15"
"0","1","320010410","0.43","1","-45","0","39","-85"
"0","2","320010410","0.43","2","-45","0","40","85"
"502001502","1","320010506","0.7","1","11","0","41","43.5"
"502001503","3","320010506","0.65","2","67","0","42","13"
"0","2","320010506","0.65","3","49","0","43","-74"
"502001508","1","320010507","0.7","1","13","0","44","-49"
"502001509","3","320010507","0.85","2","62","0","45","-4"
"0","2","320010507","0.65","3","50","0","46","59"
"0","1","320010508","1.05","1","-10","0","47","0"
"0","1","320010509","1.05","1","-10","0","48","-15"
"0","1","320010510","0.43","1","-45","0","49","-85"
"0","2","320010510","0.43","2","-45","0","50","85"
"502002102","1","320020106","0.7","1","11","0","51","43.5"
"502002103","3","320020106","0.65","2","67","0","52","13"
"0","2","320020106","0.65","3","49","0","53","-74"
