7ca2a35bdf65420fb8e37ea2a40e3d7c088e43c89dd827dedd20981ac52a9993,9e1659088c45cdb3c801ea7c9823369ba49b9f1fd6bf31c146c33786d8d54a9e,b8918007fe7f4eb5440f904a7a3270a0d838c7a516ee8a50f4979f6bc490b677,c5e402894fd51e19264a60956096c656a03c88e45e2d7995e55c2224f237eea0,5d6038aa924d3dfbcc437ce041d8f903dc02643f963b6895a920047525f31e5b
"1","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92407010","火属性ボーナス特大アップ"
"2","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92407010","物理防御力（ダウン不可）アップ"
"3","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92407010","魔法防御力（ダウン不可）アップ"
"4","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92407010","ＴＰ上昇上限付与"
"5","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92407010","ＨＰ吸収ダウン"
"6","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92407020","火属性ボーナス特大アップ"
"7","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92407020","物理防御力（ダウン不可）アップ"
"8","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92407020","魔法防御力（ダウン不可）アップ"
"9","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92407020","ＴＰ上昇上限付与"
"10","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92407020","ＨＰ吸収ダウン"
"11","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92407030","火属性ボーナス特大アップ"
"12","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92407030","物理防御力（ダウン不可）アップ"
"13","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92407030","魔法防御力（ダウン不可）アップ"
"14","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92407030","ＴＰ上昇上限付与"
"15","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92407030","ＨＰ吸収ダウン"
"16","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92407110","火属性ボーナス特大アップ"
"17","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92407110","ダメージ減衰"
"18","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92407110","物理防御力（ダウン不可）アップ"
"19","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92407110","魔法防御力（ダウン不可）アップ"
"20","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92407110","ＴＰ上昇上限付与"
"21","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92407110","ＨＰ吸収ダウン"
"22","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92407110","ＴＰダウンカット"
"23","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92407120","火属性ボーナス特大アップ"
"24","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92407120","ダメージ減衰"
"25","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92407120","物理防御力（ダウン不可）アップ"
"26","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92407120","魔法防御力（ダウン不可）アップ"
"27","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92407120","ＴＰ上昇上限付与"
"28","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92407120","ＨＰ吸収ダウン"
"29","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92407120","ＴＰダウンカット"
"30","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92407130","火属性ボーナス特大アップ"
"31","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92407130","ダメージ減衰"
"32","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92407130","物理防御力（ダウン不可）アップ"
"33","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92407130","魔法防御力（ダウン不可）アップ"
"34","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92407130","ＴＰ上昇上限付与"
"35","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92407130","ＨＰ吸収ダウン"
"36","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92407130","ＴＰダウンカット"
"37","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92407140","火属性ボーナス特大アップ"
"38","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92407140","ダメージ減衰"
"39","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92407140","物理防御力（ダウン不可）アップ"
"40","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92407140","魔法防御力（ダウン不可）アップ"
"41","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92407140","ＴＰ上昇上限付与"
"42","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92407140","ＨＰ吸収ダウン"
"43","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92407140","ＴＰダウンカット"
"44","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92407210","火属性ボーナス特大アップ"
"45","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92407210","ダメージ減衰"
"46","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92407210","物理防御力（ダウン不可）アップ"
"47","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92407210","魔法防御力（ダウン不可）アップ"
"48","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92407210","ＴＰ上昇上限付与"
"49","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92407210","ＨＰ吸収ダウン"
"50","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92407210","ＴＰダウンカット"
"51","バトル開始時、すべてのモンスターのＴＰを特大回復。","energy_recover","92407210","ＴＰ回復"
"52","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92407220","火属性ボーナス特大アップ"
"53","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92407220","ダメージ減衰"
"54","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92407220","物理防御力（ダウン不可）アップ"
"55","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92407220","魔法防御力（ダウン不可）アップ"
"56","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92407220","ＴＰ上昇上限付与"
"57","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92407220","ＨＰ吸収ダウン"
"58","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92407220","ＴＰダウンカット"
"59","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92407230","火属性ボーナス特大アップ"
"60","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92407230","ダメージ減衰"
"61","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92407230","物理防御力（ダウン不可）アップ"
"62","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92407230","魔法防御力（ダウン不可）アップ"
"63","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92407230","ＴＰ上昇上限付与"
"64","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92407230","ＨＰ吸収ダウン"
"65","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92407230","ＴＰダウンカット"
"66","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92407240","火属性ボーナス特大アップ"
"67","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92407240","ダメージ減衰"
"68","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92407240","物理防御力（ダウン不可）アップ"
"69","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92407240","魔法防御力（ダウン不可）アップ"
"70","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92407240","ＴＰ上昇上限付与"
