db608e9d9f822193a39fff09c2245af1e5b817395a121bd6cd742e61e71c9c9c,d58f00152a1ec17062529d59f02de62f6cc3d97c30c3979b2bfe31463ebbcbb7,661c5c808d826c60d07bb754493ce6e4d56305906892f6f074d6df2d42656f23,e054bca1d7575b81712ef1eca874bda561e105d368717021c99719ef5363bc77
"1","ＨＰ","1","10000"
"2","物理攻撃力","1","10000"
"3","物理防御力","1","10000"
"4","魔法攻撃力","1","10000"
"5","魔法防御力","1","10000"
"6","物理クリティカル","1","10000"
"7","魔法クリティカル","1","10000"
"8","回避","0","1"
"9","ＨＰ吸収","0","1"
"10","ＨＰ自動回復","0","1"
"11","ＴＰ自動回復","0","1"
"12","物理貫通ダメージ","0","1"
"13","魔法貫通ダメージ","0","1"
"14","ＴＰ上昇","0","1"
"15","回復量上昇","0","1"
"16","ＴＰ消費軽減","0","1"
"17","命中","0","1"
"100","物理クリティカルダメージ","1","100"
"101","魔法クリティカルダメージ","1","100"
"102","物理与ダメージ","1","100"
"103","魔法与ダメージ","1","100"
"104","属性ボーナス","1","10000"
